Region Code,TEA Region,County Number,County Name,ethnicity,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_percent,total_degrees,total_degrees_percent
1,Edinburg,31,CAMERON,African American,17,15,0.88,12,0.71,2,0.12,9,0.53,4,0.24,4,0.24,8,0.47,1,0.06,1,0.06
1,Edinburg,31,CAMERON,Hispanic,6543,6134,0.94,4477,0.68,1559,0.24,4832,0.74,1173,0.18,2413,0.37,3586,0.55,196,0.03,1162,0.18
1,Edinburg,31,CAMERON,White,362,341,0.94,293,0.81,48,0.13,300,0.83,142,0.39,110,0.30,252,0.70,11,0.03,106,0.29
1,Edinburg,31,CAMERON,Others,48,45,0.94,43,0.90, -   ,0.00,41,0.85,21,0.44,9,0.19,30,0.63,3,0.06,22,0.46
1,Edinburg,108,HIDALGO,African American,32,28,0.88,29,0.91, -   ,0.00,29,0.91,16,0.50,8,0.25,24,0.75,1,0.03,8,0.25
1,Edinburg,108,HIDALGO,Hispanic,12174,11451,0.94,8941,0.73,2327,0.19,9060,0.74,2804,0.23,3768,0.31,6572,0.54,336,0.03,2435,0.20
1,Edinburg,108,HIDALGO,White,370,354,0.96,315,0.85,34,0.09,317,0.86,167,0.45,99,0.27,266,0.72,8,0.02,123,0.33
1,Edinburg,108,HIDALGO,Others,63,59,0.94,57,0.90, -   ,0.00,56,0.89,36,0.57,10,0.16,46,0.73, -   ,0.00,29,0.46
1,Edinburg,124,JIM HOGG,All Ethnicities,75,73,0.97,72,0.96,1,0.01,58,0.77,19,0.25,25,0.33,44,0.59,1,0.01,14,0.19
1,Edinburg,214,STARR,All Ethnicities,1199,1146,0.96,893,0.74,224,0.19,890,0.74,205,0.17,460,0.38,665,0.55,29,0.02,283,0.24
1,Edinburg,240,WEBB,Hispanic,4277,4022,0.94,3503,0.82,490,0.11,3421,0.80,853,0.20,1911,0.45,2764,0.65,122,0.03,1005,0.24
1,Edinburg,240,WEBB,White,68,60,0.88,54,0.79,3,0.04,53,0.78,24,0.35,22,0.32,46,0.68,4,0.06,20,0.29
1,Edinburg,240,WEBB,Other Ethnicities,19,17,0.89,17,0.89, -   ,0.00,16,0.84,7,0.37,4,0.21,11,0.58, -   ,0.00,9,0.47
1,Edinburg,245,WILLACY,Hispanic,327,303,0.93,276,0.84,34,0.10,252,0.77,58,0.18,112,0.34,170,0.52,5,0.02,46,0.14
1,Edinburg,245,WILLACY,Other Ethnicities,17,15,0.88,15,0.88,1,0.06,14,0.82,8,0.47,3,0.18,11,0.65, -   ,0.00,3,0.18
1,Edinburg,253,ZAPATA,All Ethnicities,261,255,0.98,222,0.85,23,0.09,197,0.75,65,0.25,67,0.26,132,0.51,6,0.02,56,0.21
2,Corpus Christi,4,ARANSAS,Hispanic,101,96,0.95,80,0.79,10,0.10,69,0.68,14,0.14,28,0.28,42,0.42,2,0.02,12,0.12
