Region Code,TEA Region,gender,ethnicity,economic_status,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,enrolled_out_of_state,enrolled_out_of_state_per,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_per,total_degrees,total_degrees_percent
,,Female,African American,,24818,22611,0.91,19010,0.77,3164,0.13,17518,0.71,5772,0.23,8960,0.36,0,0,14732,0.59,1508,0.06,4134,0.17
,,Female,Hispanic,,70714,66374,0.94,54636,0.77,10263,0.15,51615,0.73,10568,0.15,24834,0.35,0,0,35402,0.5,2261,0.03,12674,0.18
,,Female,White,,62878,59478,0.95,54564,0.87,3264,0.05,50909,0.81,17885,0.28,23854,0.38,0,0,41739,0.66,2729,0.04,21489,0.34
,,Female,Others,,5323,4982,0.94,4716,0.89,169,0.03,4514,0.85,2247,0.42,1449,0.27,0,0,3696,0.69,168,0.03,2398,0.45
,,Male,African American,,25853,23189,0.9,17888,0.69,4895,0.19,16674,0.65,4281,0.17,8198,0.32,0,0,12479,0.48,1396,0.05,2488,0.1
,,Male,Hispanic,,73486,68279,0.93,52214,0.71,14889,0.2,50504,0.69,8853,0.12,22246,0.3,0,0,31099,0.42,2181,0.03,8575,0.12
,,Male,White,,66848,62615,0.94,55918,0.84,5379,0.08,52695,0.79,16042,0.24,22836,0.34,0,0,38878,0.58,2519,0.04,16504,0.25
,,Male,Others,,5788,5409,0.93,5046,0.87,267,0.05,4833,0.84,2138,0.37,1706,0.29,0,0,3844,0.66,229,0.04,2061,0.36
,,,,Not Economically Disadvantaged,158650,150184,0.95,136765,0.86,10735,0.07,130777,0.82,46583,0.29,58940,0.37,0,0,105523,0.67,6430,0.04,49440,0.31
,,,,Economically Disadvantaged,177058,162753,0.92,127227,0.72,31555,0.18,118485,0.67,21203,0.12,55143,0.31,0,0,76346,0.43,6561,0.04,20883,0.12
1,Edinburg,,,,25852,24318,0.94,19219,0.74,4746,0.18,19545,0.76,5602,0.22,9025,0.35,0,0,14627,0.57,723,0.03,5322,0.21
2,Corpus Christi,,,,8181,7603,0.93,6330,0.77,1123,0.14,5876,0.72,1725,0.21,2529,0.31,0,0,4254,0.52,322,0.04,1411,0.17
3,Victoria,,,,4068,3851,0.95,3373,0.83,366,0.09,3065,0.75,573,0.14,1563,0.38,0,0,2136,0.53,125,0.03,929,0.23
4,Houston,,,,74103,68418,0.92,56865,0.77,10200,0.14,53970,0.73,15311,0.21,25336,0.34,0,0,40647,0.55,3474,0.05,16107,0.22
5,Beaumont,,,,6140,5761,0.94,5039,0.82,572,0.09,4534,0.74,1498,0.24,1834,0.3,0,0,3332,0.54,255,0.04,1274,0.21
6,Huntsville,,,,11965,11213,0.94,9648,0.81,1279,0.11,8997,0.75,2253,0.19,4082,0.34,0,0,6335,0.53,361,0.03,2541,0.21
7,Kilgore,,,,12191,11490,0.94,9999,0.82,1143,0.09,9230,0.76,1730,0.14,4869,0.4,0,0,6599,0.54,412,0.03,2573,0.21
8,Mt. Pleasant,,,,4364,4080,0.93,3681,0.84,264,0.06,3314,0.76,519,0.12,1881,0.43,0,0,2400,0.55,190,0.04,862,0.2
9,Wichita Falls,,,,2986,2809,0.94,2538,0.85,174,0.06,2334,0.78,755,0.25,783,0.26,0,0,1538,0.52,81,0.03,632,0.21
10,Richardson,,,,50373,46888,0.93,39689,0.79,6237,0.12,37385,0.74,9503,0.19,16925,0.34,0,0,26428,0.52,2010,0.04,10072,0.2
11,Fort Worth,,,,36462,33961,0.93,29039,0.8,4151,0.11,27248,0.75,7686,0.21,12391,0.34,0,0,20077,0.55,1527,0.04,8141,0.22
12,Waco,,,,10574,9701,0.92,8208,0.78,1246,0.12,7692,0.73,1673,0.16,4407,0.42,0,0,6080,0.58,528,0.05,2293,0.22
13,Austin,,,,23379,21990,0.94,19030,0.81,2485,0.11,18039,0.77,5969,0.26,6626,0.28,0,0,12595,0.54,708,0.03,5238,0.22
14,Abilene,,,,3486,3291,0.94,2963,0.85,272,0.08,2670,0.77,843,0.24,1123,0.32,0,0,1966,0.56,103,0.03,884,0.25
15,San Angelo,,,,3872,3598,0.93,3301,0.85,279,0.07,2946,0.76,1003,0.26,995,0.26,0,0,1998,0.52,104,0.03,803,0.21
16,Amarillo,,,,5944,5615,0.94,5133,0.86,356,0.06,4601,0.77,1135,0.19,2249,0.38,0,0,3384,0.57,224,0.04,1405,0.24
17,Lubbock,,,,5776,5494,0.95,4974,0.86,382,0.07,4426,0.77,1122,0.19,1814,0.31,0,0,2936,0.51,134,0.02,1159,0.2
18,Midland,,,,5856,5384,0.92,4798,0.82,559,0.1,4073,0.7,903,0.15,1991,0.34,0,0,2894,0.49,197,0.03,1031,0.18
19,El Paso,,,,12980,12035,0.93,9695,0.75,2077,0.16,9654,0.74,2755,0.21,4699,0.36,0,0,7454,0.57,538,0.04,2405,0.19
20,San Antonio,,,,27156,25437,0.94,20470,0.75,4379,0.16,19663,0.72,5228,0.19,8961,0.33,0,0,14189,0.52,975,0.04,5241,0.19
,,,,,335708,312937,0.93,263992,0.79,42290,0.13,249262,0.74,67786,0.2,114083,0.34,0,0,181869,0.54,12991,0.04,70323,0.21
,,Female,,,163733,153445,0.94,132926,0.81,16860,0.1,124556,0.76,36472,0.22,59097,0.36,0,0,95569,0.58,6666,0.04,40695,0.25
,,Male,,,171975,159492,0.93,131066,0.76,25430,0.15,124706,0.73,31314,0.18,54986,0.32,0,0,86300,0.5,6325,0.04,29628,0.17
1,Edinburg,,,Not Economically Disadvantaged,3724,3533,0.95,3178,0.85,334,0.09,3198,0.86,1537,0.41,1254,0.34,0,0,2791,0.75,107,0.03,1301,0.35
1,Edinburg,,,Economically Disadvantaged,22128,20785,0.94,16041,0.72,4412,0.2,16347,0.74,4065,0.18,7771,0.35,0,0,11836,0.53,616,0.03,4021,0.18
2,Corpus Christi,,,Not Economically Disadvantaged,3426,3210,0.94,2899,0.85,258,0.08,2775,0.81,1090,0.32,1191,0.35,0,0,2281,0.67,158,0.05,978,0.29
2,Corpus Christi,,,Economically Disadvantaged,4755,4393,0.92,3431,0.72,865,0.18,3101,0.65,635,0.13,1338,0.28,0,0,1973,0.41,164,0.03,433,0.09
3,Victoria,,,Not Economically Disadvantaged,1859,1792,0.96,1669,0.9,76,0.04,1586,0.85,421,0.23,894,0.48,0,0,1315,0.71,80,0.04,698,0.38
3,Victoria,,,Economically Disadvantaged,2209,2059,0.93,1704,0.77,290,0.13,1479,0.67,152,0.07,669,0.3,0,0,821,0.37,45,0.02,231,0.1
4,Houston,,,Not Economically Disadvantaged,36117,34116,0.94,30988,0.86,2583,0.07,29679,0.82,10847,0.3,13789,0.38,0,0,24636,0.68,1736,0.05,11825,0.33
4,Houston,,,Economically Disadvantaged,37986,34302,0.9,25877,0.68,7617,0.2,24291,0.64,4464,0.12,11547,0.3,0,0,16011,0.42,1738,0.05,4282,0.11
5,Beaumont,,,Not Economically Disadvantaged,3041,2875,0.95,2621,0.86,209,0.07,2425,0.8,996,0.33,980,0.32,0,0,1976,0.65,143,0.05,912,0.3
5,Beaumont,,,Economically Disadvantaged,3099,2886,0.93,2418,0.78,363,0.12,2109,0.68,502,0.16,854,0.28,0,0,1356,0.44,112,0.04,362,0.12
6,Huntsville,,,Not Economically Disadvantaged,6818,6454,0.95,5894,0.86,445,0.07,5643,0.83,1817,0.27,2619,0.38,0,0,4436,0.65,218,0.03,2116,0.31
6,Huntsville,,,Economically Disadvantaged,5147,4759,0.92,3754,0.73,834,0.16,3354,0.65,436,0.08,1463,0.28,0,0,1899,0.37,143,0.03,425,0.08
7,Kilgore,,,Not Economically Disadvantaged,6072,5801,0.96,5347,0.88,338,0.06,5037,0.83,1314,0.22,2715,0.45,0,0,4029,0.66,205,0.03,1916,0.32
7,Kilgore,,,Economically Disadvantaged,6119,5689,0.93,4652,0.76,805,0.13,4193,0.69,416,0.07,2154,0.35,0,0,2570,0.42,207,0.03,657,0.11
8,Mt. Pleasant,,,Not Economically Disadvantaged,2153,2054,0.95,1935,0.9,58,0.03,1777,0.83,385,0.18,1013,0.47,0,0,1398,0.65,97,0.05,597,0.28
8,Mt. Pleasant,,,Economically Disadvantaged,2211,2026,0.92,1746,0.79,206,0.09,1537,0.7,134,0.06,868,0.39,0,0,1002,0.45,93,0.04,265,0.12
9,Wichita Falls,,,Not Economically Disadvantaged,1643,1564,0.95,1468,0.89,46,0.03,1373,0.84,602,0.37,463,0.28,0,0,1065,0.65,47,0.03,500,0.3
9,Wichita Falls,,,Economically Disadvantaged,1343,1245,0.93,1070,0.8,128,0.1,961,0.72,153,0.11,320,0.24,0,0,473,0.35,34,0.03,132,0.1
10,Richardson,,,Not Economically Disadvantaged,26355,24959,0.95,22681,0.86,1823,0.07,21587,0.82,7018,0.27,9913,0.38,0,0,16931,0.64,1113,0.04,7630,0.29
10,Richardson,,,Economically Disadvantaged,24018,21929,0.91,17008,0.71,4414,0.18,15798,0.66,2485,0.1,7012,0.29,0,0,9497,0.4,897,0.04,2442,0.1
11,Fort Worth,,,Not Economically Disadvantaged,22484,21235,0.94,19254,0.86,1661,0.07,18481,0.82,6332,0.28,8339,0.37,0,0,14671,0.65,945,0.04,6715,0.3
11,Fort Worth,,,Economically Disadvantaged,13978,12726,0.91,9785,0.7,2490,0.18,8767,0.63,1354,0.1,4052,0.29,0,0,5406,0.39,582,0.04,1426,0.1
12,Waco,,,Not Economically Disadvantaged,5491,5118,0.93,4592,0.84,407,0.07,4394,0.8,1311,0.24,2381,0.43,0,0,3692,0.67,239,0.04,1733,0.32
12,Waco,,,Economically Disadvantaged,5083,4583,0.9,3616,0.71,839,0.17,3298,0.65,362,0.07,2026,0.4,0,0,2388,0.47,289,0.06,560,0.11
13,Austin,,,Not Economically Disadvantaged,14011,13392,0.96,12344,0.88,770,0.06,11856,0.85,4907,0.35,4374,0.31,0,0,9281,0.66,440,0.03,4485,0.32
13,Austin,,,Economically Disadvantaged,9368,8598,0.92,6686,0.71,1715,0.18,6183,0.66,1062,0.11,2252,0.24,0,0,3314,0.35,268,0.03,753,0.08
14,Abilene,,,Not Economically Disadvantaged,1730,1661,0.96,1575,0.91,60,0.03,1477,0.85,639,0.37,601,0.35,0,0,1240,0.72,43,0.02,647,0.37
14,Abilene,,,Economically Disadvantaged,1756,1630,0.93,1388,0.79,212,0.12,1193,0.68,204,0.12,522,0.3,0,0,726,0.41,60,0.03,237,0.14
15,San Angelo,,,Not Economically Disadvantaged,1660,1589,0.96,1523,0.92,45,0.03,1412,0.85,678,0.41,439,0.26,0,0,1117,0.67,46,0.03,554,0.33
15,San Angelo,,,Economically Disadvantaged,2212,2009,0.91,1778,0.8,234,0.11,1534,0.69,325,0.15,556,0.25,0,0,881,0.4,58,0.03,249,0.11
16,Amarillo,,,Not Economically Disadvantaged,2904,2785,0.96,2670,0.92,86,0.03,2471,0.85,832,0.29,1195,0.41,0,0,2027,0.7,110,0.04,1031,0.36
16,Amarillo,,,Economically Disadvantaged,3040,2830,0.93,2463,0.81,270,0.09,2130,0.7,303,0.1,1054,0.35,0,0,1357,0.45,114,0.04,374,0.12
17,Lubbock,,,Not Economically Disadvantaged,2543,2468,0.97,2324,0.91,91,0.04,2200,0.87,821,0.32,927,0.36,0,0,1748,0.69,68,0.03,875,0.34
17,Lubbock,,,Economically Disadvantaged,3233,3026,0.94,2650,0.82,291,0.09,2226,0.69,301,0.09,887,0.27,0,0,1188,0.37,66,0.02,284,0.09
18,Midland,,,Not Economically Disadvantaged,2843,2690,0.95,2503,0.88,166,0.06,2255,0.79,637,0.22,1105,0.39,0,0,1742,0.61,94,0.03,730,0.26
18,Midland,,,Economically Disadvantaged,3013,2694,0.89,2295,0.76,393,0.13,1818,0.6,266,0.09,886,0.29,0,0,1152,0.38,103,0.03,301,0.1
19,El Paso,,,Not Economically Disadvantaged,3290,3021,0.92,2630,0.8,326,0.1,2641,0.8,1090,0.33,1150,0.35,0,0,2240,0.68,128,0.04,903,0.27
19,El Paso,,,Economically Disadvantaged,9690,9014,0.93,7065,0.73,1751,0.18,7013,0.72,1665,0.17,3549,0.37,0,0,5214,0.54,410,0.04,1502,0.16
20,San Antonio,,,Not Economically Disadvantaged,10486,9867,0.94,8670,0.83,953,0.09,8510,0.81,3309,0.32,3598,0.34,0,0,6907,0.66,413,0.04,3294,0.31
20,San Antonio,,,Economically Disadvantaged,16670,15570,0.93,11800,0.71,3426,0.21,11153,0.67,1919,0.12,5363,0.32,0,0,7282,0.44,562,0.03,1947,0.12
1,Edinburg,Female,African American,,32,29,0.91,30,0.94,0,0,26,0.81,14,0.44,7,0.22,0,0,21,0.66,1,0.03,6,0.19
1,Edinburg,Female,Hispanic,,12346,11672,0.95,9509,0.77,1944,0.16,9517,0.77,2832,0.23,4526,0.37,0,0,7358,0.6,343,0.03,3003,0.24
1,Edinburg,Female,White,,391,367,0.94,328,0.84,37,0.09,316,0.81,159,0.41,129,0.33,0,0,288,0.74,16,0.04,143,0.37
1,Edinburg,Female,Others,,56,52,0.93,48,0.86,0,0,47,0.84,28,0.5,8,0.14,0,0,36,0.64,1,0.02,28,0.5
1,Edinburg,Male,African American,,24,19,0.79,16,0.67,2,0.08,16,0.67,7,0.29,6,0.25,0,0,13,0.54,1,0.04,4,0.17
1,Edinburg,Male,Hispanic,,12493,11695,0.94,8861,0.71,2712,0.22,9180,0.73,2342,0.19,4225,0.34,0,0,6567,0.53,351,0.03,1996,0.16
1,Edinburg,Male,White,,438,415,0.95,358,0.82,51,0.12,376,0.86,184,0.42,110,0.25,0,0,294,0.67,8,0.02,111,0.25
1,Edinburg,Male,Others,,72,69,0.96,69,0.96,0,0,67,0.93,36,0.5,14,0.19,0,0,50,0.69,2,0.03,31,0.43
2,Corpus Christi,Female,African American,,129,115,0.89,102,0.79,11,0.09,88,0.68,30,0.23,47,0.36,0,0,77,0.6,9,0.07,17,0.13
2,Corpus Christi,Female,Hispanic,,2693,2531,0.94,2069,0.77,406,0.15,1880,0.7,501,0.19,932,0.35,0,0,1433,0.53,125,0.05,462,0.17
2,Corpus Christi,Female,White,,1116,1042,0.93,951,0.85,68,0.06,861,0.77,353,0.32,366,0.33,0,0,719,0.64,46,0.04,344,0.31
2,Corpus Christi,Female,Others,,66,59,0.89,55,0.83,2,0.03,51,0.77,29,0.44,15,0.23,0,0,44,0.67,5,0.08,25,0.38
2,Corpus Christi,Male,African American,,148,119,0.8,100,0.68,23,0.16,83,0.56,26,0.18,37,0.25,0,0,63,0.43,8,0.05,15,0.1
2,Corpus Christi,Male,Hispanic,,2852,2660,0.93,2102,0.74,511,0.18,2010,0.7,468,0.16,800,0.28,0,0,1268,0.44,87,0.03,312,0.11
2,Corpus Christi,Male,White,,1124,1027,0.91,905,0.81,99,0.09,858,0.76,301,0.27,317,0.28,0,0,618,0.55,40,0.04,228,0.2
2,Corpus Christi,Male,Others,,53,50,0.94,46,0.87,3,0.06,45,0.85,17,0.32,15,0.28,0,0,32,0.6,2,0.04,8,0.15
3,Victoria,Female,African American,,208,194,0.93,172,0.83,19,0.09,155,0.75,36,0.17,82,0.39,0,0,118,0.57,4,0.02,35,0.17
3,Victoria,Female,Hispanic,,842,801,0.95,703,0.83,73,0.09,596,0.71,77,0.09,300,0.36,0,0,377,0.45,22,0.03,130,0.15
3,Victoria,Female,White,,839,799,0.95,744,0.89,30,0.04,702,0.84,196,0.23,409,0.49,0,0,605,0.72,38,0.05,355,0.42
3,Victoria,Female,Others,,18,16,0.89,16,0.89,0,0,16,0.89,7,0.39,5,0.28,0,0,12,0.67,0,0,8,0.44
3,Victoria,Male,African American,,226,209,0.92,172,0.76,31,0.14,156,0.69,31,0.14,75,0.33,0,0,106,0.47,6,0.03,19,0.08
3,Victoria,Male,Hispanic,,982,924,0.94,740,0.75,154,0.16,661,0.67,68,0.07,276,0.28,0,0,344,0.35,20,0.02,107,0.11
3,Victoria,Male,White,,926,881,0.95,801,0.87,58,0.06,755,0.82,146,0.16,408,0.44,0,0,554,0.6,34,0.04,266,0.29
3,Victoria,Male,Others,,27,27,1,25,0.93,1,0.04,24,0.89,12,0.44,8,0.3,0,0,20,0.74,1,0.04,9,0.33
4,Houston,Female,African American,,8442,7573,0.9,6221,0.74,1207,0.14,5833,0.69,2245,0.27,2914,0.35,0,0,5159,0.61,614,0.07,1445,0.17
4,Houston,Female,Hispanic,,13960,12992,0.93,10456,0.75,2239,0.16,9885,0.71,1597,0.11,4895,0.35,0,0,6492,0.47,515,0.04,2322,0.17
4,Houston,Female,White,,11569,10928,0.94,10111,0.87,587,0.05,9534,0.82,3431,0.3,4638,0.4,0,0,8069,0.7,589,0.05,4473,0.39
4,Houston,Female,Others,,2011,1891,0.94,1827,0.91,45,0.02,1758,0.87,943,0.47,522,0.26,0,0,1465,0.73,55,0.03,1029,0.51
4,Houston,Male,African American,,8803,7799,0.89,5859,0.67,1808,0.21,5573,0.63,1634,0.19,2643,0.3,0,0,4277,0.49,519,0.06,833,0.09
4,Houston,Male,Hispanic,,14756,13617,0.92,10057,0.68,3294,0.22,9698,0.66,1313,0.09,4539,0.31,0,0,5852,0.4,493,0.03,1558,0.11
4,Houston,Male,White,,12348,11537,0.93,10371,0.84,934,0.08,9783,0.79,3209,0.26,4562,0.37,0,0,7771,0.63,603,0.05,3524,0.29
4,Houston,Male,Others,,2214,2081,0.94,1963,0.89,86,0.04,1906,0.86,939,0.42,623,0.28,0,0,1562,0.71,86,0.04,923,0.42
5,Beaumont,Female,African American,,924,862,0.93,766,0.83,84,0.09,687,0.74,268,0.29,290,0.31,0,0,558,0.6,40,0.04,151,0.16
5,Beaumont,Female,Hispanic,,240,228,0.95,191,0.8,23,0.1,170,0.71,34,0.14,82,0.34,0,0,116,0.48,9,0.04,53,0.22
5,Beaumont,Female,White,,1764,1676,0.95,1506,0.85,112,0.06,1359,0.77,489,0.28,595,0.34,0,0,1084,0.61,92,0.05,510,0.29
5,Beaumont,Female,Others,,82,78,0.95,74,0.9,1,0.01,71,0.87,39,0.48,19,0.23,0,0,58,0.71,2,0.02,36,0.44
5,Beaumont,Male,African American,,946,880,0.93,745,0.79,118,0.12,641,0.68,181,0.19,265,0.28,0,0,446,0.47,41,0.04,83,0.09
5,Beaumont,Male,Hispanic,,301,283,0.94,225,0.75,44,0.15,210,0.7,42,0.14,67,0.22,0,0,109,0.36,6,0.02,42,0.14
5,Beaumont,Male,White,,1802,1682,0.93,1463,0.81,188,0.1,1333,0.74,410,0.23,495,0.27,0,0,905,0.5,61,0.03,367,0.2
5,Beaumont,Male,Others,,81,72,0.89,69,0.85,2,0.02,63,0.78,35,0.43,21,0.26,0,0,56,0.69,4,0.05,32,0.4
6,Huntsville,Female,African American,,827,772,0.93,664,0.8,94,0.11,596,0.72,148,0.18,296,0.36,0,0,444,0.54,25,0.03,111,0.13
6,Huntsville,Female,Hispanic,,1208,1138,0.94,957,0.79,146,0.12,888,0.74,120,0.1,386,0.32,0,0,506,0.42,23,0.02,170,0.14
6,Huntsville,Female,White,,3706,3506,0.95,3158,0.85,233,0.06,2921,0.79,918,0.25,1449,0.39,0,0,2367,0.64,144,0.04,1159,0.31
6,Huntsville,Female,Others,,83,78,0.94,72,0.87,2,0.02,65,0.78,25,0.3,21,0.25,0,0,46,0.55,4,0.05,26,0.31
6,Huntsville,Male,African American,,858,805,0.94,629,0.73,150,0.17,579,0.67,121,0.14,275,0.32,0,0,396,0.46,25,0.03,75,0.09
6,Huntsville,Male,Hispanic,,1246,1171,0.94,918,0.74,223,0.18,865,0.69,102,0.08,332,0.27,0,0,434,0.35,31,0.02,131,0.11
6,Huntsville,Male,White,,3915,3634,0.93,3148,0.8,424,0.11,2988,0.76,782,0.2,1297,0.33,0,0,2079,0.53,105,0.03,835,0.21
6,Huntsville,Male,Others,,122,109,0.89,102,0.84,7,0.06,95,0.78,37,0.3,26,0.21,0,0,63,0.52,4,0.03,34,0.28
7,Kilgore,Female,African American,,1252,1206,0.96,1045,0.83,141,0.11,967,0.77,193,0.15,595,0.48,0,0,788,0.63,52,0.04,222,0.18
7,Kilgore,Female,Hispanic,,948,898,0.95,757,0.8,108,0.11,696,0.73,51,0.05,340,0.36,0,0,391,0.41,21,0.02,136,0.14
7,Kilgore,Female,White,,3625,3417,0.94,3100,0.86,186,0.05,2802,0.77,663,0.18,1648,0.45,0,0,2311,0.64,149,0.04,1069,0.29
7,Kilgore,Female,Others,,48,42,0.88,41,0.85,1,0.02,35,0.73,16,0.33,14,0.29,0,0,30,0.63,2,0.04,19,0.4
7,Kilgore,Male,African American,,1337,1266,0.95,1006,0.75,228,0.17,986,0.74,138,0.1,530,0.4,0,0,668,0.5,40,0.03,148,0.11
7,Kilgore,Male,Hispanic,,1026,953,0.93,751,0.73,176,0.17,693,0.68,50,0.05,302,0.29,0,0,352,0.34,24,0.02,110,0.11
7,Kilgore,Male,White,,3889,3649,0.94,3248,0.84,298,0.08,3004,0.77,604,0.16,1421,0.37,0,0,2025,0.52,122,0.03,853,0.22
