Region Code,TEA Region,County Number,County Name,economic-status,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,enrolled_out_of_state,enrolled_out_of_state_percent,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_percent,total_degrees,total_degrees_percent
01,Edinburg,031,CAMERON,Not Economically Disadvantaged,983,942,0.96,793,0.81,135,0.14,784,0.80,311,0.32,401,0.41,2,0.00,714,0.73,61,0.06,307,0.31
01,Edinburg,031,CAMERON,Economically Disadvantaged,5287,4945,0.94,3610,0.68,1272,0.24,3315,0.63,521,0.10,2098,0.40,3,0.00,2622,0.50,292,0.06,764,0.15
01,Edinburg,108,HIDALGO,Not Economically Disadvantaged,1747,1637,0.94,1439,0.82,174,0.10,1369,0.78,839,0.48,399,0.23,1,0.00,1239,0.71,78,0.04,576,0.33
01,Edinburg,108,HIDALGO,Economically Disadvantaged,8701,8127,0.93,6210,0.71,1748,0.20,5407,0.62,1747,0.20,2243,0.26,1,0.00,3991,0.46,427,0.05,1303,0.15
01,Edinburg,124,JIM HOGG,Not Economically Disadvantaged,19,18,0.95,17,0.90,0,0.00,16,0.84,9,0.47,2,0.11,0,0.00,11,0.58,0,0.00,5,0.26
01,Edinburg,124,JIM HOGG,Economically Disadvantaged,79,75,0.95,71,0.90,6,0.08,67,0.85,24,0.30,21,0.27,0,0.00,45,0.57,2,0.03,16,0.20
01,Edinburg,214,STARR,Not Economically Disadvantaged,93,84,0.90,66,0.71,16,0.17,58,0.62,23,0.25,25,0.27,0,0.00,48,0.52,2,0.02,30,0.32
01,Edinburg,214,STARR,Economically Disadvantaged,911,860,0.94,651,0.72,199,0.22,601,0.66,133,0.15,319,0.35,0,0.00,452,0.50,34,0.04,205,0.23
01,Edinburg,240,WEBB,Not Economically Disadvantaged,537,509,0.95,483,0.90,23,0.04,457,0.85,178,0.33,245,0.46,0,0.00,423,0.79,32,0.06,175,0.33
01,Edinburg,240,WEBB,Economically Disadvantaged,3071,2861,0.93,2335,0.76,476,0.16,2061,0.67,450,0.15,1217,0.40,0,0.00,1667,0.54,165,0.05,492,0.16
