Region Code,TEA Region,gender,ethnicity,economic_status,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,enrolled_out_of_state,enrolled_out_of_state_percent,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_percent,total_degrees,total_degrees_percent
,,Female,Am. Indian,,474,418,0.88,343,0.72,51,0.11,301,0.64,70,0.15,158,0.33,1,0.00,229,0.48,30,0.06,80,0.17
,,Female,Asian,,4235,3995,0.94,3780,0.89,111,0.03,3525,0.83,1835,0.43,1124,0.27,6,0.00,2965,0.70,194,0.05,1882,0.44
,,Female,African American,,21664,20229,0.93,16955,0.78,3042,0.14,14841,0.69,4844,0.22,7096,0.33,10,0.00,11950,0.55,1546,0.07,3223,0.15
,,Female,Hispanic,,59120,54883,0.93,44513,0.75,8986,0.15,38099,0.64,7686,0.13,18874,0.32,25,0.00,26585,0.45,2811,0.05,8465,0.14
,,Female,White,,65324,61586,0.94,55932,0.86,3866,0.06,50797,0.78,18673,0.29,24143,0.37,75,0.00,42891,0.66,3517,0.05,21465,0.33
,,Male,Am. Indian,,429,377,0.88,304,0.71,68,0.16,264,0.62,59,0.14,123,0.29,0,0.00,182,0.42,19,0.04,51,0.12
,,Male,Asian,,4474,4208,0.94,3914,0.87,202,0.05,3636,0.81,1715,0.38,1312,0.29,2,0.00,3029,0.68,216,0.05,1551,0.35
,,Male,African American,,22787,20843,0.91,15877,0.70,4784,0.21,13815,0.61,3577,0.16,6055,0.27,3,0.00,9635,0.42,1342,0.06,1761,0.08
,,Male,Hispanic,,62450,57503,0.92,42929,0.69,13423,0.21,37147,0.59,6226,0.10,16758,0.27,5,0.00,22989,0.37,2423,0.04,5646,0.09
,,Male,White,,69745,65193,0.93,57317,0.82,6396,0.09,52134,0.75,16429,0.24,23464,0.34,25,0.00,39918,0.57,3316,0.05,16106,0.23
,,,,Not Economically Disadvantaged,165947,156329,0.94,140144,0.84,13060,0.08,129066,0.78,46611,0.28,59643,0.36,111,0.00,106365,0.64,8654,0.05,46989,0.28
,,,,Economically Disadvantaged,144755,132906,0.92,101720,0.70,27869,0.19,85493,0.59,14503,0.10,39464,0.27,41,0.00,54008,0.37,6760,0.05,13241,0.09
01,Edinburg,,,,21992,20591,0.94,16144,0.73,4096,0.19,14519,0.66,4340,0.20,7121,0.32,7,0.00,11468,0.52,1111,0.05,3948,0.18
02,Corpus Christi,,,,8269,7640,0.92,6336,0.77,1153,0.14,5620,0.68,1679,0.20,2502,0.30,2,0.00,4183,0.51,359,0.04,1434,0.17
03,Victoria,,,,4220,4008,0.95,3520,0.83,397,0.09,3054,0.72,569,0.13,1688,0.40,1,0.00,2258,0.54,186,0.04,965,0.23
04,Houston,,,,66372,61677,0.93,49924,0.75,10520,0.16,45305,0.68,13972,0.21,20497,0.31,31,0.00,34500,0.52,3699,0.06,13290,0.20
05,Beaumont,,,,6343,5963,0.94,5135,0.81,721,0.11,4401,0.69,1572,0.25,1712,0.27,0,0.00,3284,0.52,320,0.05,1305,0.21
06,Huntsville,,,,10936,10212,0.93,8817,0.81,1142,0.10,7794,0.71,2170,0.20,3366,0.31,4,0.00,5540,0.51,471,0.04,2295,0.21
07,Kilgore,,,,12399,11677,0.94,10220,0.82,1206,0.10,8868,0.72,1750,0.14,4612,0.37,2,0.00,6364,0.51,535,0.04,2488,0.20
08,Mt. Pleasant,,,,4294,4026,0.94,3596,0.84,342,0.08,3184,0.74,472,0.11,1794,0.42,3,0.00,2269,0.53,184,0.04,858,0.20
09,Wichita Falls,,,,3101,2905,0.94,2551,0.82,220,0.07,2315,0.75,784,0.25,791,0.26,2,0.00,1577,0.51,105,0.03,669,0.22
10,Richardson,,,,46309,42837,0.93,36029,0.78,5907,0.13,31632,0.68,8294,0.18,14722,0.32,26,0.00,23042,0.50,2319,0.05,8613,0.19
