Region Code,TEA Region,gender,ethnicity,economic_status,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,enrolled_out_of_state,enrolled_out_of_state_per,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_per,total_degrees,total_degrees_percent
,,Female,African American,,24111,22745,94.33%,20201,83.78%,2154,8.93%,18862,78.23%,5775,23.95%,8567,35.53%,0,0.00%,14342,59.48%,911,3.78%,4755,19.72%
,,Female,Hispanic,,77345,73119,94.54%,64732,83.69%,7365,9.52%,61219,79.15%,12995,16.80%,26584,34.37%,0,0.00%,39579,51.17%,1650,2.13%,16626,21.50%
,,Female,White,,59411,56573,95.22%,53261,89.65%,2077,3.50%,49577,83.45%,17674,29.75%,21128,35.56%,0,0.00%,38802,65.31%,2094,3.52%,21846,36.77%
,,Female,Others,,6384,6042,94.64%,5763,90.27%,158,2.47%,5515,86.39%,2683,42.03%,1655,25.92%,0,0.00%,4338,67.95%,188,2.94%,3007,47.10%
,,Male,African American,,25310,23587,93.19%,19642,77.61%,3541,13.99%,18242,72.07%,4335,17.13%,7652,30.23%,0,0.00%,11987,47.36%,818,3.23%,2817,11.13%
,,Male,Hispanic,,81539,76779,94.16%,64219,78.76%,11666,14.31%,60753,74.51%,10374,12.72%,23558,28.89%,0,0.00%,33932,41.61%,1461,1.79%,11432,14.02%
,,Male,White,,62623,59452,94.94%,54414,86.89%,3752,5.99%,50739,81.02%,14788,23.61%,20147,32.17%,0,0.00%,34935,55.79%,1854,2.96%,16528,26.39%
,,Male,Others,,6748,6377,94.50%,6009,89.05%,268,3.97%,5790,85.80%,2545,37.71%,1892,28.04%,0,0.00%,4437,65.75%,184,2.73%,2650,39.27%
,,,,Not Economically Disadvantaged,157807,150770,95.54%,140926,89.30%,7268,4.61%,134159,85.01%,47221,29.92%,55603,35.23%,0,0.00%,102824,65.16%,4891,3.10%,53512,33.91%
,,,,Economically Disadvantaged,185664,173904,93.67%,147315,79.34%,23713,12.77%,136538,73.54%,23948,12.90%,55580,29.94%,0,0.00%,79528,42.83%,4269,2.30%,26149,14.08%
