Region Code,TEA Region,County Number,County Name,ethnicity,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_percent,total_degrees,total_degrees_percent
1,Edinburg,31,CAMERON,Hispanic,6791,6407,94%,5276,78%,1068,16%,5386,79%,1671,25%,1856,27%,3527,52%,138,2%,1430,21%
1,Edinburg,31,CAMERON,White,290,276,95%,248,86%,16,6%,239,82%,137,47%,53,18%,190,66%,10,3%,100,34%
1,Edinburg,31,CAMERON,Others,56,49,88%,46,82%,2,4%,45,80%,28,50%,8,14%,36,64%,3,5%,27,48%
1,Edinburg,31,CAMERON,Other Ethnicities,34,29,85%,25,74%,1,3%,27,79%,13,38%,5,15%,18,53%,,0%,7,21%
1,Edinburg,108,HIDALGO,African American,35,33,94%,28,80%,4,11%,27,77%,11,31%,8,23%,19,54%,1,3%,8,23%
1,Edinburg,108,HIDALGO,Hispanic,13319,12638,95%,10492,79%,2033,15%,10687,80%,3340,25%,3860,29%,7200,54%,199,1%,3024,23%
1,Edinburg,108,HIDALGO,White,300,279,93%,254,85%,21,7%,251,84%,128,43%,68,23%,196,65%,5,2%,98,33%
1,Edinburg,108,HIDALGO,Others,81,76,94%,71,88%,1,1%,68,84%,43,53%,9,11%,52,64%,1,1%,35,43%
1,Edinburg,124,JIM HOGG,All Ethnicities,81,80,99%,71,88%,9,11%,69,85%,19,23%,29,36%,48,59%,2,2%,22,27%
1,Edinburg,214,STARR,All Ethnicities,1247,1196,96%,1075,86%,110,9%,1029,83%,277,22%,417,33%,694,56%,7,1%,341,27%
1,Edinburg,240,WEBB,Hispanic,4550,4280,94%,3736,82%,562,12%,3691,81%,942,21%,1845,41%,2787,61%,61,1%,1197,26%
1,Edinburg,240,WEBB,White,44,40,91%,39,89%,1,2%,35,80%,16,36%,17,39%,33,75%,4,9%,13,30%
1,Edinburg,240,WEBB,Other Ethnicities,16,14,88%,14,88%,1,6%,14,88%,8,50%,4,25%,12,75%,,0%,8,50%
1,Edinburg,245,WILLACY,Hispanic,312,303,97%,266,85%,30,10%,257,82%,51,16%,96,31%,147,47%,3,1%,57,18%
1,Edinburg,245,WILLACY,White,10,9,90%,8,80%,,0%,7,70%,4,40%,3,30%,7,70%,1,10%,4,40%
1,Edinburg,253,ZAPATA,All Ethnicities,250,240,96%,234,94%,5,2%,208,83%,72,29%,67,27%,139,56%,4,2%,72,29%
2,Corpus Christi,4,ARANSAS,Hispanic,87,78,90%,73,84%,6,7%,66,76%,10,11%,21,24%,31,36%,,0%,10,11%
2,Corpus Christi,4,ARANSAS,White,151,139,92%,133,88%,3,2%,109,72%,44,29%,22,15%,66,44%,2,1%,30,20%
2,Corpus Christi,4,ARANSAS,Other Ethnicities,11,10,91%,10,91%,,0%,9,82%,3,27%,4,36%,7,64%,1,9%,2,18%
2,Corpus Christi,13,BEE,Hispanic,277,270,97%,223,81%,46,17%,214,77%,23,8%,99,36%,122,44%,5,2%,57,21%
2,Corpus Christi,13,BEE,White,108,104,96%,94,87%,8,7%,86,80%,28,26%,39,36%,67,62%,2,2%,42,39%
2,Corpus Christi,13,BEE,Other Ethnicities,15,15,100%,14,93%,1,7%,14,93%,3,20%,6,40%,9,60%,,0%,3,20%
2,Corpus Christi,24,BROOKS,All Ethnicities,128,116,91%,99,77%,16,13%,87,68%,22,17%,30,23%,52,41%,2,2%,21,16%
2,Corpus Christi,66,DUVAL,All Ethnicities,225,216,96%,199,88%,13,6%,162,72%,45,20%,50,22%,95,42%,4,2%,56,25%
2,Corpus Christi,125,JIM WELLS,Hispanic,577,550,95%,429,74%,111,19%,397,69%,96,17%,176,31%,272,47%,16,3%,99,17%
2,Corpus Christi,125,JIM WELLS,Other Ethnicities,109,106,97%,100,92%,7,6%,98,90%,29,27%,36,33%,65,60%,6,6%,32,29%
2,Corpus Christi,137,KLEBERG,Hispanic,312,295,95%,215,69%,74,24%,215,69%,87,28%,70,22%,157,50%,9,3%,67,21%
2,Corpus Christi,137,KLEBERG,White,72,69,96%,62,86%,4,6%,57,79%,32,44%,12,17%,44,61%,1,1%,32,44%
2,Corpus Christi,137,KLEBERG,Other Ethnicities,12,12,100%,8,67%,4,33%,6,50%,3,25%,3,25%,6,50%,,0%,2,17%
2,Corpus Christi,149,LIVE OAK,Hispanic,74,70,95%,65,88%,8,11%,60,81%,6,8%,23,31%,29,39%,1,1%,14,19%
