Region Code,TEA Region,County Number,County Name,economic_status,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_per,total_degrees,total_degrees_percent
1,Edinburg,31,CAMERON,Not Economically Disadvantaged,948,900,95%,823,87%,62,7%,812,86%,396,42%,256,27%,652,69%,36,4%,332,35%
1,Edinburg,31,CAMERON,Economically Disadvantaged,6223,5861,94%,4772,77%,1025,16%,4885,79%,1453,23%,1666,27%,3119,50%,115,2%,1232,20%
1,Edinburg,108,HIDALGO,Not Economically Disadvantaged,2076,1990,96%,1817,88%,165,8%,1841,89%,962,46%,600,29%,1562,75%,44,2%,821,40%
1,Edinburg,108,HIDALGO,Economically Disadvantaged,11659,11036,95%,9028,77%,1894,16%,9192,79%,2560,22%,3345,29%,5905,51%,162,1%,2344,20%
1,Edinburg,124,JIM HOGG,Not Economically Disadvantaged,15,15,100%,14,93%,1,7%,14,93%,7,47%,7,47%,14,93%,,0%,7,47%
1,Edinburg,124,JIM HOGG,Economically Disadvantaged,66,65,98%,57,86%,8,12%,55,83%,12,18%,22,33%,34,52%,2,3%,15,23%
1,Edinburg,214,STARR,Not Economically Disadvantaged,77,77,100%,75,97%,2,3%,73,95%,37,48%,22,29%,59,77%,,0%,32,42%
1,Edinburg,214,STARR,Economically Disadvantaged,1170,1119,96%,1000,85%,108,9%,956,82%,240,21%,395,34%,635,54%,7,1%,309,26%
1,Edinburg,240,WEBB,Not Economically Disadvantaged,902,864,96%,831,92%,34,4%,803,89%,287,32%,400,44%,687,76%,20,2%,358,40%
1,Edinburg,240,WEBB,Economically Disadvantaged,3708,3470,94%,2958,80%,530,14%,2937,79%,679,18%,1466,40%,2145,58%,45,1%,860,23%
1,Edinburg,245,WILLACY,Not Economically Disadvantaged,34,32,94%,32,94%,1,3%,31,91%,16,47%,12,35%,28,82%,,0%,20,59%
1,Edinburg,245,WILLACY,Economically Disadvantaged,288,280,97%,242,84%,29,10%,233,81%,39,14%,87,30%,126,44%,4,1%,41,14%
1,Edinburg,253,ZAPATA,Not Economically Disadvantaged,86,83,97%,81,94%,2,2%,72,84%,31,36%,26,30%,57,66%,3,3%,30,35%
1,Edinburg,253,ZAPATA,Economically Disadvantaged,164,157,96%,153,93%,3,2%,136,83%,41,25%,41,25%,82,50%,1,1%,42,26%
2,Corpus Christi,4,ARANSAS,Not Economically Disadvantaged,102,96,94%,97,95%,1,1%,86,84%,39,38%,30,29%,69,68%,2,2%,32,31%
2,Corpus Christi,4,ARANSAS,Economically Disadvantaged,147,131,89%,119,81%,8,5%,98,67%,18,12%,17,12%,35,24%,1,1%,10,7%
2,Corpus Christi,13,BEE,Not Economically Disadvantaged,166,164,99%,149,90%,13,8%,143,86%,40,24%,67,40%,107,64%,1,1%,67,40%
2,Corpus Christi,13,BEE,Economically Disadvantaged,234,225,96%,182,78%,42,18%,171,73%,14,6%,77,33%,91,39%,6,3%,35,15%
2,Corpus Christi,24,BROOKS,Not Economically Disadvantaged,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2,Corpus Christi,24,BROOKS,Economically Disadvantaged,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2,Corpus Christi,66,DUVAL,Not Economically Disadvantaged,88,85,97%,80,91%,7,8%,70,80%,31,35%,29,33%,60,68%,3,3%,35,40%
2,Corpus Christi,66,DUVAL,Economically Disadvantaged,137,131,96%,119,87%,6,4%,92,67%,14,10%,21,15%,35,26%,1,1%,21,15%
2,Corpus Christi,125,JIM WELLS,Not Economically Disadvantaged,266,260,98%,233,88%,23,9%,216,81%,82,31%,90,34%,172,65%,14,5%,80,30%
2,Corpus Christi,125,JIM WELLS,Economically Disadvantaged,420,396,94%,296,70%,95,23%,279,66%,43,10%,122,29%,165,39%,8,2%,51,12%
2,Corpus Christi,137,KLEBERG,Not Economically Disadvantaged,124,120,97%,111,90%,8,6%,108,87%,73,59%,20,16%,93,75%,2,2%,58,47%
2,Corpus Christi,137,KLEBERG,Economically Disadvantaged,272,256,94%,174,64%,74,27%,170,63%,49,18%,65,24%,114,42%,8,3%,43,16%
2,Corpus Christi,149,LIVE OAK,Not Economically Disadvantaged,84,81,96%,79,94%,5,6%,79,94%,26,31%,29,35%,55,65%,1,1%,33,39%
2,Corpus Christi,149,LIVE OAK,Economically Disadvantaged,56,52,93%,46,82%,7,13%,42,75%,1,2%,15,27%,16,29%,1,2%,2,4%
2,Corpus Christi,162,MCMULLEN,Not Economically Disadvantaged,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2,Corpus Christi,162,MCMULLEN,Economically Disadvantaged,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2,Corpus Christi,178,NUECES,Not Economically Disadvantaged,1846,1727,94%,1604,87%,99,5%,1548,84%,599,32%,612,33%,1211,66%,62,3%,541,29%
2,Corpus Christi,178,NUECES,Economically Disadvantaged,2746,2577,94%,2205,80%,324,12%,2005,73%,390,14%,738,27%,1128,41%,55,2%,316,12%
2,Corpus Christi,205,SAN PATRICIO,Not Economically Disadvantaged,505,475,94%,461,91%,12,2%,435,86%,176,35%,149,30%,325,64%,9,2%,165,33%
2,Corpus Christi,205,SAN PATRICIO,Economically Disadvantaged,597,541,91%,483,81%,61,10%,425,71%,70,12%,129,22%,199,33%,11,2%,44,7%
3,Victoria,29,CALHOUN,Not Economically Disadvantaged,136,132,97%,123,90%,3,2%,118,87%,23,17%,54,40%,77,57%,1,1%,35,26%
3,Victoria,29,CALHOUN,Economically Disadvantaged,157,147,94%,132,84%,13,8%,125,80%,7,4%,42,27%,49,31%,1,1%,11,7%
3,Victoria,45,COLORADO,Not Economically Disadvantaged,140,138,99%,133,95%,3,2%,126,90%,39,28%,65,46%,104,74%,2,1%,56,40%
3,Victoria,45,COLORADO,Economically Disadvantaged,124,117,94%,110,89%,5,4%,101,81%,10,8%,34,27%,44,35%,,0%,14,11%
3,Victoria,62,DE WITT,Not Economically Disadvantaged,151,148,98%,141,93%,8,5%,136,90%,43,28%,64,42%,107,71%,2,1%,50,33%
3,Victoria,62,DE WITT,Economically Disadvantaged,167,153,92%,124,74%,28,17%,104,62%,12,7%,38,23%,50,30%,6,4%,12,7%
3,Victoria,88,GOLIAD,Not Economically Disadvantaged,62,60,97%,61,98%,,0%,54,87%,17,27%,29,47%,46,74%,3,5%,32,52%
3,Victoria,88,GOLIAD,Economically Disadvantaged,41,39,95%,36,88%,2,5%,24,59%,7,17%,12,29%,19,46%,4,10%,4,10%
3,Victoria,120,JACKSON,Not Economically Disadvantaged,127,123,97%,118,93%,2,2%,113,89%,36,28%,60,47%,96,76%,6,5%,54,43%
