Region Code,TEA Region,County Number,County Name,economic-status,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,enrolled_out_of_state,enrolled_out_of_state_percent,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_percent,total_degrees,total_degrees_percent
1,Edinburg,31,CAMERON,Not Economically Disadvantaged,1171,1026,0.88,866,0.74,149,0.13,894,0.76,324,0.28,422,0.36,32,0.03,778,0.66,70,0.06,287,0.25
1,Edinburg,31,CAMERON,Economically Disadvantaged,4686,4136,0.88,2784,0.59,1268,0.27,2964,0.63,442,0.09,1626,0.35,50,0.01,2118,0.45,197,0.04,537,0.12
1,Edinburg,108,HIDALGO,Not Economically Disadvantaged,2003,1824,0.91,1555,0.78,255,0.13,1563,0.78,901,0.45,445,0.22,45,0.02,1391,0.69,76,0.04,572,0.29
1,Edinburg,108,HIDALGO,Economically Disadvantaged,7405,6603,0.89,4708,0.64,1757,0.24,4664,0.63,1341,0.18,1702,0.23,95,0.01,3138,0.42,219,0.03,893,0.12
1,Edinburg,124,JIM HOGG,Not Economically Disadvantaged,42,39,0.93,40,0.95, -   ,0.00,36,0.86,19,0.45,10,0.24, -   ,0.00,29,0.69, -   ,0.00,12,0.29
1,Edinburg,124,JIM HOGG,Economically Disadvantaged,64,64,1.00,62,0.97,1,0.02,57,0.89,20,0.31,15,0.23, -   ,0.00,35,0.55, -   ,0.00,8,0.13
1,Edinburg,214,STARR,Not Economically Disadvantaged,90,70,0.78,48,0.53,21,0.23,58,0.64,24,0.27,27,0.30,1,0.01,52,0.58,7,0.08,23,0.26
1,Edinburg,214,STARR,Economically Disadvantaged,998,872,0.87,607,0.61,274,0.28,609,0.61,156,0.16,311,0.31,4,0.00,471,0.47,40,0.04,178,0.18
1,Edinburg,240,WEBB,Not Economically Disadvantaged,617,570,0.92,479,0.78,90,0.15,506,0.82,156,0.25,262,0.43,9,0.01,427,0.69,22,0.04,163,0.26
1,Edinburg,240,WEBB,Economically Disadvantaged,2529,2289,0.91,1791,0.71,458,0.18,1750,0.69,294,0.12,977,0.39,25,0.01,1296,0.51,94,0.04,394,0.16
1,Edinburg,245,WILLACY,Not Economically Disadvantaged,82,71,0.87,65,0.79,9,0.11,70,0.85,28,0.34,21,0.26,1,0.01,50,0.61,2,0.02,22,0.27
1,Edinburg,245,WILLACY,Economically Disadvantaged,301,274,0.91,181,0.60,83,0.28,206,0.68,47,0.16,79,0.26,7,0.02,133,0.44,8,0.03,30,0.10
1,Edinburg,253,ZAPATA,Not Economically Disadvantaged,62,59,0.95,54,0.87,1,0.02,51,0.82,25,0.40,16,0.26,1,0.02,42,0.68,2,0.03,21,0.34
