Region Code,TEA Region,gender,ethnicity,economic_status,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,enrolled_out_of_state,enrolled_out_of_state_percent,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_percent,total_degrees,total_degrees_percent
,,Female,Am. Indian,,351,284,0.81,240,0.68,31,0.09,207,0.59,63,0.18,95,0.27,11,0.03,169,0.48,22,0.06,54,0.15
,,Female,Asian,,3461,3045,0.88,2914,0.84,143,0.04,2750,0.80,1502,0.43,903,0.26,172,0.05,2577,0.75,220,0.06,1480,0.43
,,Female,African American,,19970,17438,0.87,14259,0.71,3287,0.17,13959,0.70,4244,0.21,5625,0.28,733,0.04,10602,0.53,909,0.05,2702,0.14
,,Female,Hispanic,,51208,44859,0.88,34526,0.67,9444,0.18,33544,0.66,6459,0.13,15535,0.30,774,0.02,22768,0.45,2006,0.04,6476,0.13
,,Female,White,,67283,61131,0.91,55421,0.82,4359,0.06,50567,0.75,18153,0.27,22900,0.34,2903,0.04,43956,0.65,3801,0.06,20267,0.30
,,Male,Am. Indian,,366,295,0.81,223,0.61,57,0.16,203,0.56,53,0.15,85,0.23,11,0.03,149,0.41,17,0.05,33,0.09
,,Male,Asian,,3780,3315,0.88,3093,0.82,224,0.06,2847,0.75,1468,0.39,1025,0.27,145,0.04,2638,0.70,276,0.07,1238,0.33
,,Male,African American,,20695,17621,0.85,12833,0.62,5017,0.24,12187,0.59,3062,0.15,4340,0.21,802,0.04,8204,0.40,861,0.04,1345,0.07
,,Male,Hispanic,,54482,47309,0.87,33133,0.61,13641,0.25,30920,0.57,5338,0.10,13209,0.24,813,0.01,19360,0.36,2167,0.04,4074,0.07
,,Male,White,,71115,63526,0.89,55531,0.78,7131,0.10,50077,0.70,15304,0.22,22071,0.31,2699,0.04,40074,0.56,4034,0.06,14593,0.21
,,,,Not Economically Disadvantaged,162578,146469,0.90,130377,0.80,14727,0.09,121952,0.75,43060,0.27,53573,0.33,6889,0.04,103522,0.64,9006,0.06,41897,0.26
,,,,Economically Disadvantaged,130133,112354,0.86,81796,0.63,28607,0.22,75309,0.58,12586,0.10,32215,0.25,2174,0.02,46975,0.36,5307,0.04,10365,0.08
01,Edinburg,,,,20213,18050,0.89,13380,0.66,4376,0.22,13545,0.67,3798,0.19,5973,0.30,270,0.01,10041,0.50,742,0.04,3163,0.16
02,Corpus Christi,,,,8766,7517,0.86,6057,0.69,1517,0.17,5736,0.65,1753,0.20,2544,0.29,136,0.02,4433,0.51,395,0.05,1406,0.16
03,Victoria,,,,4463,4139,0.93,3467,0.78,637,0.14,3256,0.73,651,0.15,1601,0.36,67,0.02,2319,0.52,158,0.04,917,0.21
04,Houston,,,,60760,52474,0.86,41636,0.69,11025,0.18,39352,0.65,12860,0.21,16834,0.28,2051,0.03,31745,0.52,3713,0.06,11481,0.19
05,Beaumont,,,,6801,6177,0.91,5292,0.78,779,0.12,4768,0.70,1545,0.23,1595,0.24,189,0.03,3329,0.49,283,0.04,1163,0.17
06,Huntsville,,,,9970,8942,0.90,7533,0.76,1267,0.13,6903,0.69,1753,0.18,3106,0.31,259,0.03,5118,0.51,471,0.05,1960,0.20
07,Kilgore,,,,12316,11167,0.91,9691,0.79,1166,0.09,8627,0.70,1679,0.14,4456,0.36,311,0.03,6446,0.52,548,0.04,2465,0.20
08,Mt. Pleasant,,,,4131,3695,0.89,3283,0.80,387,0.09,3001,0.73,491,0.12,1548,0.38,217,0.05,2256,0.55,182,0.04,802,0.19
09,Wichita Falls,,,,3338,3059,0.92,2665,0.80,328,0.10,2446,0.73,898,0.27,769,0.23,121,0.04,1788,0.54,101,0.03,680,0.20
