Region Code,TEA Region,gender,ethnicity,economic_status,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,enrolled_out_of_state,enrolled_out_of_state_percent,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_percent,total_degrees,total_degrees_percent
,,Female,Am. Indian,,413,359,0.87,287,0.70,48,0.12,269,0.65,59,0.14,127,0.31,14,0.03,200,0.48,19,0.05,68,0.17
,,Female,Asian,,3609,3195,0.89,3025,0.84,119,0.03,2866,0.79,1552,0.43,907,0.25,189,0.05,2648,0.73,232,0.06,1547,0.43
,,Female,African American,,20437,17840,0.87,14542,0.71,3046,0.15,14241,0.70,4456,0.22,5694,0.28,719,0.04,10869,0.53,1118,0.05,2702,0.13
,,Female,Hispanic,,52832,46672,0.88,36625,0.69,8601,0.16,35165,0.67,6908,0.13,16440,0.31,718,0.01,24066,0.46,2170,0.04,6965,0.13
,,Female,White,,68476,62336,0.91,56424,0.82,4068,0.06,52006,0.76,18329,0.27,23860,0.35,3032,0.04,45221,0.66,4010,0.06,21097,0.31
,,Male,Am. Indian,,374,298,0.80,246,0.66,57,0.15,220,0.59,55,0.15,90,0.24,10,0.03,155,0.41,15,0.04,47,0.13
,,Male,Asian,,3823,3430,0.90,3115,0.82,230,0.06,2895,0.76,1432,0.38,1109,0.29,166,0.04,2707,0.71,309,0.08,1247,0.33
,,Male,African American,,21313,18180,0.85,13287,0.62,4717,0.22,12659,0.59,3391,0.16,4627,0.22,820,0.04,8838,0.42,1139,0.05,1478,0.07
,,Male,Hispanic,,55706,48611,0.87,34805,0.63,12800,0.23,32688,0.59,5523,0.10,14059,0.25,772,0.01,20354,0.37,2397,0.04,4470,0.08
,,Male,White,,72854,65061,0.89,56766,0.78,6686,0.09,51751,0.71,15745,0.22,23163,0.32,2783,0.04,41691,0.57,4526,0.06,15609,0.21
,,,,Not Economically Disadvantaged,168819,152280,0.90,134981,0.80,13947,0.08,126911,0.75,44420,0.26,56624,0.34,7234,0.04,108278,0.64,10244,0.06,44425,0.26
,,,,Economically Disadvantaged,131018,113702,0.87,84141,0.64,26425,0.20,77849,0.59,13030,0.10,33452,0.26,1989,0.02,48471,0.37,5691,0.04,10805,0.08
01,Edinburg,,,,20276,18274,0.90,14141,0.70,3717,0.18,14035,0.69,3979,0.20,6255,0.31,245,0.01,10479,0.52,783,0.04,3409,0.17
02,Corpus Christi,,,,8597,7428,0.86,5989,0.70,1265,0.15,5659,0.66,1734,0.20,2582,0.30,118,0.01,4434,0.52,474,0.06,1359,0.16
03,Victoria,,,,4474,4180,0.93,3428,0.77,664,0.15,3335,0.75,645,0.14,1643,0.37,76,0.02,2364,0.53,144,0.03,994,0.22
04,Houston,,,,62754,54935,0.88,43465,0.69,10124,0.16,41103,0.66,13342,0.21,17798,0.28,2057,0.03,33197,0.53,4248,0.07,11996,0.19
05,Beaumont,,,,6741,6149,0.91,5163,0.77,775,0.12,4690,0.70,1601,0.24,1623,0.24,171,0.03,3395,0.50,234,0.03,1212,0.18
06,Huntsville,,,,10318,9239,0.90,7738,0.75,1303,0.13,7253,0.70,1876,0.18,3187,0.31,301,0.03,5364,0.52,526,0.05,2055,0.20
07,Kilgore,,,,12341,11113,0.90,9708,0.79,1169,0.09,8755,0.71,1651,0.13,4615,0.37,274,0.02,6540,0.53,547,0.04,2456,0.20
08,Mt. Pleasant,,,,4231,3828,0.91,3368,0.80,324,0.08,3095,0.73,471,0.11,1707,0.40,251,0.06,2429,0.57,218,0.05,836,0.20
09,Wichita Falls,,,,3364,3071,0.91,2626,0.78,320,0.10,2443,0.73,814,0.24,796,0.24,111,0.03,1721,0.51,119,0.04,707,0.21
10,Richardson,,,,42225,36940,0.88,30653,0.73,5563,0.13,28668,0.68,7249,0.17,12435,0.29,1718,0.04,21402,0.51,2275,0.05,7568,0.18
11,Fort Worth,,,,30189,26614,0.88,22413,0.74,3584,0.12,20909,0.69,6001,0.20,9162,0.30,1123,0.04,16286,0.54,1606,0.05,5926,0.20
12,Waco,,,,10149,8802,0.87,7387,0.73,1087,0.11,6714,0.66,1421,0.14,3971,0.39,169,0.02,5561,0.55,684,0.07,1994,0.20
13,Austin,,,,20147,17930,0.89,15016,0.75,2550,0.13,14211,0.71,4776,0.24,4851,0.24,761,0.04,10388,0.52,929,0.05,4060,0.20
14,Abilene,,,,4085,3732,0.91,3347,0.82,303,0.07,2962,0.73,943,0.23,1240,0.30,97,0.02,2280,0.56,177,0.04,962,0.24
15,San Angelo,,,,3958,3544,0.90,3183,0.80,317,0.08,2813,0.71,1053,0.27,835,0.21,70,0.02,1958,0.50,165,0.04,754,0.19
16,Amarillo,,,,6288,5757,0.92,5086,0.81,469,0.07,4487,0.71,1091,0.17,2157,0.34,276,0.04,3524,0.56,316,0.05,1256,0.20
