Region Code,TEA Region,County Number,County Name,economic-status,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,enrolled_out_of_state,enrolled_out_of_state_percent,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_percent,total_degrees,total_degrees_percent
01,Edinburg,031,CAMERON,Not Economically Disadvantaged,1190,1059,0.89,887,0.75,164,0.14,881,0.74,330,0.28,440,0.37,26,0.02,796,0.67,81,0.07,322,0.27
01,Edinburg,031,CAMERON,Economically Disadvantaged,4733,4235,0.90,3059,0.65,1092,0.23,3159,0.67,436,0.09,1838,0.39,38,0.01,2312,0.49,184,0.04,658,0.14
01,Edinburg,108,HIDALGO,Not Economically Disadvantaged,1909,1741,0.91,1487,0.78,233,0.12,1501,0.79,865,0.45,384,0.20,50,0.03,1299,0.68,65,0.03,574,0.30
01,Edinburg,108,HIDALGO,Economically Disadvantaged,7494,6736,0.90,5030,0.67,1492,0.20,4978,0.66,1541,0.21,1758,0.24,95,0.01,3394,0.45,270,0.04,969,0.13
01,Edinburg,124,JIM HOGG,Not Economically Disadvantaged,25,25,1.00,24,0.96,0,0.00,24,0.96,16,0.64,3,0.12,0,0.00,19,0.76,0,0.00,10,0.40
01,Edinburg,124,JIM HOGG,Economically Disadvantaged,71,65,0.92,62,0.87,2,0.03,51,0.72,13,0.18,19,0.27,1,0.01,33,0.47,3,0.04,9,0.13
01,Edinburg,214,STARR,Not Economically Disadvantaged,46,42,0.91,32,0.70,7,0.15,34,0.74,15,0.33,14,0.30,0,0.00,29,0.63,1,0.02,13,0.28
01,Edinburg,214,STARR,Economically Disadvantaged,1003,904,0.90,668,0.67,225,0.22,622,0.62,156,0.16,305,0.30,6,0.01,467,0.47,49,0.05,163,0.16
01,Edinburg,240,WEBB,Not Economically Disadvantaged,701,628,0.90,569,0.81,47,0.07,552,0.79,178,0.25,319,0.46,10,0.01,507,0.72,43,0.06,217,0.31
01,Edinburg,240,WEBB,Economically Disadvantaged,2531,2303,0.91,1852,0.73,405,0.16,1806,0.71,301,0.12,1034,0.41,16,0.01,1351,0.53,76,0.03,387,0.15
01,Edinburg,245,WILLACY,Not Economically Disadvantaged,50,48,0.96,46,0.92,2,0.04,45,0.90,28,0.56,7,0.14,1,0.02,36,0.72,0,0.00,12,0.24
01,Edinburg,245,WILLACY,Economically Disadvantaged,289,267,0.92,213,0.74,44,0.15,206,0.71,53,0.18,62,0.22,1,0.00,116,0.40,5,0.02,38,0.13
01,Edinburg,253,ZAPATA,Not Economically Disadvantaged,40,36,0.90,37,0.93,2,0.05,37,0.93,19,0.48,15,0.38,0,0.00,34,0.85,1,0.03,13,0.33
