Region Code,TEA Region,County Number,County Name,gender,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_percent,total_degrees,total_degrees_percent
1,Edinburg,31,CAMERON,Female,3593,3437,96%,2970,83%,415,12%,3011,84%,1030,29%,1041,29%,2071,58%,64,2%,1043,29%
1,Edinburg,31,CAMERON,Male,3679,3508,95%,2836,77%,616,17%,2910,79%,798,22%,988,27%,1786,49%,60,2%,745,20%
1,Edinburg,108,HIDALGO,Female,7250,6934,96%,6003,83%,803,11%,6058,84%,2083,29%,2122,29%,4205,58%,113,2%,2147,30%
1,Edinburg,108,HIDALGO,Male,7497,7180,96%,5850,78%,1205,16%,6020,80%,1705,23%,2028,27%,3733,50%,96,1%,1457,19%
1,Edinburg,124,JIM HOGG,Female,44,42,95%,41,93%,,nan,36,82%,21,48%,8,18%,29,66%,,nan,13,30%
1,Edinburg,124,JIM HOGG,Male,31,31,100%,27,87%,,nan,27,87%,9,29%,6,19%,15,48%,,nan,6,19%
1,Edinburg,214,STARR,Female,612,596,97%,516,84%,57,9%,485,79%,124,20%,230,38%,354,58%,9,1%,196,32%
1,Edinburg,214,STARR,Male,662,638,96%,544,82%,81,12%,520,79%,121,18%,229,35%,350,53%,11,2%,164,25%
1,Edinburg,240,WEBB,Female,2295,2190,95%,1970,86%,188,8%,1924,84%,566,25%,886,39%,1452,63%,35,2%,737,32%
1,Edinburg,240,WEBB,Male,2397,2287,95%,1974,82%,311,13%,1964,82%,422,18%,892,37%,1314,55%,25,1%,514,21%
1,Edinburg,245,WILLACY,Female,158,157,99%,147,93%,8,5%,136,86%,47,30%,46,29%,93,59%,,nan,39,25%
1,Edinburg,245,WILLACY,Male,183,178,97%,151,83%,24,13%,141,77%,38,21%,47,26%,85,46%,,nan,35,19%
1,Edinburg,253,ZAPATA,Female,116,111,96%,108,93%,,nan,98,84%,26,22%,27,23%,53,46%,,nan,22,19%
1,Edinburg,253,ZAPATA,Male,123,120,98%,114,93%,,nan,95,77%,25,20%,25,20%,50,41%,,nan,32,26%
2,Corpus Christi,4,ARANSAS,Female,118,113,96%,102,86%,,nan,85,72%,29,25%,34,29%,63,53%,6,5%,30,25%
2,Corpus Christi,4,ARANSAS,Male,131,125,95%,113,86%,5,4%,92,70%,15,11%,29,22%,44,34%,5,4%,18,14%
2,Corpus Christi,13,BEE,Female,182,176,97%,151,83%,24,13%,151,83%,26,14%,79,43%,105,58%,,nan,55,30%
2,Corpus Christi,13,BEE,Male,179,172,96%,121,68%,49,27%,126,70%,13,7%,55,31%,68,38%,,nan,26,15%
2,Corpus Christi,24,BROOKS,Female,50,48,96%,42,84%,,nan,36,72%,11,22%,16,32%,27,54%,,nan,13,26%
2,Corpus Christi,24,BROOKS,Male,67,62,93%,50,75%,10,15%,48,72%,7,10%,15,22%,22,33%,,nan,7,10%
2,Corpus Christi,66,DUVAL,Female,97,94,97%,87,90%,,nan,82,85%,24,25%,36,37%,60,62%,,nan,30,31%
2,Corpus Christi,66,DUVAL,Male,91,88,97%,78,86%,5,5%,60,66%,10,11%,27,30%,37,41%,,nan,14,15%
2,Corpus Christi,125,JIM WELLS,Female,299,289,97%,246,82%,35,12%,228,76%,72,24%,91,30%,163,55%,6,2%,75,25%
2,Corpus Christi,125,JIM WELLS,Male,316,308,97%,244,77%,49,16%,230,73%,47,15%,78,25%,125,40%,,nan,50,16%
2,Corpus Christi,137,KLEBERG,Female,182,175,96%,129,71%,39,21%,137,75%,52,29%,47,26%,99,54%,,nan,49,27%
2,Corpus Christi,137,KLEBERG,Male,199,181,91%,151,76%,34,17%,150,75%,59,30%,37,19%,96,48%,,nan,35,18%
2,Corpus Christi,149,LIVE OAK,Female,,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan
2,Corpus Christi,149,LIVE OAK,Male,,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan
2,Corpus Christi,162,MCMULLEN,Female,,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan
2,Corpus Christi,162,MCMULLEN,Male,,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan
2,Corpus Christi,178,NUECES,Female,2246,2120,94%,1952,87%,155,7%,1834,82%,573,26%,719,32%,1292,58%,60,3%,567,25%
2,Corpus Christi,178,NUECES,Male,2270,2132,94%,1883,83%,215,9%,1742,77%,432,19%,583,26%,1015,45%,44,2%,385,17%
2,Corpus Christi,205,SAN PATRICIO,Female,538,509,95%,460,86%,37,7%,430,80%,121,22%,161,30%,282,52%,,nan,116,22%
2,Corpus Christi,205,SAN PATRICIO,Male,552,526,95%,466,84%,54,10%,446,81%,96,17%,156,28%,252,46%,6,1%,98,18%
3,Victoria,29,CALHOUN,Female,154,148,96%,143,93%,,nan,137,89%,33,21%,54,35%,87,56%,,nan,34,22%
3,Victoria,29,CALHOUN,Male,148,143,97%,134,91%,7,5%,125,84%,25,17%,35,24%,60,41%,,nan,31,21%
3,Victoria,45,COLORADO,Female,131,128,98%,121,92%,,nan,110,84%,22,17%,51,39%,73,56%,,nan,38,29%
3,Victoria,45,COLORADO,Male,134,128,96%,120,90%,7,5%,111,83%,11,8%,47,35%,58,43%,,nan,30,22%
3,Victoria,62,DE WITT,Female,152,144,95%,140,92%,5,3%,126,83%,29,19%,52,34%,81,53%,,nan,46,30%
3,Victoria,62,DE WITT,Male,175,169,97%,149,85%,16,9%,138,79%,28,16%,51,29%,79,45%,,nan,39,22%
