Region Code,TEA Region,gender,ethnicity,economic_status,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,enrolled_out_of_state,enrolled_out_of_state_percent,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_percent,total_degrees,total_degrees_percent
,,Female,Am. Indian,,425,364,0.86,293,0.69,67,0.16,265,0.62,70,0.17,131,0.31,15,0.04,216,0.51,30,0.07,74,0.17
,,Female,Asian,,3780,3509,0.93,3319,0.88,120,0.03,3153,0.83,1619,0.43,1025,0.27,181,0.05,2825,0.75,166,0.04,1664,0.44
,,Female,African American,,21646,19880,0.92,16520,0.76,3140,0.15,15303,0.71,4716,0.22,6712,0.31,599,0.03,12027,0.56,1132,0.05,3026,0.14
,,Female,Hispanic,,56466,51705,0.92,41593,0.74,8927,0.16,37587,0.67,7232,0.13,17967,0.32,580,0.01,25779,0.46,2256,0.04,7926,0.14
,,Female,White,,65499,61231,0.94,55697,0.85,3988,0.06,51304,0.78,18082,0.28,23486,0.36,2793,0.04,44361,0.68,3293,0.05,20942,0.32
,,Male,Am. Indian,,437,377,0.86,298,0.68,60,0.14,261,0.60,49,0.11,125,0.29,20,0.05,194,0.44,24,0.05,44,0.10
,,Male,Asian,,4069,3798,0.93,3496,0.86,233,0.06,3253,0.80,1493,0.37,1214,0.30,150,0.04,2857,0.70,200,0.05,1366,0.34
,,Male,African American,,22185,19954,0.90,14879,0.67,4945,0.22,13691,0.62,3306,0.15,5569,0.25,765,0.03,9640,0.44,1108,0.05,1678,0.08
,,Male,Hispanic,,60398,54744,0.91,40359,0.67,13560,0.23,36222,0.60,5829,0.10,16124,0.27,522,0.01,22475,0.37,2283,0.04,5244,0.09
,,Male,White,,69633,64362,0.92,56454,0.81,6816,0.10,51730,0.74,15719,0.23,22811,0.33,2322,0.03,40852,0.59,3364,0.05,15761,0.23
,,,,Not Economically Disadvantaged,166567,155081,0.93,138506,0.83,14003,0.08,129392,0.78,44711,0.27,57853,0.35,6552,0.04,109116,0.66,8142,0.05,45721,0.27
,,,,Economically Disadvantaged,137971,124843,0.91,94402,0.68,27853,0.20,83377,0.60,13404,0.10,37311,0.27,1395,0.01,52110,0.38,5714,0.04,12004,0.09
01,Edinburg,,,,20874,19451,0.93,15117,0.72,3968,0.19,14277,0.68,3928,0.19,6897,0.33,160,0.01,10985,0.53,849,0.04,3764,0.18
02,Corpus Christi,,,,8240,7580,0.92,6261,0.76,1171,0.14,5732,0.70,1650,0.20,2587,0.31,82,0.01,4319,0.52,331,0.04,1407,0.17
03,Victoria,,,,4261,4031,0.95,3344,0.79,611,0.14,3131,0.74,602,0.14,1619,0.38,43,0.01,2264,0.53,153,0.04,947,0.22
04,Houston,,,,64354,58649,0.91,47588,0.74,10300,0.16,44100,0.69,13329,0.21,19164,0.30,1869,0.03,34362,0.53,3394,0.05,12803,0.20
05,Beaumont,,,,6487,6069,0.94,5092,0.79,849,0.13,4682,0.72,1554,0.24,1634,0.25,149,0.02,3337,0.51,234,0.04,1184,0.18
06,Huntsville,,,,10586,9784,0.92,8256,0.78,1324,0.13,7603,0.72,1993,0.19,3357,0.32,264,0.02,5614,0.53,438,0.04,2188,0.21
07,Kilgore,,,,12098,11278,0.93,9737,0.81,1343,0.11,8823,0.73,1755,0.15,4464,0.37,233,0.02,6452,0.53,512,0.04,2482,0.21
08,Mt. Pleasant,,,,4191,3876,0.93,3485,0.83,301,0.07,3116,0.74,427,0.10,1661,0.40,183,0.04,2271,0.54,163,0.04,769,0.18
09,Wichita Falls,,,,3166,2965,0.94,2528,0.80,306,0.10,2345,0.74,739,0.23,766,0.24,87,0.03,1592,0.50,91,0.03,657,0.21
10,Richardson,,,,45059,40874,0.91,33599,0.75,6704,0.15,30940,0.69,7646,0.17,13872,0.31,1654,0.04,23172,0.51,2123,0.05,8000,0.18
11,Fort Worth,,,,32134,29458,0.92,24776,0.77,4085,0.13,22761,0.71,6541,0.20,10289,0.32,1091,0.03,17921,0.56,1545,0.05,6473,0.20
12,Waco,,,,10360,9361,0.90,8008,0.77,1118,0.11,7217,0.70,1507,0.15,4081,0.39,152,0.01,5740,0.55,582,0.06,2041,0.20
13,Austin,,,,20603,18970,0.92,16257,0.79,2393,0.12,14995,0.73,5087,0.25,5360,0.26,646,0.03,11093,0.54,830,0.04,4233,0.21
14,Abilene,,,,3689,3446,0.93,2996,0.81,388,0.11,2709,0.73,854,0.23,1111,0.30,47,0.01,2012,0.55,140,0.04,869,0.24
15,San Angelo,,,,3950,3682,0.93,3340,0.85,290,0.07,2806,0.71,1039,0.26,873,0.22,43,0.01,1955,0.50,130,0.03,763,0.19
16,Amarillo,,,,5887,5447,0.93,4842,0.82,461,0.08,4274,0.73,960,0.16,2048,0.35,219,0.04,3227,0.55,250,0.04,1198,0.20
17,Lubbock,,,,5978,5659,0.95,5154,0.86,361,0.06,4442,0.74,1053,0.18,1780,0.30,127,0.02,2960,0.50,157,0.03,1143,0.19
18,Midland,,,,6045,5625,0.93,4960,0.82,575,0.10,4062,0.67,900,0.15,1812,0.30,68,0.01,2780,0.46,224,0.04,1022,0.17
19,El Paso,,,,11432,10574,0.93,8375,0.73,1915,0.17,7860,0.69,2160,0.19,3791,0.33,390,0.03,6341,0.56,574,0.05,1720,0.15
20,San Antonio,,,,25144,23145,0.92,19193,0.76,3393,0.14,16894,0.67,4391,0.18,7998,0.32,440,0.02,12829,0.51,1136,0.05,4062,0.16
,,,,,304538,279924,0.92,232908,0.77,41856,0.14,212769,0.70,58115,0.19,95164,0.31,7947,0.03,161226,0.53,13856,0.05,57725,0.19
,,Female,,,147816,136689,0.93,117422,0.79,16242,0.11,107612,0.73,31719,0.22,49321,0.33,4168,0.03,85208,0.58,6877,0.05,33632,0.23
,,Male,,,156722,143235,0.91,115486,0.74,25614,0.16,105157,0.67,26396,0.17,45843,0.29,3779,0.02,76018,0.49,6979,0.04,24093,0.15
1,Edinburg,,,Not Economically Disadvantaged,3762,3536,0.94,3048,0.81,423,0.11,2994,0.80,1452,0.39,1204,0.32,65,0.02,2721,0.72,151,0.04,1254,0.33
1,Edinburg,,,Economically Disadvantaged,17112,15915,0.93,12069,0.71,3545,0.21,11283,0.66,2476,0.15,5693,0.33,95,0.01,8264,0.48,698,0.04,2510,0.15
2,Corpus Christi,,,Not Economically Disadvantaged,4003,3702,0.93,3252,0.81,394,0.10,3089,0.77,1149,0.29,1407,0.35,54,0.01,2610,0.65,169,0.04,1065,0.27
2,Corpus Christi,,,Economically Disadvantaged,4237,3878,0.92,3009,0.71,777,0.18,2643,0.62,501,0.12,1180,0.28,28,0.01,1709,0.40,162,0.04,342,0.08
