Region Code,TEA Region,County Number,County Name,economic_status,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,enrolled_out_of_state,enrolled_out_of_state_percent,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_percent,total_degrees,total_degrees_percent
01,Edinburg,031,CAMERON,Not Economically Disadvantaged,994,914,0.92,798,0.80,107,0.11,787,0.79,311,0.31,398,0.40,20,0.02,729,0.73,71,0.07,323,0.33
01,Edinburg,031,CAMERON,Economically Disadvantaged,4885,4427,0.91,3214,0.66,1114,0.23,3201,0.66,400,0.08,1911,0.39,55,0.01,2366,0.48,207,0.04,650,0.13
01,Edinburg,108,HIDALGO,Not Economically Disadvantaged,1876,1717,0.92,1454,0.78,247,0.13,1487,0.79,857,0.46,423,0.23,44,0.02,1324,0.71,66,0.04,574,0.31
01,Edinburg,108,HIDALGO,Economically Disadvantaged,7902,7222,0.91,5376,0.68,1670,0.21,5486,0.69,1651,0.21,2021,0.26,90,0.01,3762,0.48,244,0.03,1133,0.14
01,Edinburg,124,JIM HOGG,Not Economically Disadvantaged,33,33,1.00,32,0.97,0,0.00,29,0.88,19,0.58,7,0.21,0,0.00,26,0.79,1,0.03,11,0.33
01,Edinburg,124,JIM HOGG,Economically Disadvantaged,62,60,0.97,57,0.92,1,0.02,50,0.81,17,0.27,17,0.27,0,0.00,34,0.55,3,0.05,6,0.10
01,Edinburg,214,STARR,Not Economically Disadvantaged,78,65,0.83,53,0.68,12,0.15,49,0.63,21,0.27,18,0.23,2,0.03,41,0.53,1,0.01,19,0.24
01,Edinburg,214,STARR,Economically Disadvantaged,1012,960,0.95,713,0.71,214,0.21,657,0.65,129,0.13,345,0.34,6,0.01,480,0.47,26,0.03,187,0.19
01,Edinburg,240,WEBB,Not Economically Disadvantaged,653,611,0.94,565,0.87,40,0.06,555,0.85,192,0.29,306,0.47,8,0.01,506,0.78,24,0.04,189,0.29
01,Edinburg,240,WEBB,Economically Disadvantaged,2801,2535,0.91,2128,0.76,368,0.13,2004,0.72,322,0.12,1168,0.42,11,0.00,1501,0.54,75,0.03,434,0.16
01,Edinburg,245,WILLACY,Not Economically Disadvantaged,66,59,0.89,54,0.82,7,0.11,54,0.82,28,0.42,15,0.23,1,0.02,44,0.67,3,0.05,18,0.27
01,Edinburg,245,WILLACY,Economically Disadvantaged,306,287,0.94,229,0.75,43,0.14,223,0.73,55,0.18,99,0.32,0,0.00,154,0.50,7,0.02,36,0.12
01,Edinburg,253,ZAPATA,Not Economically Disadvantaged,27,26,0.96,27,1.00,0,0.00,24,0.89,12,0.44,6,0.22,1,0.04,19,0.70,0,0.00,9,0.33
01,Edinburg,253,ZAPATA,Economically Disadvantaged,170,165,0.97,145,0.85,12,0.07,131,0.77,20,0.12,53,0.31,0,0.00,73,0.43,2,0.01,24,0.14
02,Corpus Christi,004,ARANSAS,Not Economically Disadvantaged,151,137,0.91,126,0.83,11,0.07,120,0.80,47,0.31,37,0.25,5,0.03,89,0.59,7,0.05,32,0.21
02,Corpus Christi,004,ARANSAS,Economically Disadvantaged,115,100,0.87,87,0.76,14,0.12,81,0.70,13,0.11,31,0.27,0,0.00,44,0.38,2,0.02,11,0.10
02,Corpus Christi,013,BEE,Not Economically Disadvantaged,186,178,0.96,164,0.88,11,0.06,160,0.86,43,0.23,89,0.48,2,0.01,134,0.72,5,0.03,66,0.36
02,Corpus Christi,013,BEE,Economically Disadvantaged,249,220,0.88,171,0.69,50,0.20,159,0.64,7,0.03,93,0.37,2,0.01,102,0.41,4,0.02,19,0.08
02,Corpus Christi,024,BROOKS,Not Economically Disadvantaged,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
02,Corpus Christi,024,BROOKS,Economically Disadvantaged,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
02,Corpus Christi,066,DUVAL,Not Economically Disadvantaged,61,53,0.87,48,0.79,2,0.03,46,0.75,19,0.31,18,0.30,0,0.00,37,0.61,3,0.05,19,0.31
02,Corpus Christi,066,DUVAL,Economically Disadvantaged,208,194,0.93,181,0.87,10,0.05,155,0.75,37,0.18,70,0.34,1,0.00,108,0.52,7,0.03,18,0.09
02,Corpus Christi,125,JIM WELLS,Not Economically Disadvantaged,255,246,0.97,222,0.87,21,0.08,212,0.83,103,0.40,75,0.29,5,0.02,183,0.72,6,0.02,74,0.29
02,Corpus Christi,125,JIM WELLS,Economically Disadvantaged,448,426,0.95,320,0.71,97,0.22,282,0.63,77,0.17,114,0.25,3,0.01,194,0.43,19,0.04,35,0.08
02,Corpus Christi,137,KLEBERG,Not Economically Disadvantaged,214,195,0.91,185,0.86,13,0.06,183,0.86,121,0.57,41,0.19,4,0.02,166,0.78,5,0.02,76,0.36
02,Corpus Christi,137,KLEBERG,Economically Disadvantaged,254,225,0.89,189,0.74,37,0.15,170,0.67,74,0.29,46,0.18,2,0.01,122,0.48,7,0.03,25,0.10
02,Corpus Christi,149,LIVE OAK,Not Economically Disadvantaged,89,86,0.97,82,0.92,2,0.02,73,0.82,27,0.30,28,0.32,0,0.00,55,0.62,4,0.04,32,0.36
02,Corpus Christi,149,LIVE OAK,Economically Disadvantaged,69,59,0.86,52,0.75,9,0.13,42,0.61,7,0.10,22,0.32,0,0.00,29,0.42,2,0.03,5,0.07
02,Corpus Christi,162,MCMULLEN,Not Economically Disadvantaged,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
02,Corpus Christi,162,MCMULLEN,Economically Disadvantaged,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
02,Corpus Christi,178,NUECES,Not Economically Disadvantaged,2407,2160,0.90,1851,0.77,266,0.11,1786,0.74,700,0.29,809,0.34,54,0.02,1563,0.65,149,0.06,601,0.25
02,Corpus Christi,178,NUECES,Economically Disadvantaged,2360,2022,0.86,1524,0.65,522,0.22,1453,0.62,248,0.11,678,0.29,17,0.01,943,0.40,97,0.04,185,0.08
02,Corpus Christi,205,SAN PATRICIO,Not Economically Disadvantaged,577,530,0.92,465,0.81,52,0.09,455,0.79,172,0.30,192,0.33,10,0.02,374,0.65,23,0.04,144,0.25
02,Corpus Christi,205,SAN PATRICIO,Economically Disadvantaged,647,577,0.89,432,0.67,148,0.23,421,0.65,58,0.09,161,0.25,10,0.02,229,0.35,14,0.02,48,0.07
03,Victoria,029,CALHOUN,Not Economically Disadvantaged,188,176,0.94,148,0.79,28,0.15,164,0.87,38,0.20,74,0.39,3,0.02,115,0.61,5,0.03,54,0.29
