Region Code,TEA Region,gender,ethnicity,economic_status,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,enrolled_out_of_state,enrolled_out_of_state_percent,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_percent,total_degrees,total_degrees_percent
,,Female,Am. Indian,,329,274,0.83,216,0.66,42,0.13,198,0.60,28,0.09,98,0.30,16,0.05,142,0.43,20,0.06,42,0.13
,,Female,Asian,,3496,3172,0.91,2840,0.81,136,0.04,2729,0.78,1461,0.42,1007,0.29,175,0.05,2643,0.76,260,0.07,1510,0.43
,,Female,African American,,19753,17976,0.91,13671,0.69,3239,0.16,13300,0.67,3708,0.19,5696,0.29,784,0.04,10188,0.52,993,0.05,2669,0.14
,,Female,Hispanic,,50694,45189,0.89,33174,0.65,9207,0.18,31616,0.62,5932,0.12,15483,0.31,840,0.02,22255,0.44,2254,0.04,6242,0.12
,,Female,White,,66879,61677,0.92,54286,0.81,4396,0.07,49150,0.74,16109,0.24,24568,0.37,3001,0.04,43678,0.65,4182,0.06,19810,0.30
,,Male,Am. Indian,,375,317,0.85,205,0.55,74,0.20,171,0.46,41,0.11,76,0.20,13,0.03,130,0.35,25,0.07,34,0.09
,,Male,Asian,,3541,3244,0.92,2864,0.81,226,0.06,2679,0.76,1328,0.38,1041,0.29,136,0.04,2505,0.71,251,0.07,1152,0.33
,,Male,African American,,20474,18194,0.89,12279,0.60,4861,0.24,11512,0.56,2732,0.13,4449,0.22,796,0.04,7977,0.39,984,0.05,1342,0.07
,,Male,Hispanic,,53817,47602,0.89,31793,0.59,13230,0.25,29204,0.54,4783,0.09,13029,0.24,935,0.02,18747,0.35,2338,0.04,3971,0.07
,,Male,White,,71354,65197,0.91,54662,0.77,7106,0.10,49185,0.69,13938,0.20,23580,0.33,2875,0.04,40393,0.57,4320,0.06,14620,0.21
,,,,Not Economically Disadvantaged,164494,151132,0.92,128814,0.78,15247,0.09,120366,0.73,38960,0.24,58123,0.35,7380,0.04,104463,0.64,10121,0.06,41535,0.25
,,,,Economically Disadvantaged,126218,111710,0.89,77176,0.61,27270,0.22,69378,0.55,11100,0.09,30904,0.25,2191,0.02,44195,0.35,5506,0.04,9857,0.08
01,Edinburg,,,,20698,18661,0.90,12938,0.63,4778,0.23,13395,0.65,3602,0.17,6199,0.30,332,0.02,10133,0.49,831,0.04,3088,0.15
02,Corpus Christi,,,,9021,8078,0.90,6129,0.68,1480,0.16,5815,0.65,1658,0.18,2717,0.30,133,0.01,4508,0.50,416,0.05,1441,0.16
