Region Code,TEA Region,County Number,County Name,gender,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_percent,total_degrees,total_degrees_percent
1,Edinburg,31,CAMERON,Female,3461,3309,96%,2928,85%,312,9%,2863,83%,982,28%,986,28%,1968,57%,47,1%,961,28%
1,Edinburg,31,CAMERON,Male,3673,3530,96%,3007,82%,485,13%,2946,80%,812,22%,1041,28%,1853,50%,50,1%,712,19%
1,Edinburg,108,HIDALGO,Female,7041,6735,96%,5852,83%,740,11%,5768,82%,2066,29%,2096,30%,4162,59%,95,1%,2056,29%
1,Edinburg,108,HIDALGO,Male,7123,6781,95%,5604,79%,1093,15%,5705,80%,1675,24%,1946,27%,3621,51%,89,1%,1408,20%
1,Edinburg,124,JIM HOGG,Female,35,35,100%,33,94%,  ,  ,27,77%,15,43%,10,29%,25,71%,  ,  ,11,31%
1,Edinburg,124,JIM HOGG,Male,32,32,100%,30,94%,  ,  ,29,91%,9,28%,11,34%,20,63%,  ,  ,10,31%
1,Edinburg,214,STARR,Female,615,598,97%,555,90%,28,5%,515,84%,124,20%,268,44%,392,64%,11,2%,214,35%
1,Edinburg,214,STARR,Male,617,595,96%,536,87%,42,7%,498,81%,112,18%,197,32%,309,50%,  ,  ,147,24%
1,Edinburg,240,WEBB,Female,2417,2270,94%,2053,85%,195,8%,1981,82%,590,24%,969,40%,1559,65%,42,2%,773,32%
1,Edinburg,240,WEBB,Male,2375,2265,95%,1980,83%,275,12%,1886,79%,418,18%,919,39%,1337,56%,34,1%,535,23%
1,Edinburg,245,WILLACY,Female,150,148,99%,139,93%,5,3%,132,88%,40,27%,49,33%,89,59%,  ,  ,31,21%
1,Edinburg,245,WILLACY,Male,176,171,97%,157,89%,16,9%,154,88%,42,24%,48,27%,90,51%,  ,  ,34,19%
1,Edinburg,253,ZAPATA,Female,119,114,96%,114,96%,  ,  ,106,89%,27,23%,42,35%,69,58%,  ,  ,39,33%
1,Edinburg,253,ZAPATA,Male,117,115,98%,109,93%,  ,  ,92,79%,30,26%,24,21%,54,46%,  ,  ,24,21%
2,Corpus Christi,4,ARANSAS,Female,102,96,94%,93,91%,  ,  ,77,75%,21,21%,25,25%,46,45%,  ,  ,19,19%
2,Corpus Christi,4,ARANSAS,Male,129,124,96%,110,85%,10,8%,87,67%,25,19%,19,15%,44,34%,  ,  ,20,16%
2,Corpus Christi,13,BEE,Female,177,171,97%,151,85%,19,11%,127,72%,9,5%,79,45%,88,50%,6,3%,48,27%
2,Corpus Christi,13,BEE,Male,183,177,97%,156,85%,24,13%,143,78%,16,9%,61,33%,77,42%,  ,  ,33,18%
2,Corpus Christi,24,BROOKS,Female, NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA 
2,Corpus Christi,24,BROOKS,Male, NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA 
2,Corpus Christi,66,DUVAL,Female,105,103,98%,97,92%,6,6%,87,83%,21,20%,39,37%,60,57%,  ,  ,24,23%
2,Corpus Christi,66,DUVAL,Male,101,91,90%,85,84%,11,11%,71,70%,12,12%,23,23%,35,35%,  ,  ,7,7%
2,Corpus Christi,125,JIM WELLS,Female,326,315,97%,264,81%,43,13%,237,73%,73,22%,112,34%,185,57%,8,2%,91,28%
2,Corpus Christi,125,JIM WELLS,Male,333,320,96%,261,78%,47,14%,245,74%,61,18%,77,23%,138,41%,  ,  ,56,17%
2,Corpus Christi,137,KLEBERG,Female,193,183,95%,150,78%,22,11%,148,77%,67,35%,55,29%,122,63%,8,4%,62,32%
2,Corpus Christi,137,KLEBERG,Male,194,178,92%,130,67%,37,19%,129,66%,41,21%,35,18%,76,39%,  ,  ,27,14%
2,Corpus Christi,149,LIVE OAK,Female,70,68,97%,65,93%,  ,  ,63,90%,26,37%,25,36%,51,73%,  ,  ,35,50%
2,Corpus Christi,149,LIVE OAK,Male,60,57,95%,52,87%,5,8%,49,82%,17,28%,15,25%,32,53%,  ,  ,16,27%
2,Corpus Christi,162,MCMULLEN,Female, NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA 
2,Corpus Christi,162,MCMULLEN,Male, NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA 
2,Corpus Christi,178,NUECES,Female,2184,2055,94%,1918,88%,123,6%,1761,81%,565,26%,695,32%,1260,58%,57,3%,501,23%
2,Corpus Christi,178,NUECES,Male,2249,2097,93%,1872,83%,208,9%,1716,76%,419,19%,617,27%,1036,46%,40,2%,375,17%
2,Corpus Christi,205,SAN PATRICIO,Female,502,471,94%,451,90%,17,3%,416,83%,112,22%,169,34%,281,56%,7,1%,123,25%
2,Corpus Christi,205,SAN PATRICIO,Male,564,533,95%,484,86%,33,6%,439,78%,74,13%,160,28%,234,41%,5,1%,78,14%
3,Victoria,29,CALHOUN,Female,137,135,99%,123,90%,7,5%,123,90%,21,15%,52,38%,73,53%,  ,  ,34,25%
3,Victoria,29,CALHOUN,Male,149,145,97%,137,92%,6,4%,123,83%,16,11%,38,26%,54,36%,  ,  ,24,16%
3,Victoria,45,COLORADO,Female,119,114,96%,109,92%,5,4%,100,84%,21,18%,52,44%,73,61%,  ,  ,42,35%
3,Victoria,45,COLORADO,Male,106,104,98%,91,86%,12,11%,82,77%,13,12%,40,38%,53,50%,  ,  ,28,26%
3,Victoria,62,DE WITT,Female,160,153,96%,142,89%,6,4%,123,77%,32,20%,59,37%,91,57%,5,3%,40,25%
