Region Code,TEA Region,gender,ethnicity,economic_status,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,enrolled_out_of_state,enrolled_out_of_state_per,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_per,total_degrees,total_degrees_percent
,,Female,African American,,22005,20780,94.43%,18585,84.46%,1801,8.18%,17345,78.82%,5808,26.39%,7385,33.56%,,,13193,59.95%,759,3.45%,4754,21.60%
,,Female,Hispanic,,81265,77173,94.96%,69144,85.08%,6771,8.33%,64842,79.79%,14499,17.84%,28044,34.51%,,,42543,52.35%,1695,2.09%,18903,23.26%
,,Female,White,,56124,53456,95.25%,50399,89.80%,1727,3.08%,46518,82.88%,17008,30.30%,19524,34.79%,,,36532,65.09%,2056,3.66%,21290,37.93%
,,Female,Others,,9552,9030,0.9454,8563,0.8965,284,0.0297,8079,0.8458,3707,0.3881,2591,0.2713,,,6298,0.6593,284,0.0297,4139,0.4333
,,Male,African American,,23358,21799,93.33%,18184,77.85%,3282,14.05%,16931,72.48%,4260,18.24%,6751,28.90%,,,11011,47.14%,646,2.77%,2802,12.00%
,,Male,Hispanic,,84339,79906,94.74%,68159,80.82%,10559,12.52%,63956,75.83%,11417,13.54%,24483,29.03%,,,35900,42.57%,1355,1.61%,12671,15.02%
,,Male,White,,59855,56812,94.92%,52193,87.20%,3321,5.55%,48301,80.70%,14389,24.04%,18479,30.87%,,,32868,54.91%,1766,2.95%,16370,27.35%
,,Male ,Others,,9953,9404,94.48%,8728,87.69%,484,4.86%,8291,83.30%,3492,35.08%,2647,26.59%,,,6139,61.68%,259,2.60%,3549,35.66%
,,,,Not Economically Disadvantaged,152870,146036,95.53%,137240,89.78%,6204,4.06%,130480,85.35%,48243,31.56%,52220,34.16%,,,100463,65.72%,4725,3.09%,55037,36.00%
,,,,Economically Disadvantaged,193581,182324,94.18%,156715,80.96%,22025,11.38%,143783,74.28%,26337,13.61%,57684,29.80%,,,84021,43.40%,4095,2.12%,29441,15.21%
1,Edinburg,,,,27951,26698,95.52%,23097,82.63%,3198,11.44%,22702,81.22%,6942,24.84%,8606,30.79%,,,15548,55.63%,374,1.34%,6955,24.88%
2,Corpus Christi,,,,7597,7156,94.20%,6434,84.69%,626,8.24%,5879,77.39%,1588,20.90%,2226,29.30%,,,3814,50.20%,154,2.03%,1536,20.22%
3,Victoria,,,,3740,3596,96.15%,3290,87.97%,234,6.26%,2936,78.50%,566,15.13%,1395,37.30%,,,1961,52.43%,93,2.49%,950,25.40%
4,Houston,,,,75892,72158,95.08%,64067,84.42%,6643,8.75%,59661,78.61%,16403,21.61%,24605,32.42%,,,41008,54.03%,2176,2.87%,19133,25.21%
5,Beaumont,,,,5884,5615,95.43%,5134,87.25%,332,5.64%,4564,77.57%,1378,23.42%,1673,28.43%,,,3051,51.85%,160,2.72%,1363,23.16%
6,Huntsville,,,,12429,11747,94.51%,10609,85.36%,887,7.14%,9696,78.01%,2331,18.75%,3891,31.31%,,,6222,50.06%,337,2.71%,2950,23.73%
7,Kilgore,,,,11917,11338,95.14%,10546,88.50%,599,5.03%,9506,79.77%,1814,15.22%,4434,37.21%,,,6248,52.43%,335,2.81%,2892,24.27%
8,Mt. Pleasant,,,,4150,3928,94.65%,3623,87.30%,182,4.39%,3062,73.78%,599,14.43%,1511,36.41%,,,2110,50.84%,253,6.10%,938,22.60%
9,Wichita Falls,,,,2820,2653,94.08%,2442,86.60%,127,4.50%,2238,79.36%,639,22.66%,752,26.67%,,,1391,49.33%,64,2.27%,644,22.84%
10,Richardson,,,,53102,49981,94.12%,45346,85.39%,4194,7.90%,42862,80.72%,11001,20.72%,17141,32.28%,,,28142,53.00%,1256,2.37%,12572,23.68%
11,Fort Worth,,,,38635,36765,95.16%,32829,84.97%,3092,8.00%,30828,79.79%,8492,21.98%,12331,31.92%,,,20823,53.90%,1061,2.75%,9644,24.96%
12,Waco,,,,10704,9907,92.55%,8763,81.87%,900,8.41%,8217,76.77%,1785,16.68%,4035,37.70%,,,5820,54.37%,363,3.39%,2575,24.06%
13,Austin,,,,26123,24937,95.46%,22743,87.06%,1710,6.55%,21200,81.15%,6813,26.08%,6845,26.20%,,,13658,52.28%,629,2.41%,6709,25.68%
14,Abilene,,,,3339,3145,94.19%,2857,85.56%,203,6.08%,2596,77.75%,791,23.69%,963,28.84%,,,1754,52.53%,86,2.58%,891,26.68%
15,San Angelo,,,,3378,3233,95.71%,2991,88.54%,190,5.62%,2743,81.20%,946,28.00%,797,23.59%,,,1743,51.60%,62,1.84%,882,26.11%
16,Amarillo,,,,6044,5771,95.48%,5047,83.50%,545,9.02%,4787,79.20%,1124,18.60%,2077,34.36%,,,3201,52.96%,113,1.87%,1547,25.60%
