Region Code,TEA Region,County Number,County Name,ethnicity,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_percent,total_degrees,total_degrees_percent
1,Edinburg,31,CAMERON,Hispanic,6806,6529,96%,5657,83%,781,11%,5541,81%,1648,24%,1966,29%,3614,53%,85,1%,1549,23%
1,Edinburg,31,CAMERON,White,234,219,94%,191,82%,15,6%,187,80%,93,40%,47,20%,140,60%,9,4%,81,35%
1,Edinburg,31,CAMERON,Other Ethnicities,29,28,97%,25,86%,,,22,76%,11,38%,,,15,52%,,,6,21%
1,Edinburg,31,CAMERON,Others,65,63,97%,62,95%,,,59,91%,42,65%,10,15%,52,80%,,,37,57%
1,Edinburg,31,CAMERON,Hispanic,6806,6529,96%,5657,83%,781,11%,5541,81%,1648,24%,1966,29%,3614,53%,85,1%,1549,23%
1,Edinburg,31,CAMERON,White,234,219,94%,191,82%,15,6%,187,80%,93,40%,47,20%,140,60%,9,4%,81,35%
1,Edinburg,108,HIDALGO,Other Ethnicities,10,9,90%,8,80%,,,8,80%,,,,,6,60%,,,,
1,Edinburg,108,HIDALGO,Others,86,79,92%,75,87%,,,71,83%,44,51%,14,16%,58,67%,5,6%,43,50%
1,Edinburg,108,HIDALGO,African Americans,14,13,93%,10,71%,,,10,71%,,,5,36%,7,50%,,,,
1,Edinburg,108,HIDALGO,Hispanic,13781,13150,95%,11121,81%,1818,13%,11157,81%,3580,26%,3951,29%,7531,55%,170,1%,3322,24%
1,Edinburg,108,HIDALGO,Other Ethnicities,19,17,89%,17,89%,,,14,74%,,,7,37%,10,53%,,,5,26%
1,Edinburg,108,HIDALGO,White,254,248,98%,225,89%,11,4%,213,84%,110,43%,61,24%,171,67%,8,3%,89,35%
1,Edinburg,124,JIM HOGG,All Ethnicities,67,67,100%,63,94%,,,56,84%,24,36%,21,31%,45,67%,,,21,31%
1,Edinburg,214,STARR,All Ethnicities,1232,1193,97%,1091,89%,70,6%,1013,82%,236,19%,465,38%,701,57%,14,1%,361,29%
1,Edinburg,240,WEBB,Other Ethnicities,16,14,88%,12,75%,,,11,69%,5,31%,,,7,44%,,,5,31%
1,Edinburg,240,WEBB,Hispanic,4718,4466,95%,3967,84%,469,10%,3808,81%,983,21%,1870,40%,2853,60%,75,2%,1283,27%
1,Edinburg,240,WEBB,White,58,55,95%,54,93%,,,48,83%,20,34%,16,28%,36,62%,,,20,34%
1,Edinburg,245,WILLACY,Other Ethnicities,10,10,100%,9,90%,,,10,100%,5,50%,,,7,70%,,,,
1,Edinburg,245,WILLACY,Hispanic,316,309,98%,287,91%,21,7%,276,87%,77,24%,95,30%,172,54%,,,62,20%
1,Edinburg,253,ZAPATA,Hispanic,236,229,97%,223,94%,,,198,84%,57,24%,66,28%,123,52%,,,63,27%
2,Corpus Christi,4,ARANSAS,Other Ethnicities,14,13,93%,12,86%,,,10,71%,,,,,6,43%,,,,
2,Corpus Christi,4,ARANSAS,Hispanic,105,100,95%,91,87%,10,10%,72,69%,16,15%,20,19%,36,34%,,,9,9%
2,Corpus Christi,4,ARANSAS,White,112,107,96%,100,89%,,,82,73%,28,25%,20,18%,48,43%,5,4%,27,24%
2,Corpus Christi,13,BEE,Other Ethnicities,15,15,100%,13,87%,,,11,73%,,,5,33%,7,47%,,,,
2,Corpus Christi,13,BEE,Hispanic,273,266,97%,231,85%,37,14%,200,73%,14,5%,105,38%,119,44%,6,2%,56,21%
2,Corpus Christi,13,BEE,White,72,67,93%,63,88%,5,7%,59,82%,9,13%,30,42%,39,54%,,,24,33%
2,Corpus Christi,24,BROOKS,All Ethnicities,115,107,93%,85,74%,17,15%,76,66%,22,19%,20,17%,42,37%,,,15,13%
2,Corpus Christi,66,DUVAL,Other Ethnicities,13,11,85%,10,77%,,,8,62%,,,,,6,46%,,,,
2,Corpus Christi,66,DUVAL,Hispanic,193,183,95%,172,89%,17,9%,150,78%,30,16%,59,31%,89,46%,5,3%,30,16%
2,Corpus Christi,125,JIM WELLS,Other Ethnicities,96,94,98%,89,93%,,,84,88%,32,33%,24,25%,56,58%,,,31,32%
2,Corpus Christi,125,JIM WELLS,Hispanic,563,541,96%,436,77%,86,15%,398,71%,102,18%,165,29%,267,47%,11,2%,116,21%
2,Corpus Christi,137,KLEBERG,Other Ethnicities,23,21,91%,19,83%,,,18,78%,8,35%,5,22%,13,57%,,,,
2,Corpus Christi,137,KLEBERG,Hispanic,297,276,93%,207,70%,51,17%,206,69%,68,23%,69,23%,137,46%,8,3%,55,19%
2,Corpus Christi,137,KLEBERG,White,67,64,96%,54,81%,6,9%,53,79%,32,48%,16,24%,48,72%,,,31,46%
2,Corpus Christi,149,LIVE OAK,Other Ethnicities,60,58,97%,57,95%,,,54,90%,28,47%,17,28%,45,75%,,,29,48%
2,Corpus Christi,149,LIVE OAK,Hispanic,70,67,96%,60,86%,,,58,83%,15,21%,23,33%,38,54%,,,22,31%
2,Corpus Christi,162,MCMULLEN,All Ethnicities,10,10,100%,10,100%,,,8,80%,7,70%,,,7,70%,,,6,60%
2,Corpus Christi,178,NUECES,Other Ethnicities,16,14,88%,13,81%,,,10,63%,,,,,7,44%,,,,
2,Corpus Christi,178,NUECES,Others,60,56,93%,56,93%,,,55,92%,24,40%,15,25%,39,65%,,,27,45%
2,Corpus Christi,178,NUECES,African Americans,187,175,94%,161,86%,10,5%,141,75%,41,22%,49,26%,90,48%,,,26,14%
2,Corpus Christi,178,NUECES,Hispanic,3162,2962,94%,2682,85%,270,9%,2434,77%,570,18%,965,31%,1535,49%,74,2%,526,17%
2,Corpus Christi,178,NUECES,Other Ethnicities,61,55,90%,50,82%,,,48,79%,21,34%,15,25%,36,59%,,,15,25%
2,Corpus Christi,178,NUECES,White,947,890,94%,828,87%,49,5%,789,83%,325,34%,264,28%,589,62%,19,2%,280,30%
2,Corpus Christi,205,SAN PATRICIO,Other Ethnicities,14,11,79%,10,71%,,,10,71%,,,,,6,43%,,,5,36%
2,Corpus Christi,205,SAN PATRICIO,African Americans,21,17,81%,17,81%,,,15,71%,7,33%,,,10,48%,,,,
2,Corpus Christi,205,SAN PATRICIO,Hispanic,713,682,96%,640,90%,38,5%,580,81%,93,13%,231,32%,324,45%,5,1%,109,15%
2,Corpus Christi,205,SAN PATRICIO,Other Ethnicities,19,19,100%,17,89%,,,14,74%,,,6,32%,10,53%,,,,
2,Corpus Christi,205,SAN PATRICIO,White,299,275,92%,251,84%,10,3%,236,79%,78,26%,87,29%,165,55%,7,2%,81,27%
3,Victoria,29,CALHOUN,Others,13,12,92%,12,92%,,,11,85%,6,46%,,,9,69%,,,9,69%
3,Victoria,29,CALHOUN,African Americans,13,13,100%,13,100%,,,10,77%,,,,,5,38%,,,,
3,Victoria,29,CALHOUN,Hispanic,143,143,100%,130,91%,9,6%,129,90%,11,8%,42,29%,53,37%,,,16,11%
3,Victoria,29,CALHOUN,White,117,112,96%,105,90%,,,96,82%,17,15%,43,37%,60,51%,,,32,27%
3,Victoria,45,COLORADO,Other Ethnicities,41,39,95%,35,85%,6,15%,33,80%,6,15%,15,37%,21,51%,,,10,24%
3,Victoria,45,COLORADO,Hispanic,88,84,95%,76,86%,6,7%,65,74%,7,8%,31,35%,38,43%,,,19,22%
3,Victoria,45,COLORADO,White,96,95,99%,89,93%,5,5%,84,88%,21,22%,46,48%,67,70%,,,41,43%
3,Victoria,62,DE WITT,Other Ethnicities,27,26,96%,25,93%,,,20,74%,5,19%,5,19%,10,37%,,,,
3,Victoria,62,DE WITT,Hispanic,121,114,94%,97,80%,14,12%,89,74%,6,5%,37,31%,43,36%,,,12,10%
3,Victoria,62,DE WITT,White,173,166,96%,156,90%,9,5%,139,80%,40,23%,56,32%,96,55%,5,3%,57,33%
3,Victoria,88,GOLIAD,All Ethnicities,103,100,97%,98,95%,,,89,86%,25,24%,33,32%,58,56%,,,29,28%
3,Victoria,120,JACKSON,Other Ethnicities,19,17,89%,17,89%,,,14,74%,,,,,8,42%,,,,
3,Victoria,120,JACKSON,Hispanic,71,69,97%,65,92%,,,61,86%,9,13%,23,32%,32,45%,,,10,14%
3,Victoria,120,JACKSON,White,155,152,98%,148,95%,,,136,88%,29,19%,71,46%,100,65%,,,62,40%
3,Victoria,128,KARNES,Other Ethnicities,9,9,100%,9,100%,,,7,78%,,,,,5,56%,,,,
3,Victoria,128,KARNES,Hispanic,94,90,96%,80,85%,9,10%,70,74%,11,12%,30,32%,41,44%,,,17,18%
3,Victoria,128,KARNES,White,51,50,98%,48,94%,,,46,90%,17,33%,20,39%,37,73%,,,25,49%
3,Victoria,143,LAVACA,Other Ethnicities,18,17,94%,16,89%,,,15,83%,,,6,33%,8,44%,,,,
3,Victoria,143,LAVACA,Hispanic,30,28,93%,27,90%,,,24,80%,,,9,30%,11,37%,,,,
3,Victoria,143,LAVACA,White,101,99,98%,95,94%,,,87,86%,20,20%,51,51%,71,70%,,,45,45%
3,Victoria,158,MATAGORDA,Other Ethnicities,23,21,91%,21,91%,,,21,91%,9,39%,8,35%,17,74%,,,8,35%
3,Victoria,158,MATAGORDA,African Americans,67,64,96%,64,96%,,,56,84%,19,28%,22,33%,41,61%,,,15,22%
3,Victoria,158,MATAGORDA,Hispanic,254,247,97%,232,91%,8,3%,189,74%,24,9%,91,36%,115,45%,9,4%,52,20%
3,Victoria,158,MATAGORDA,White,171,165,96%,156,91%,,,137,80%,34,20%,70,41%,104,61%,6,4%,55,32%
3,Victoria,196,REFUGIO,African Americans,9,9,100%,9,100%,,,7,78%,,,,,6,67%,,,5,56%
3,Victoria,196,REFUGIO,Hispanic,60,59,98%,57,95%,,,50,83%,9,15%,21,35%,30,50%,,,12,20%
3,Victoria,196,REFUGIO,White,33,32,97%,31,94%,,,31,94%,10,30%,12,36%,22,67%,,,11,33%
3,Victoria,235,VICTORIA,Other Ethnicities,14,14,100%,14,100%,,,12,86%,6,43%,,,8,57%,,,6,43%
3,Victoria,235,VICTORIA,African Americans,85,73,86%,64,75%,7,8%,51,60%,11,13%,27,32%,38,45%,,,9,11%
3,Victoria,235,VICTORIA,Hispanic,612,580,95%,493,81%,61,10%,403,66%,38,6%,211,34%,249,41%,21,3%,83,14%
3,Victoria,235,VICTORIA,Other Ethnicities,13,13,100%,12,92%,,,10,77%,,,7,54%,10,77%,,,5,38%
3,Victoria,235,VICTORIA,White,322,305,95%,293,91%,6,2%,253,79%,76,24%,122,38%,198,61%,15,5%,111,34%
3,Victoria,241,WHARTON,Other Ethnicities,101,100,99%,78,77%,20,20%,85,84%,12,12%,44,44%,56,55%,,,10,10%
3,Victoria,241,WHARTON,Hispanic,297,285,96%,237,80%,44,15%,225,76%,11,4%,123,41%,134,45%,,,64,22%
3,Victoria,241,WHARTON,White,196,194,99%,188,96%,7,4%,181,92%,57,29%,103,53%,160,82%,,,104,53%
4,Houston,20,BRAZORIA,Other Ethnicities,40,35,88%,32,80%,,,29,73%,6,15%,18,45%,24,60%,,,11,28%
4,Houston,20,BRAZORIA,Others,203,197,97%,190,94%,,,179,88%,103,51%,46,23%,149,73%,6,3%,113,56%
4,Houston,20,BRAZORIA,African Americans,562,533,95%,494,88%,40,7%,473,84%,184,33%,175,31%,359,64%,16,3%,147,26%
4,Houston,20,BRAZORIA,Hispanic,1524,1465,96%,1285,84%,176,12%,1186,78%,163,11%,627,41%,790,52%,43,3%,343,23%
4,Houston,20,BRAZORIA,Other Ethnicities,82,76,93%,71,87%,,,68,83%,25,30%,23,28%,48,59%,,,29,35%
4,Houston,20,BRAZORIA,White,1876,1811,97%,1689,90%,102,5%,1581,84%,416,22%,759,40%,1175,63%,52,3%,667,36%
4,Houston,36,CHAMBERS,Other Ethnicities,9,9,100%,9,100%,,,9,100%,7,78%,,,9,100%,,,7,78%
4,Houston,36,CHAMBERS,African Americans,39,39,100%,39,100%,,,33,85%,6,15%,14,36%,20,51%,,,,
4,Houston,36,CHAMBERS,Hispanic,97,95,98%,92,95%,,,84,87%,15,15%,41,42%,56,58%,,,23,24%
4,Houston,36,CHAMBERS,Other Ethnicities,14,14,100%,14,100%,,,13,93%,,,7,50%,11,79%,,,5,36%
4,Houston,36,CHAMBERS,White,358,347,97%,333,93%,10,3%,303,85%,88,25%,160,45%,248,69%,8,2%,146,41%
4,Houston,79,FORT BEND,Other Ethnicities,30,30,100%,25,83%,,,24,80%,,,10,33%,14,47%,,,10,33%
4,Houston,79,FORT BEND,Others,1199,1174,98%,1128,94%,34,3%,1130,94%,653,54%,261,22%,914,76%,16,1%,684,57%
4,Houston,79,FORT BEND,African Americans,2106,2021,96%,1725,82%,277,13%,1706,81%,669,32%,624,30%,1293,61%,57,3%,467,22%
4,Houston,79,FORT BEND,Hispanic,2234,2137,96%,1768,79%,318,14%,1714,77%,317,14%,743,33%,1060,47%,43,2%,435,19%
4,Houston,79,FORT BEND,Other Ethnicities,151,141,93%,116,77%,16,11%,122,81%,55,36%,42,28%,97,64%,5,3%,46,30%
4,Houston,79,FORT BEND,White,1772,1676,95%,1571,89%,75,4%,1505,85%,684,39%,597,34%,1281,72%,73,4%,825,47%
4,Houston,84,GALVESTON,African Americans,774,750,97%,650,84%,81,10%,598,77%,183,24%,265,34%,448,58%,19,2%,169,22%
4,Houston,84,GALVESTON,Hispanic,1244,1182,95%,1056,85%,109,9%,993,80%,156,13%,508,41%,664,53%,29,2%,288,23%
4,Houston,84,GALVESTON,White,3003,2890,96%,2701,90%,144,5%,2509,84%,896,30%,1128,38%,2024,67%,109,4%,1207,40%
4,Houston,84,GALVESTON,Others,390,374,96%,358,92%,11,3%,352,90%,206,53%,91,23%,297,76%,11,3%,231,59%
4,Houston,101,HARRIS,African Americans,11419,10727,94%,9023,79%,1441,13%,8298,73%,2665,23%,3456,30%,6121,54%,458,4%,1748,15%
4,Houston,101,HARRIS,Hispanic,27944,26603,95%,23176,83%,2879,10%,21314,76%,3541,13%,8927,32%,12468,45%,574,2%,5061,18%
4,Houston,84,GALVESTON,Other Ethnicities,93,93,100%,83,89%,6,6%,75,81%,29,31%,31,33%,60,65%,,,26,28%
4,Houston,101,HARRIS,White,12854,12145,94%,11260,88%,608,5%,10481,82%,3527,27%,4360,34%,7887,61%,482,4%,4423,34%
4,Houston,146,LIBERTY,Other Ethnicities,29,25,86%,20,69%,,,21,72%,7,24%,7,24%,14,48%,,,,
4,Houston,146,LIBERTY,African Americans,137,129,94%,113,82%,12,9%,104,76%,25,18%,41,30%,66,48%,,,20,15%
4,Houston,146,LIBERTY,Hispanic,261,247,95%,216,83%,30,11%,192,74%,19,7%,82,31%,101,39%,7,3%,40,15%
4,Houston,146,LIBERTY,White,673,645,96%,576,86%,33,5%,500,74%,93,14%,211,31%,304,45%,20,3%,137,20%
4,Houston,237,WALLER,Other Ethnicities,15,15,100%,14,93%,,,14,93%,,,5,33%,9,60%,,,,
4,Houston,237,WALLER,African Americans,104,97,93%,79,76%,16,15%,76,73%,27,26%,26,25%,53,51%,,,12,12%
4,Houston,237,WALLER,Hispanic,320,305,95%,244,76%,61,19%,245,77%,26,8%,84,26%,110,34%,6,2%,38,12%
4,Houston,237,WALLER,White,195,187,96%,175,90%,9,5%,159,82%,39,20%,64,33%,103,53%,,,51,26%
5,Beaumont,100,HARDIN,Other Ethnicities,62,57,92%,53,85%,5,8%,46,74%,16,26%,10,16%,26,42%,,,12,19%
5,Beaumont,100,HARDIN,African Americans,78,75,96%,65,83%,9,12%,64,82%,16,21%,21,27%,37,47%,,,13,17%
5,Beaumont,100,HARDIN,White,665,639,96%,602,91%,24,4%,531,80%,229,34%,139,21%,368,55%,11,2%,191,29%
5,Beaumont,121,JASPER,Other Ethnicities,15,13,87%,11,73%,,,10,67%,,,,,6,40%,,,,
5,Beaumont,121,JASPER,African Americans,112,109,97%,100,89%,9,8%,96,86%,17,15%,33,29%,50,45%,,,11,10%
5,Beaumont,121,JASPER,Hispanic,33,32,97%,27,82%,,,25,76%,5,15%,9,27%,14,42%,,,6,18%
5,Beaumont,121,JASPER,White,348,326,94%,308,89%,13,4%,275,79%,76,22%,88,25%,164,47%,8,2%,75,22%
5,Beaumont,123,JEFFERSON,Other Ethnicities,66,64,97%,53,80%,6,9%,50,76%,18,27%,13,20%,31,47%,,,11,17%
4,Houston,101,HARRIS,Others,3217,3069,95%,2944,92%,86,3%,2830,88%,1286,40%,878,27%,2164,67%,83,3%,1457,45%
5,Beaumont,123,JEFFERSON,Others,134,127,95%,126,94%,,,121,90%,61,46%,48,36%,109,81%,7,5%,67,50%
5,Beaumont,123,JEFFERSON,African Americans,1244,1198,96%,1068,86%,93,7%,900,72%,263,21%,324,26%,587,47%,38,3%,170,14%
5,Beaumont,123,JEFFERSON,Hispanic,601,567,94%,518,86%,28,5%,446,74%,87,14%,171,28%,258,43%,13,2%,117,19%
5,Beaumont,123,JEFFERSON,White,908,874,96%,811,89%,35,4%,717,79%,290,32%,296,33%,586,65%,36,4%,320,35%
5,Beaumont,181,ORANGE,Other Ethnicities,17,15,88%,14,82%,,,12,71%,,,,,6,35%,,,,
5,Beaumont,181,ORANGE,Others,17,17,100%,17,100%,,,17,100%,10,59%,5,29%,15,88%,,,7,41%
5,Beaumont,181,ORANGE,African Americans,137,129,94%,119,87%,9,7%,107,78%,30,22%,46,34%,76,55%,5,4%,21,15%
5,Beaumont,181,ORANGE,Hispanic,95,88,93%,81,85%,6,6%,74,78%,15,16%,32,34%,47,49%,,,23,24%
4,Houston,101,HARRIS,Other Ethnicities,924,875,95%,798,86%,50,5%,741,80%,275,30%,292,32%,567,61%,37,4%,258,28%
5,Beaumont,181,ORANGE,Other Ethnicities,21,18,86%,17,81%,,,14,67%,5,24%,6,29%,11,52%,,,,
5,Beaumont,181,ORANGE,White,906,866,96%,776,86%,67,7%,736,81%,165,18%,306,34%,471,52%,21,2%,234,26%
5,Beaumont,229,TYLER,Other Ethnicities,22,21,95%,21,95%,,,20,91%,,,8,36%,12,55%,,,5,23%
5,Beaumont,229,TYLER,African Americans,24,23,96%,23,96%,,,22,92%,9,38%,5,21%,14,58%,,,,
5,Beaumont,229,TYLER,White,210,202,96%,182,87%,9,4%,158,75%,32,15%,60,29%,92,44%,,,43,20%
5,Others,999,Other Counties,All Ethnicities,169,155,92%,142,84%,7,4%,123,73%,23,14%,48,28%,71,42%,5,3%,23,14%
6,Huntsville,8,AUSTIN,Other Ethnicities,15,15,100%,10,67%,,,14,93%,,,6,40%,9,60%,,,,
6,Huntsville,8,AUSTIN,African Americans,41,39,95%,34,83%,,,29,71%,6,15%,16,39%,22,54%,,,,
6,Huntsville,8,AUSTIN,Hispanic,144,144,100%,134,93%,5,3%,130,90%,14,10%,52,36%,66,46%,,,25,17%
6,Huntsville,8,AUSTIN,White,224,216,96%,201,90%,6,3%,189,84%,52,23%,96,43%,148,66%,11,5%,99,44%
6,Huntsville,21,BRAZOS,Other Ethnicities,30,28,93%,26,87%,,,24,80%,7,23%,10,33%,17,57%,,,10,33%
6,Huntsville,21,BRAZOS,Others,73,63,86%,55,75%,,,53,73%,16,22%,17,23%,33,45%,,,23,32%
6,Huntsville,21,BRAZOS,African Americans,382,358,94%,296,77%,53,14%,260,68%,44,12%,104,27%,148,39%,8,2%,35,9%
6,Huntsville,21,BRAZOS,Hispanic,651,596,92%,490,75%,98,15%,441,68%,65,10%,176,27%,241,37%,18,3%,104,16%
6,Huntsville,21,BRAZOS,White,742,705,95%,653,88%,34,5%,617,83%,213,29%,261,35%,474,64%,22,3%,279,38%
6,Huntsville,26,BURLESON,Other Ethnicities,33,33,100%,31,94%,,,29,88%,,,11,33%,13,39%,,,,
6,Huntsville,26,BURLESON,Hispanic,66,65,98%,64,97%,,,54,82%,5,8%,16,24%,21,32%,,,8,12%
6,Huntsville,26,BURLESON,White,129,126,98%,122,95%,,,110,85%,32,25%,44,34%,76,59%,,,39,30%
6,Huntsville,93,GRIMES,Other Ethnicities,61,57,93%,53,87%,7,11%,48,79%,9,15%,22,36%,31,51%,,,10,16%
6,Huntsville,93,GRIMES,Hispanic,84,81,96%,67,80%,15,18%,60,71%,13,15%,13,15%,26,31%,,,14,17%
6,Huntsville,93,GRIMES,White,167,161,96%,141,84%,14,8%,135,81%,34,20%,55,33%,89,53%,,,48,29%
6,Huntsville,113,HOUSTON,Other Ethnicities,40,36,90%,27,68%,7,18%,29,73%,5,13%,15,38%,20,50%,,,10,25%
