DISTRICT,DISTNAME,DISTNAME_CLEAN,COUNTY,CNTYNAME,REGION,DFLCHART,DFLALTED
15907,SAN ANTONIO ISD,San Antonio ISD,15,BEXAR,20,N,N
15908,SOUTH SAN ANTONIO ISD,South San Antonio ISD,15,BEXAR,20,N,N
15909,SOMERSET ISD,Somerset ISD,15,BEXAR,20,N,N
15910,NORTH EAST ISD,North East ISD,15,BEXAR,20,N,N
15911,EAST CENTRAL ISD,East Central ISD,15,BEXAR,20,N,N
15912,SOUTHWEST ISD,Southwest ISD,15,BEXAR,20,N,N
15913,LACKLAND ISD,Lackland ISD,15,BEXAR,20,N,N
15914,FT SAM HOUSTON ISD,Ft Sam Houston ISD,15,BEXAR,20,N,N
15915,NORTHSIDE ISD,Northside ISD,15,BEXAR,20,N,N
15916,JUDSON ISD,Judson ISD,15,BEXAR,20,N,N
15917,SOUTHSIDE ISD,Southside ISD,15,BEXAR,20,N,N
16901,JOHNSON CITY ISD,Johnson City ISD,16,BLANCO,13,N,N
16902,BLANCO ISD,Blanco ISD,16,BLANCO,13,N,N
17901,BORDEN COUNTY ISD,Borden County ISD,17,BORDEN,17,N,N
18901,CLIFTON ISD,Clifton ISD,18,BOSQUE,12,N,N
18902,MERIDIAN ISD,Meridian ISD,18,BOSQUE,12,N,N
18903,MORGAN ISD,Morgan ISD,18,BOSQUE,12,N,N
18904,VALLEY MILLS ISD,Valley Mills ISD,18,BOSQUE,12,N,N
18905,WALNUT SPRINGS ISD,Walnut Springs ISD,18,BOSQUE,12,N,N
18906,IREDELL ISD,Iredell ISD,18,BOSQUE,12,N,N
18907,KOPPERL ISD,Kopperl ISD,18,BOSQUE,12,N,N
18908,CRANFILLS GAP ISD,Cranfills Gap ISD,18,BOSQUE,12,N,N
19901,DEKALB ISD,Dekalb ISD,19,BOWIE,8,N,N
19902,HOOKS ISD,Hooks ISD,19,BOWIE,8,N,N
19903,MAUD ISD,Maud ISD,19,BOWIE,8,N,N
19905,NEW BOSTON ISD,New Boston ISD,19,BOWIE,8,N,N
19906,REDWATER ISD,Redwater ISD,19,BOWIE,8,N,N
19907,TEXARKANA ISD,Texarkana ISD,19,BOWIE,8,N,N
19908,LIBERTY-EYLAU ISD,Liberty-Eylau ISD,19,BOWIE,8,N,N
19909,SIMMS ISD,Simms ISD,19,BOWIE,8,N,N
19910,MALTA ISD,Malta ISD,19,BOWIE,8,N,N
19911,RED LICK ISD,Red Lick ISD,19,BOWIE,8,N,N
19912,PLEASANT GROVE ISD,Pleasant Grove ISD,19,BOWIE,8,N,N
19913,HUBBARD ISD,Hubbard ISD,19,BOWIE,8,N,N
19914,LEARY ISD,Leary ISD,19,BOWIE,8,N,N
20901,ALVIN ISD,Alvin ISD,20,BRAZORIA,4,N,N
20902,ANGLETON ISD,Angleton ISD,20,BRAZORIA,4,N,N
20904,DANBURY ISD,Danbury ISD,20,BRAZORIA,4,N,N
20905,BRAZOSPORT ISD,Brazosport ISD,20,BRAZORIA,4,N,N
20906,SWEENY ISD,Sweeny ISD,20,BRAZORIA,4,N,N
20907,COLUMBIA-BRAZORIA ISD,Columbia-Brazoria ISD,20,BRAZORIA,4,N,N
20908,PEARLAND ISD,Pearland ISD,20,BRAZORIA,4,N,N
20910,DAMON ISD,Damon ISD,20,BRAZORIA,4,N,N
21803,BRAZOS SCHOOL FOR INQUIRY & CREATI,Brazos School for Inquiry & Creativity,21,BRAZOS,6,Y,N
21805,ARROW ACADEMY,Arrow Academy,21,BRAZOS,6,Y,N
21901,COLLEGE STATION ISD,College Station ISD,21,BRAZOS,6,N,N
21902,BRYAN ISD,Bryan ISD,21,BRAZOS,6,N,N
22004,TERLINGUA CSD,Terlingua CSD,22,BREWSTER,18,N,N
22901,ALPINE ISD,Alpine ISD,22,BREWSTER,18,N,N
22902,MARATHON ISD,Marathon ISD,22,BREWSTER,18,N,N
22903,SAN VICENTE ISD,San Vicente ISD,22,BREWSTER,18,N,N
23902,SILVERTON ISD,Silverton ISD,23,BRISCOE,16,N,N
24901,BROOKS COUNTY ISD,Brooks County ISD,24,BROOKS,2,N,N
25901,BANGS ISD,Bangs ISD,25,BROWN,15,N,N
25902,BROWNWOOD ISD,Brownwood ISD,25,BROWN,15,N,N
25904,BLANKET ISD,Blanket ISD,25,BROWN,15,N,N
25905,MAY ISD,May ISD,25,BROWN,15,N,N
25906,ZEPHYR ISD,Zephyr ISD,25,BROWN,15,N,N
25908,BROOKESMITH ISD,Brookesmith ISD,25,BROWN,15,N,N
25909,EARLY ISD,Early ISD,25,BROWN,15,N,N
26901,CALDWELL ISD,Caldwell ISD,26,BURLESON,6,N,N
26902,SOMERVILLE ISD,Somerville ISD,26,BURLESON,6,N,N
26903,SNOOK ISD,Snook ISD,26,BURLESON,6,N,N
27903,BURNET CISD,Burnet CISD,27,BURNET,13,N,N
27904,MARBLE FALLS ISD,Marble Falls ISD,27,BURNET,13,N,N
28902,LOCKHART ISD,Lockhart ISD,28,CALDWELL,13,N,N
28903,LULING ISD,Luling ISD,28,CALDWELL,13,N,N
28906,PRAIRIE LEA ISD,Prairie Lea ISD,28,CALDWELL,13,N,N
29901,CALHOUN COUNTY ISD,Calhoun County ISD,29,CALHOUN,3,N,N
30901,CROSS PLAINS ISD,Cross Plains ISD,30,CALLAHAN,14,N,N
30902,CLYDE CISD,Clyde CISD,30,CALLAHAN,14,N,N
30903,BAIRD ISD,Baird ISD,30,CALLAHAN,14,N,N
30906,EULA ISD,Eula ISD,30,CALLAHAN,14,N,N
31901,BROWNSVILLE ISD,Brownsville ISD,31,CAMERON,1,N,N
31903,HARLINGEN CISD,Harlingen CISD,31,CAMERON,1,N,N
31905,LA FERIA ISD,La Feria ISD,31,CAMERON,1,N,N
31906,LOS FRESNOS CISD,Los Fresnos CISD,31,CAMERON,1,N,N
31909,POINT ISABEL ISD,Point Isabel ISD,31,CAMERON,1,N,N
31911,RIO HONDO ISD,Rio Hondo ISD,31,CAMERON,1,N,N
31912,SAN BENITO CISD,San Benito CISD,31,CAMERON,1,N,N
31913,SANTA MARIA ISD,Santa Maria ISD,31,CAMERON,1,N,N
31914,SANTA ROSA ISD,Santa Rosa ISD,31,CAMERON,1,N,N
31916,SOUTH TEXAS ISD,South Texas ISD,31,CAMERON,1,N,N
32902,PITTSBURG ISD,Pittsburg ISD,32,CAMP,8,N,N
33901,GROOM ISD,Groom ISD,33,CARSON,16,N,N
33902,PANHANDLE ISD,Panhandle ISD,33,CARSON,16,N,N
33904,WHITE DEER ISD,White Deer ISD,33,CARSON,16,N,N
34901,ATLANTA ISD,Atlanta ISD,34,CASS,8,N,N
34902,AVINGER ISD,Avinger ISD,34,CASS,8,N,N
34903,HUGHES SPRINGS ISD,Hughes Springs ISD,34,CASS,8,N,N
34905,LINDEN-KILDARE CISD,Linden-Kildare CISD,34,CASS,8,N,N
34906,MCLEOD ISD,McLeod ISD,34,CASS,8,N,N
34907,QUEEN CITY ISD,Queen City ISD,34,CASS,8,N,N
34909,BLOOMBURG ISD,Bloomburg ISD,34,CASS,8,N,N
35901,DIMMITT ISD,Dimmitt ISD,35,CASTRO,16,N,N
35902,HART ISD,Hart ISD,35,CASTRO,16,N,N
35903,NAZARETH ISD,Nazareth ISD,35,CASTRO,16,N,N
36901,ANAHUAC ISD,Anahuac ISD,36,CHAMBERS,4,N,N
36902,BARBERS HILL ISD,Barbers Hill ISD,36,CHAMBERS,4,N,N
36903,EAST CHAMBERS ISD,East Chambers ISD,36,CHAMBERS,5,N,N
37901,ALTO ISD,Alto ISD,37,CHEROKEE,7,N,N
37904,JACKSONVILLE ISD,Jacksonville ISD,37,CHEROKEE,7,N,N
37907,RUSK ISD,Rusk ISD,37,CHEROKEE,7,N,N
37908,NEW SUMMERFIELD ISD,New Summerfield ISD,37,CHEROKEE,7,N,N
37909,WELLS ISD,Wells ISD,37,CHEROKEE,7,N,N
38901,CHILDRESS ISD,Childress ISD,38,CHILDRESS,16,N,N
39902,HENRIETTA ISD,Henrietta ISD,39,CLAY,9,N,N
39903,PETROLIA CISD,Petrolia CISD,39,CLAY,9,N,N
39904,BELLEVUE ISD,Bellevue ISD,39,CLAY,9,N,N
39905,MIDWAY ISD,Midway ISD,39,CLAY,9,N,N
40901,MORTON ISD,Morton ISD,40,COCHRAN,17,N,N
40902,WHITEFACE CISD,Whiteface CISD,40,COCHRAN,17,N,N
41901,BRONTE ISD,Bronte ISD,41,COKE,15,N,N
41902,ROBERT LEE ISD,Robert Lee ISD,41,COKE,15,N,N
42901,COLEMAN ISD,Coleman ISD,42,COLEMAN,15,N,N
42903,SANTA ANNA ISD,Santa Anna ISD,42,COLEMAN,15,N,N
42905,PANTHER CREEK CISD,Panther Creek CISD,42,COLEMAN,15,N,N
43801,IMAGINE INTERNATIONAL ACADEMY OF N,Imagine International Academy of North Texas,43,COLLIN,10,Y,N
43802,LONE STAR LANGUAGE ACADEMY,Lone Star Language Academy,43,COLLIN,10,Y,N
43901,ALLEN ISD,Allen ISD,43,COLLIN,10,N,N
43902,ANNA ISD,Anna ISD,43,COLLIN,10,N,N
43903,CELINA ISD,Celina ISD,43,COLLIN,10,N,N
43904,FARMERSVILLE ISD,Farmersville ISD,43,COLLIN,10,N,N
43905,FRISCO ISD,Frisco ISD,43,COLLIN,10,N,N
43907,MCKINNEY ISD,McKinney ISD,43,COLLIN,10,N,N
43908,MELISSA ISD,Melissa ISD,43,COLLIN,10,N,N
43910,PLANO ISD,Plano ISD,43,COLLIN,10,N,N
43911,PRINCETON ISD,Princeton ISD,43,COLLIN,10,N,N
43912,PROSPER ISD,Prosper ISD,43,COLLIN,10,N,N
43914,WYLIE ISD,Wylie ISD,43,COLLIN,10,N,N
43917,BLUE RIDGE ISD,Blue Ridge ISD,43,COLLIN,10,N,N
43918,COMMUNITY ISD,Community ISD,43,COLLIN,10,N,N
43919,LOVEJOY ISD,Lovejoy ISD,43,COLLIN,10,N,N
44902,WELLINGTON ISD,Wellington ISD,44,COLLINGSWORTH,16,N,N
45902,COLUMBUS ISD,Columbus ISD,45,COLORADO,3,N,N
45903,RICE CISD,Rice CISD,45,COLORADO,3,N,N
45905,WEIMAR ISD,Weimar ISD,45,COLORADO,3,N,N
46802,TRINITY CHARTER SCHOOL,Trinity Charter School,46,COMAL,20,Y,Y
46901,NEW BRAUNFELS ISD,New Braunfels ISD,46,COMAL,13,N,N
46902,COMAL ISD,Comal ISD,46,COMAL,20,N,N
47901,COMANCHE ISD,Comanche ISD,47,COMANCHE,14,N,N
47902,DE LEON ISD,De Leon ISD,47,COMANCHE,14,N,N
47903,GUSTINE ISD,Gustine ISD,47,COMANCHE,14,N,N
47905,SIDNEY ISD,Sidney ISD,47,COMANCHE,14,N,N
48901,EDEN CISD,Eden CISD,48,CONCHO,15,N,N
48903,PAINT ROCK ISD,Paint Rock ISD,48,CONCHO,15,N,N
49901,GAINESVILLE ISD,Gainesville ISD,49,COOKE,11,N,N
49902,MUENSTER ISD,Muenster ISD,49,COOKE,11,N,N
49903,VALLEY VIEW ISD,Valley View ISD,49,COOKE,11,N,N
49905,CALLISBURG ISD,Callisburg ISD,49,COOKE,11,N,N
49906,ERA ISD,Era ISD,49,COOKE,11,N,N
49907,LINDSAY ISD,Lindsay ISD,49,COOKE,11,N,N
49908,WALNUT BEND ISD,Walnut Bend ISD,49,COOKE,11,N,N
49909,SIVELLS BEND ISD,Sivells Bend ISD,49,COOKE,11,N,N
50901,EVANT ISD,Evant ISD,50,CORYELL,12,N,N
50902,GATESVILLE ISD,Gatesville ISD,50,CORYELL,12,N,N
50904,OGLESBY ISD,Oglesby ISD,50,CORYELL,12,N,N
50909,JONESBORO ISD,Jonesboro ISD,50,CORYELL,12,N,N
50910,COPPERAS COVE ISD,Copperas Cove ISD,50,CORYELL,12,N,N
51901,PADUCAH ISD,Paducah ISD,51,COTTLE,17,N,N
52901,CRANE ISD,Crane ISD,52,CRANE,18,N,N
53001,CROCKETT COUNTY CONSOLIDATED CSD,Crockett County Consolidated CSD,53,CROCKETT,15,N,N
54901,CROSBYTON CISD,Crosbyton CISD,54,CROSBY,17,N,N
54902,LORENZO ISD,Lorenzo ISD,54,CROSBY,17,N,N
54903,RALLS ISD,Ralls ISD,54,CROSBY,17,N,N
55901,CULBERSON COUNTY-ALLAMOORE ISD,Culberson County-Allamoore ISD,55,CULBERSON,18,N,N
56901,DALHART ISD,Dalhart ISD,56,DALLAM,16,N,N
56902,TEXLINE ISD,Texline ISD,56,DALLAM,16,N,N
57802,PEGASUS SCHOOL OF LIBERAL ARTS AND,Pegasus School of Liberal Arts and Sciences,57,DALLAS,10,Y,Y
57803,UPLIFT EDUCATION,Uplift Education,57,DALLAS,10,Y,N
57804,TEXANS CAN ACADEMIES,Texans Can Academies,57,DALLAS,10,Y,Y
57805,LUMIN EDUCATION,Lumin Education,57,DALLAS,10,Y,N
57806,ADVANTAGE ACADEMY,Advantage Academy,57,DALLAS,10,Y,N
57807,LIFE SCHOOL,Life School,57,DALLAS,10,Y,N
57808,UNIVERSAL ACADEMY,Universal Academy,57,DALLAS,10,Y,N
57809,NOVA ACADEMY,Nova Academy,57,DALLAS,10,Y,N
57810,ACADEMY OF DALLAS,Academy of Dallas,57,DALLAS,10,Y,N
57813,TRINITY BASIN PREPARATORY,Trinity Basin Preparatory,57,DALLAS,10,Y,N
57814,ACADEMY FOR ACADEMIC EXCELLENCE,Academy for Academic Excellence,57,DALLAS,10,Y,Y
57816,A W BROWN LEADERSHIP ACADEMY,A W Brown Leadership Academy,57,DALLAS,10,Y,N
57819,JEAN MASSIEU ACADEMY,Jean Massieu Academy,57,DALLAS,10,Y,N
57827,NOVA ACADEMY SOUTHEAST,Nova Academy (Southeast),57,DALLAS,10,Y,N
57828,WINFREE ACADEMY CHARTER SCHOOLS,Winfree Academy Charter Schools,57,DALLAS,10,Y,Y
57829,A+ ACADEMY,A+ Academy,57,DALLAS,10,Y,N
57830,INSPIRED VISION ACADEMY,Inspired Vision Academy,57,DALLAS,10,Y,N
57831,GATEWAY CHARTER ACADEMY,Gateway Charter Academy,57,DALLAS,10,Y,N
57833,EDUCATION CENTER INTERNATIONAL ACA,Education Center International Academy,57,DALLAS,10,Y,N
57834,EVOLUTION ACADEMY CHARTER SCHOOL,Evolution Academy Charter School,57,DALLAS,10,Y,Y
57835,GOLDEN RULE CHARTER SCHOOL,Golden Rule Charter School,57,DALLAS,10,Y,N
57836,ST ANTHONY SCHOOL,St Anthony School,57,DALLAS,10,Y,N
57839,LA ACADEMIA DE ESTRELLAS,La Academia de Estrellas,57,DALLAS,10,Y,N
57840,RICHLAND COLLEGIATE HIGH SCHOOL,Richland Collegiate High School,57,DALLAS,10,Y,N
57841,CITYSCAPE SCHOOLS,Cityscape Schools,57,DALLAS,10,Y,N
57844,MANARA ACADEMY,Manara Academy,57,DALLAS,10,Y,N
57845,UME PREPARATORY ACADEMY,Ume Preparatory Academy,57,DALLAS,10,Y,N
57846,LEGACY PREPARATORY,Legacy Preparatory,57,DALLAS,10,Y,N
57847,VILLAGE TECH SCHOOLS,Village Tech Schools,57,DALLAS,10,Y,N
57848,INTERNATIONAL LEADERSHIP OF TEXAS,International Leadership of Texas,57,DALLAS,10,Y,N
57849,TRINITY ENVIRONMENTAL ACADEMY,Trinity Environmental Academy,57,DALLAS,10,Y,N
57850,PIONEER TECHNOLOGY & ARTS ACADEMY,Pioneer Technology & Arts Academy,57,DALLAS,10,Y,N
57851,BRIDGEWAY PREPARATORY ACADEMY,Bridgeway Preparatory Academy,57,DALLAS,10,Y,N
57903,CARROLLTON-FARMERS BRANCH ISD,Carrollton-Farmers Branch ISD,57,DALLAS,10,N,N
57904,CEDAR HILL ISD,Cedar Hill ISD,57,DALLAS,10,N,N
57905,DALLAS ISD,Dallas ISD,57,DALLAS,10,N,N
57906,DESOTO ISD,Desoto ISD,57,DALLAS,10,N,N
57907,DUNCANVILLE ISD,Duncanville ISD,57,DALLAS,10,N,N
57909,GARLAND ISD,Garland ISD,57,DALLAS,10,N,N
57910,GRAND PRAIRIE ISD,Grand Prairie ISD,57,DALLAS,10,N,N
57911,HIGHLAND PARK ISD,Highland Park ISD,57,DALLAS,10,N,N
57912,IRVING ISD,Irving ISD,57,DALLAS,10,N,N
57913,LANCASTER ISD,Lancaster ISD,57,DALLAS,10,N,N
57914,MESQUITE ISD,Mesquite ISD,57,DALLAS,10,N,N
57916,RICHARDSON ISD,Richardson ISD,57,DALLAS,10,N,N
57919,SUNNYVALE ISD,Sunnyvale ISD,57,DALLAS,10,N,N
57922,COPPELL ISD,Coppell ISD,57,DALLAS,10,N,N
58902,DAWSON ISD,Dawson ISD,58,DAWSON,17,N,N
58905,KLONDIKE ISD,Klondike ISD,58,DAWSON,17,N,N
58906,LAMESA ISD,Lamesa ISD,58,DAWSON,17,N,N
58909,SANDS CISD,Sands CISD,58,DAWSON,17,N,N
59901,HEREFORD ISD,Hereford ISD,59,DEAF SMITH,16,N,N
59902,WALCOTT ISD,Walcott ISD,59,DEAF SMITH,16,N,N
60902,COOPER ISD,Cooper ISD,60,DELTA,8,N,N
60914,FANNINDEL ISD,Fannindel ISD,60,DELTA,8,N,N
61802,NORTH TEXAS COLLEGIATE ACADEMY,North Texas Collegiate Academy,61,DENTON,11,Y,N
61804,LEADERSHIP PREP SCHOOL,Leadership Prep School,61,DENTON,10,Y,N
61805,TRIVIUM ACADEMY,Trivium Academy,61,DENTON,11,Y,N
61901,DENTON ISD,Denton ISD,61,DENTON,11,N,N
61902,LEWISVILLE ISD,Lewisville ISD,61,DENTON,11,N,N
61903,PILOT POINT ISD,Pilot Point ISD,61,DENTON,11,N,N
61905,KRUM ISD,Krum ISD,61,DENTON,11,N,N
61906,PONDER ISD,Ponder ISD,61,DENTON,11,N,N
61907,AUBREY ISD,Aubrey ISD,61,DENTON,11,N,N
61908,SANGER ISD,Sanger ISD,61,DENTON,11,N,N
61910,ARGYLE ISD,Argyle ISD,61,DENTON,11,N,N
61911,NORTHWEST ISD,Northwest ISD,61,DENTON,11,N,N
61912,LAKE DALLAS ISD,Lake Dallas ISD,61,DENTON,11,N,N
61914,LITTLE ELM ISD,Little Elm ISD,61,DENTON,11,N,N
62901,CUERO ISD,Cuero ISD,62,DEWITT,3,N,N
62902,NORDHEIM ISD,Nordheim ISD,62,DEWITT,3,N,N
62903,YOAKUM ISD,Yoakum ISD,62,DEWITT,3,N,N
62904,YORKTOWN ISD,Yorktown ISD,62,DEWITT,3,N,N
62905,WESTHOFF ISD,Westhoff ISD,62,DEWITT,3,N,N
62906,MEYERSVILLE ISD,Meyersville ISD,62,DEWITT,3,N,N
63903,SPUR ISD,Spur ISD,63,DICKENS,17,N,N
63906,PATTON SPRINGS ISD,Patton Springs ISD,63,DICKENS,17,N,N
64903,CARRIZO SPRINGS CISD,Carrizo Springs CISD,64,DIMMIT,20,N,N
65901,CLARENDON ISD,Clarendon ISD,65,DONLEY,16,N,N
65902,HEDLEY ISD,Hedley ISD,65,DONLEY,16,N,N
66005,RAMIREZ CSD,Ramirez CSD,66,DUVAL,2,N,N
66901,BENAVIDES ISD,Benavides ISD,66,DUVAL,2,N,N
66902,SAN DIEGO ISD,San Diego ISD,66,DUVAL,2,N,N
66903,FREER ISD,Freer ISD,66,DUVAL,2,N,N
67902,CISCO ISD,Cisco ISD,67,EASTLAND,14,N,N
67903,EASTLAND ISD,Eastland ISD,67,EASTLAND,14,N,N
67904,GORMAN ISD,Gorman ISD,67,EASTLAND,14,N,N
67907,RANGER ISD,Ranger ISD,67,EASTLAND,14,N,N
67908,RISING STAR ISD,Rising Star ISD,67,EASTLAND,14,N,N
68802,COMPASS ACADEMY CHARTER SCHOOL,Compass Academy Charter School,68,ECTOR,18,Y,N
68803,UTPB STEM ACADEMY,UTPB STEM Academy,68,ECTOR,18,Y,N
68901,ECTOR COUNTY ISD,Ector County ISD,68,ECTOR,18,N,N
69901,ROCKSPRINGS ISD,Rocksprings ISD,69,EDWARDS,15,N,N
69902,NUECES CANYON CISD,Nueces Canyon CISD,69,EDWARDS,15,N,N
70801,WAXAHACHIE FAITH FAMILY ACADEMY,Waxahachie Faith Family Academy,70,ELLIS,10,Y,Y
70901,AVALON ISD,Avalon ISD,70,ELLIS,10,N,N
70903,ENNIS ISD,Ennis ISD,70,ELLIS,10,N,N
70905,FERRIS ISD,Ferris ISD,70,ELLIS,10,N,N
70907,ITALY ISD,Italy ISD,70,ELLIS,10,N,N
70908,MIDLOTHIAN ISD,Midlothian ISD,70,ELLIS,10,N,N
70909,MILFORD ISD,Milford ISD,70,ELLIS,10,N,N
70910,PALMER ISD,Palmer ISD,70,ELLIS,10,N,N
70911,RED OAK ISD,Red Oak ISD,70,ELLIS,10,N,N
70912,WAXAHACHIE ISD,Waxahachie ISD,70,ELLIS,10,N,N
70915,MAYPEARL ISD,Maypearl ISD,70,ELLIS,10,N,N
71801,BURNHAM WOOD CHARTER SCHOOL DISTRI,Burnham Wood Charter School District,71,EL PASO,19,Y,N
71803,PASO DEL NORTE ACADEMY CHARTER DIS,Paso Del Norte Academy Charter District,71,EL PASO,19,Y,Y
71804,EL PASO ACADEMY,El Paso Academy,71,EL PASO,19,Y,Y
71806,HARMONY SCIENCE ACAD (EL PASO),Harmony Science Academy (El Paso),71,EL PASO,19,Y,N
71807,LA FE PREPARATORY SCHOOL,La Fe Preparatory School,71,EL PASO,19,Y,N
