Region Code,TEA Region,gender,ethnicity,economic_status,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,enrolled_out_of_state,enrolled_out_of_state_percent,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_percent,total_degrees,total_degrees_percent
,,Female,African American,,22748,21302,0.94,17697,0.78,3185,0.14,14628,0.64,4979,0.22,7660,0.34,0,0,12639,0.56,2121,0.09,3365,0.15
,,Female,Hispanic,,61597,57389,0.93,46512,0.76,9467,0.15,38364,0.62,7799,0.13,20112,0.33,0,0,27911,0.45,3308,0.05,9103,0.15
,,Female,White,,65504,61774,0.94,56077,0.86,3973,0.06,50741,0.78,18728,0.29,24638,0.38,0,0,43366,0.66,3677,0.06,21696,0.33
,,Female,Others,,4773,4475,0.94,4201,0.88,164,0.03,3880,0.81,2001,0.42,1320,0.28,0,0,3321,0.7,244,0.05,2080,0.44
,,Male,African American,,23298,21407,0.92,16362,0.7,4750,0.2,13686,0.59,3730,0.16,6619,0.28,0,0,10349,0.44,1700,0.07,2013,0.09
,,Male,Hispanic,,64445,59327,0.92,44078,0.68,14286,0.22,37593,0.58,6684,0.1,17690,0.27,0,0,24374,0.38,2897,0.05,6197,0.1
,,Male,White,,69140,64624,0.94,56656,0.82,6564,0.09,51577,0.75,15982,0.23,23585,0.34,0,0,39567,0.57,3417,0.05,15987,0.23
,,Male,Others,,5226,4848,0.93,4457,0.85,296,0.06,4143,0.79,1925,0.37,1557,0.3,0,0,3482,0.67,251,0.05,1738,0.33
,,,,Not Economically Disadvantaged,164317,154940,0.94,138578,0.84,13215,0.08,127268,0.78,46440,0.28,60491,0.37,0,0,106931,0.65,9348,0.06,47707,0.29
,,,,Economically Disadvantaged,152414,140206,0.92,107462,0.71,29470,0.19,87344,0.57,15388,0.1,42690,0.28,0,0,58078,0.38,8267,0.05,14472,0.1
