Region Code,TEA Region,County Number,County Name,economic_status,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_percent,total_degrees,total_degrees_percent
1,Edinburg,31,CAMERON,Not Economically Disadvantaged,978,932,0.95,796,0.81,123,0.13,761,0.78,365,0.37,352,0.36,717,0.73,67,0.07,345,0.35
1,Edinburg,31,CAMERON,Economically Disadvantaged,6048,5568,0.92,3867,0.64,1665,0.28,3788,0.63,810,0.13,2235,0.37,3045,0.5,375,0.06,890,0.15
1,Edinburg,108,HIDALGO,Not Economically Disadvantaged,1886,1794,0.95,1596,0.85,172,0.09,1504,0.8,856,0.45,536,0.28,1392,0.74,95,0.05,661,0.35
1,Edinburg,108,HIDALGO,Economically Disadvantaged,10405,9815,0.94,7377,0.71,2214,0.21,6480,0.62,1966,0.19,3118,0.3,5084,0.49,636,0.06,1749,0.17
1,Edinburg,124,JIM HOGG,Not Economically Disadvantaged,21,21,1,21,1.00,0,0,21,1,9,0.43,11,0.52,20,0.95,0,0,10,0.48
1,Edinburg,124,JIM HOGG,Economically Disadvantaged,61,59,0.97,49,0.80,9,0.15,41,0.67,16,0.26,16,0.26,32,0.52,1,0.02,10,0.16
1,Edinburg,214,STARR,Not Economically Disadvantaged,122,116,0.95,103,0.84,11,0.09,92,0.75,37,0.3,36,0.3,73,0.6,3,0.02,46,0.38
1,Edinburg,214,STARR,Economically Disadvantaged,1110,1066,0.96,835,0.75,210,0.19,764,0.69,166,0.15,422,0.38,588,0.53,44,0.04,243,0.22
1,Edinburg,240,WEBB,Not Economically Disadvantaged,777,741,0.95,682,0.88,50,0.06,646,0.83,248,0.32,362,0.47,610,0.79,50,0.06,271,0.35
1,Edinburg,240,WEBB,Economically Disadvantaged,3510,3266,0.93,2674,0.76,553,0.16,2380,0.68,542,0.15,1530,0.44,2072,0.59,215,0.06,702,0.2
1,Edinburg,245,WILLACY,Not Economically Disadvantaged,39,38,0.97,35,0.90,1,0.03,31,0.79,14,0.36,16,0.41,30,0.77,3,0.08,7,0.18
1,Edinburg,245,WILLACY,Economically Disadvantaged,296,277,0.94,236,0.80,41,0.14,189,0.64,44,0.15,87,0.29,131,0.44,16,0.05,34,0.11
1,Edinburg,253,ZAPATA,Not Economically Disadvantaged,43,42,0.98,36,0.84,2,0.05,29,0.67,12,0.28,15,0.35,27,0.63,0,0,14,0.33
