Region Code,TEA Region,gender,ethnicity,economic_status,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,enrolled_out_of_state,enrolled_out_of_state_percent,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_percent,total_degrees,total_degrees_percent
,,Female,African American,,23576,22148,0.94,18727,0.79,3080,0.13,15649,0.66,5350,0.23,8836,0.38,0,0,14186,0.6,2199,0.09,3816,0.16
,,Female,Hispanic,,68348,64015,0.94,51911,0.76,10595,0.16,44254,0.65,9318,0.14,23765,0.35,0,0,33083,0.48,3869,0.06,11596,0.17
,,Female,White,,63623,60090,0.94,54931,0.86,3620,0.06,49350,0.78,17902,0.28,24625,0.39,0,0,42527,0.67,3625,0.06,21674,0.34
,,Female,Others,,4943,4661,0.94,4409,0.89,155,0.03,4108,0.83,2037,0.41,1375,0.28,0,0,3412,0.69,213,0.04,2181,0.44
,,Male,African American,,24130,22174,0.92,17009,0.71,4873,0.2,14139,0.59,4073,0.17,7735,0.32,0,0,11808,0.49,2047,0.08,2203,0.09
,,Male,Hispanic,,71089,66008,0.93,49140,0.69,15639,0.22,41898,0.59,7868,0.11,21315,0.3,0,0,29183,0.41,3808,0.05,7855,0.11
,,Male,White,,67956,63725,0.94,56186,0.83,6215,0.09,50145,0.74,15550,0.23,24189,0.36,0,0,39739,0.59,3751,0.06,16090,0.24
,,Male,Others,,5430,5104,0.94,4638,0.85,360,0.07,4298,0.79,1971,0.36,1618,0.3,0,0,3589,0.66,281,0.05,1897,0.35
,,,,Not Economically Disadvantaged,159101,150642,0.95,135945,0.85,11909,0.07,124316,0.78,45214,0.28,61032,0.38,0,0,106246,0.67,9255,0.06,48374,0.3
,,,,Economically Disadvantaged,169994,157283,0.93,121006,0.71,32628,0.19,99525,0.59,18855,0.11,52426,0.31,0,0,71281,0.42,10538,0.06,18938,0.11
