Region Code,TEA Region,County Number,County Name,gender,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_percent,total_degrees,total_degrees_percent
01,Edinburg,031,CAMERON,Female,3439,3187,0.93,2377,0.69,783,0.23,2302,0.67,624,0.18,1333,0.39,1957,0.57,215,0.06,741,0.22
01,Edinburg,031,CAMERON,Male,3587,3313,0.92,2286,0.64,1005,0.28,2247,0.63,551,0.15,1254,0.35,1805,0.50,227,0.06,494,0.14
01,Edinburg,108,HIDALGO,Female,5935,5598,0.94,4526,0.76,956,0.16,3951,0.67,1473,0.25,1820,0.31,3293,0.55,378,0.06,1379,0.23
01,Edinburg,108,HIDALGO,Male,6356,6011,0.95,4447,0.70,1430,0.22,4033,0.63,1349,0.21,1834,0.29,3183,0.50,353,0.06,1031,0.16
01,Edinburg,124,JIM HOGG,Female,37,37,1.00,30,0.81,4,0.11,27,0.73,11,0.30,14,0.38,25,0.68,1,0.03,12,0.32
01,Edinburg,124,JIM HOGG,Male,45,43,0.96,40,0.89,5,0.11,35,0.78,14,0.31,13,0.29,27,0.60,0,0.00,8,0.18
01,Edinburg,214,STARR,Female,597,574,0.96,477,0.80,81,0.14,433,0.73,108,0.18,240,0.40,348,0.58,23,0.04,173,0.29
01,Edinburg,214,STARR,Male,635,608,0.96,461,0.73,140,0.22,423,0.67,95,0.15,218,0.34,313,0.49,24,0.04,116,0.18
01,Edinburg,240,WEBB,Female,2096,1971,0.94,1700,0.81,237,0.11,1521,0.73,392,0.19,964,0.46,1356,0.65,125,0.06,560,0.27
01,Edinburg,240,WEBB,Male,2191,2036,0.93,1656,0.76,366,0.17,1505,0.69,398,0.18,928,0.42,1326,0.61,140,0.06,413,0.19
01,Edinburg,245,WILLACY,Female,172,160,0.93,139,0.81,19,0.11,113,0.66,30,0.17,54,0.31,84,0.49,11,0.06,24,0.14
