Region Code,TEA Region,County Number,County Name,economic_status,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_per,total_degrees,total_degrees_percent
1,Edinburg,31,CAMERON,Not Economically Disadvantaged,910,864,0.95,798,0.88,62,0.07,783,0.86,417,0.46,271,0.30,688,0.76,44,0.05,348,0.38
1,Edinburg,31,CAMERON,Economically Disadvantaged,6155,5685,0.92,4542,0.74,1187,0.19,4741,0.77,1437,0.23,1724,0.28,3161,0.51,123,0.02,1069,0.17
1,Edinburg,108,HIDALGO,Not Economically Disadvantaged,2005,1900,0.95,1719,0.86,170,0.08,1721,0.86,917,0.46,555,0.28,1472,0.73,54,0.03,775,0.39
1,Edinburg,108,HIDALGO,Economically Disadvantaged,11195,10575,0.94,8452,0.76,1914,0.17,8772,0.78,2333,0.21,3292,0.29,5625,0.50,174,0.02,2165,0.19
1,Edinburg,124,JIM HOGG,Not Economically Disadvantaged,14,14,1.00,13,0.93, -   ,0.00,11,0.79,6,0.43,3,0.21,9,0.64, -   ,0.00,8,0.57
1,Edinburg,124,JIM HOGG,Economically Disadvantaged,61,52,0.85,45,0.74,11,0.18,45,0.74,7,0.11,17,0.28,24,0.39, -   ,0.00,2,0.03
1,Edinburg,214,STARR,Not Economically Disadvantaged,106,102,0.96,93,0.88,7,0.07,92,0.87,35,0.33,35,0.33,70,0.66,1,0.01,42,0.40
1,Edinburg,214,STARR,Economically Disadvantaged,1119,1071,0.96,936,0.84,114,0.10,890,0.80,232,0.21,382,0.34,614,0.55,20,0.02,278,0.25
1,Edinburg,240,WEBB,Not Economically Disadvantaged,951,905,0.95,867,0.91,26,0.03,831,0.87,319,0.34,413,0.43,732,0.77,22,0.02,370,0.39
1,Edinburg,240,WEBB,Economically Disadvantaged,3610,3403,0.94,2890,0.80,439,0.12,2804,0.78,601,0.17,1524,0.42,2125,0.59,74,0.02,762,0.21
1,Edinburg,245,WILLACY,Not Economically Disadvantaged,35,35,1.00,34,0.97, -   ,0.00,32,0.91,13,0.37,13,0.37,26,0.74,1,0.03,16,0.46
1,Edinburg,245,WILLACY,Economically Disadvantaged,301,288,0.96,258,0.86,23,0.08,252,0.84,64,0.21,107,0.36,171,0.57,3,0.01,48,0.16
1,Edinburg,253,ZAPATA,Not Economically Disadvantaged,49,48,0.98,47,0.96,1,0.02,46,0.94,17,0.35,16,0.33,33,0.67, -   ,0.00,19,0.39
1,Edinburg,253,ZAPATA,Economically Disadvantaged,157,150,0.96,139,0.89,6,0.04,129,0.82,33,0.21,39,0.25,72,0.46, -   ,0.00,24,0.15
2,Corpus Christi,4,ARANSAS,Not Economically Disadvantaged,115,109,0.95,102,0.89,5,0.04,94,0.82,40,0.35,25,0.22,65,0.57,1,0.01,30,0.26
2,Corpus Christi,4,ARANSAS,Economically Disadvantaged,136,126,0.93,110,0.81,14,0.10,89,0.65,13,0.10,24,0.18,37,0.27,4,0.03,11,0.08
2,Corpus Christi,13,BEE,Not Economically Disadvantaged,151,149,0.99,134,0.89,14,0.09,140,0.93,43,0.28,64,0.42,107,0.71,3,0.02,58,0.38
2,Corpus Christi,13,BEE,Economically Disadvantaged,237,224,0.95,152,0.64,70,0.30,173,0.73,14,0.06,90,0.38,104,0.44,3,0.01,35,0.15
2,Corpus Christi,24,BROOKS,Not Economically Disadvantaged, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.
2,Corpus Christi,24,BROOKS,Economically Disadvantaged, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.
2,Corpus Christi,66,DUVAL,Not Economically Disadvantaged,112,109,0.97,104,0.93,5,0.04,99,0.88,37,0.33,35,0.31,72,0.64,1,0.01,32,0.29
2,Corpus Christi,66,DUVAL,Economically Disadvantaged,82,74,0.90,67,0.82,10,0.12,56,0.68,11,0.13,18,0.22,29,0.35,4,0.05,9,0.11
2,Corpus Christi,125,JIM WELLS,Not Economically Disadvantaged,270,254,0.94,223,0.83,28,0.10,219,0.81,94,0.35,76,0.28,170,0.63,10,0.04,85,0.31
2,Corpus Christi,125,JIM WELLS,Economically Disadvantaged,293,279,0.95,219,0.75,53,0.18,196,0.67,43,0.15,71,0.24,114,0.39,3,0.01,32,0.11
2,Corpus Christi,137,KLEBERG,Not Economically Disadvantaged,157,140,0.89,124,0.79,15,0.10,121,0.77,74,0.47,33,0.21,107,0.68,8,0.05,56,0.36
