Region Code,TEA Region,gender,ethnicity,economic_status,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,enrolled_out_of_state,enrolled_out_of_state_per,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_per,total_degrees,total_degrees_percent
,,Female,African American,,23487,21885,0.93,19350,0.82,2314,0.1,18247,0.78,6086,0.26,8257,0.35,0,0,14343,0.61,987,0.04,4610,0.2
,,Female,Hispanic,,72890,68364,0.94,59523,0.82,8045,0.11,57235,0.79,12335,0.17,25265,0.35,0,0,37600,0.52,1775,0.02,15155,0.21
,,Female,White,,59524,56367,0.95,52805,0.89,2381,0.04,49455,0.83,17646,0.3,21596,0.36,0,0,39242,0.66,2250,0.04,21589,0.36
,,Female,Others,,5820,5463,0.94,5227,0.9,159,0.03,5003,0.86,2458,0.42,1545,0.27,0,0,4003,0.69,185,0.03,2724,0.47
,,Male,African American,,24935,22883,0.92,18744,0.75,3884,0.16,17648,0.71,4454,0.18,7632,0.31,0,0,12086,0.48,930,0.04,2608,0.1
,,Male,Hispanic,,76362,71141,0.93,58139,0.76,12517,0.16,56090,0.73,9935,0.13,22282,0.29,0,0,32217,0.42,1567,0.02,10198,0.13
,,Male,White,,63109,59443,0.94,53931,0.85,4449,0.07,50993,0.81,14994,0.24,20527,0.33,0,0,35521,0.56,1939,0.03,16337,0.26
,,Male,Others,,6449,6075,0.94,5732,0.89,263,0.04,5475,0.85,2365,0.37,1815,0.28,0,0,4180,0.65,180,0.03,2473,0.38
,,,,Not Economically Disadvantaged,159807,151620,0.95,140592,0.88,8891,0.06,134780,0.84,47143,0.3,56869,0.36,0,0,104012,0.65,5298,0.03,52281,0.33
,,,,Economically Disadvantaged,172769,160001,0.93,132859,0.77,25121,0.15,125366,0.73,23130,0.13,52050,0.3,0,0,75180,0.44,4515,0.03,23413,0.14
1,Edinburg,,,,26668,25092,0.94,20833,0.78,3960,0.15,21149,0.79,6431,0.24,8391,0.31,0,0,14822,0.56,516,0.02,5926,0.22
2,Corpus Christi,,,,7574,7004,0.92,6090,0.8,900,0.12,5779,0.76,1767,0.23,2152,0.28,0,0,3919,0.52,247,0.03,1484,0.2
3,Victoria,,,,3850,3574,0.93,3264,0.85,317,0.08,3011,0.78,519,0.13,1528,0.4,0,0,2047,0.53,117,0.03,910,0.24
4,Houston,,,,73414,68923,0.94,60029,0.82,7909,0.11,56618,0.77,15309,0.21,24800,0.34,0,0,40109,0.55,2459,0.03,17037,0.23
5,Beaumont,,,,5979,5612,0.94,5064,0.85,473,0.08,4604,0.77,1490,0.25,1627,0.27,0,0,3117,0.52,207,0.03,1277,0.21
6,Huntsville,,,,11837,11092,0.94,9958,0.84,1018,0.09,9348,0.79,2341,0.2,3788,0.32,0,0,6129,0.52,357,0.03,2681,0.23
7,Kilgore,,,,11699,11056,0.95,10113,0.86,733,0.06,9282,0.79,1738,0.15,4450,0.38,0,0,6188,0.53,319,0.03,2681,0.23
8,Mt. Pleasant,,,,4098,3858,0.94,3604,0.88,176,0.04,3274,0.8,573,0.14,1613,0.39,0,0,2186,0.53,129,0.03,941,0.23
9,Wichita Falls,,,,2760,2567,0.93,2382,0.86,156,0.06,2242,0.81,668,0.24,744,0.27,0,0,1412,0.51,50,0.02,636,0.23
