Region Code,TEA Region,County Number,County Name,ethnicity,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_percent,total_degrees,total_degrees_percent
1,Edinburg,31,CAMERON,Hispanic,7088,6779,96%,5950,84%,760,11%,5921,84%,1677,24%,2073,29%,3750,53%,98,1%,1509,21%
1,Edinburg,31,CAMERON,White,215,205,95%,180,84%,9,4%,171,80%,89,41%,57,27%,146,68%,14,7%,78,36%
1,Edinburg,31,CAMERON,Others,74,68,92%,66,89%,,nan,65,88%,41,55%,11,15%,52,70%,,nan,36,49%
1,Edinburg,31,CAMERON,Other Ethnicities,22,19,86%,19,86%,,nan,16,73%,9,41%,,nan,12,55%,,nan,7,32%
1,Edinburg,108,HIDALGO,African American,34,30,88%,29,85%,,nan,26,76%,11,32%,8,24%,19,56%,,nan,5,15%
1,Edinburg,108,HIDALGO,Hispanic,14638,14139,97%,12229,84%,1685,12%,12295,84%,3467,24%,4167,28%,7634,52%,157,1%,3099,21%
1,Edinburg,108,HIDALGO,White,283,270,95%,241,85%,18,6%,236,83%,124,44%,54,19%,178,63%,7,2%,107,38%
1,Edinburg,108,HIDALGO,Others,100,92,92%,88,88%,,nan,85,85%,42,42%,23,23%,65,65%,,nan,37,37%
1,Edinburg,124,JIM HOGG,All Ethnicities,83,82,99%,71,86%,7,8%,68,82%,21,25%,25,30%,46,55%,,nan,13,16%
1,Edinburg,214,STARR,All Ethnicities,1269,1222,96%,1058,83%,144,11%,1035,82%,252,20%,470,37%,722,57%,17,1%,348,27%
1,Edinburg,240,WEBB,Hispanic,4785,4610,96%,4053,85%,497,10%,4023,84%,1074,22%,1761,37%,2835,59%,84,2%,1175,25%
1,Edinburg,240,WEBB,White,57,50,88%,46,81%,,nan,47,82%,16,28%,18,32%,34,60%,,nan,16,28%
1,Edinburg,240,WEBB,Other Ethnicities,28,25,89%,24,86%,,nan,24,86%,14,50%,,nan,17,61%,,nan,9,32%
1,Edinburg,245,WILLACY,Hispanic,289,277,96%,263,91%,19,7%,237,82%,61,21%,92,32%,153,53%,,nan,60,21%
1,Edinburg,245,WILLACY,Other Ethnicities,12,11,92%,12,100%,,nan,9,75%,6,50%,,nan,7,58%,,nan,6,50%
1,Edinburg,253,ZAPATA,All Ethnicities,248,241,97%,235,95%,,nan,213,86%,62,25%,60,24%,122,49%,,nan,61,25%
2,Corpus Christi,4,ARANSAS,Hispanic,95,93,98%,81,85%,6,6%,70,74%,20,21%,21,22%,41,43%,,nan,14,15%
2,Corpus Christi,4,ARANSAS,White,123,115,94%,107,87%,7,6%,96,78%,41,33%,22,18%,63,51%,,nan,22,18%
2,Corpus Christi,4,ARANSAS,Other Ethnicities,15,15,100%,14,93%,,nan,13,87%,,nan,7,47%,11,73%,,nan,,nan
2,Corpus Christi,13,BEE,Hispanic,280,267,95%,200,71%,63,23%,214,76%,22,8%,101,36%,123,44%,,nan,43,15%
2,Corpus Christi,13,BEE,White,80,77,96%,62,78%,12,15%,66,83%,20,25%,27,34%,47,59%,,nan,23,29%
2,Corpus Christi,13,BEE,Other Ethnicities,13,13,100%,11,85%,,nan,10,77%,,nan,5,38%,7,54%,,nan,,nan
2,Corpus Christi,24,BROOKS,All Ethnicities,117,112,96%,98,84%,9,8%,93,79%,32,27%,17,15%,49,42%,,nan,22,19%
2,Corpus Christi,66,DUVAL,All Ethnicities,184,171,93%,152,83%,16,9%,139,76%,28,15%,52,28%,80,43%,,nan,23,13%
2,Corpus Christi,125,JIM WELLS,Hispanic,565,542,96%,418,74%,104,18%,420,74%,103,18%,148,26%,251,44%,6,1%,84,15%
2,Corpus Christi,125,JIM WELLS,Other Ethnicities,122,120,98%,104,85%,10,8%,105,86%,44,36%,34,28%,78,64%,,nan,44,36%
2,Corpus Christi,137,KLEBERG,Hispanic,312,292,94%,235,75%,50,16%,242,78%,92,29%,66,21%,158,51%,,nan,59,19%
2,Corpus Christi,137,KLEBERG,White,51,48,94%,45,88%,,nan,41,80%,32,63%,9,18%,41,80%,,nan,18,35%
