Region Code,TEA Region,County Number,County Name,economic_status,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_per,total_degrees,total_degrees_percent
1,Edinburg,31,CAMERON,Not Economically Disadvantaged,973,932,96%,877,90%,37,4%,878,90%,418,43%,301,31%,719,74%,19,2%,361,37%
1,Edinburg,31,CAMERON,Economically Disadvantaged,6426,6139,96%,5338,83%,733,11%,5295,82%,1398,22%,1843,29%,3241,50%,95,1%,1269,20%
1,Edinburg,108,HIDALGO,Not Economically Disadvantaged,2305,2233,97%,2100,91%,108,5%,2106,91%,1026,45%,673,29%,1699,74%,34,1%,881,38%
1,Edinburg,108,HIDALGO,Economically Disadvantaged,12750,12298,96%,10487,82%,1597,13%,10536,83%,2618,21%,3579,28%,6197,49%,133,1%,2367,19%
1,Edinburg,124,JIM HOGG,Not Economically Disadvantaged,21,21,100%,21,100%,*,*,20,95%,13,62%,6,29%,19,90%,*,*,11,52%
1,Edinburg,124,JIM HOGG,Economically Disadvantaged,62,61,98%,50,81%,7,11%,48,77%,8,13%,19,31%,27,44%,*,*,*,*
1,Edinburg,214,STARR,Not Economically Disadvantaged,76,76,100%,71,93%,*,*,71,93%,36,47%,28,37%,64,84%,*,*,39,51%
1,Edinburg,214,STARR,Economically Disadvantaged,1193,1146,96%,987,83%,142,12%,964,81%,216,18%,442,37%,658,55%,17,1%,309,26%
1,Edinburg,240,WEBB,Not Economically Disadvantaged,890,861,97%,839,94%,14,2%,793,89%,349,39%,366,41%,715,80%,38,4%,360,40%
1,Edinburg,240,WEBB,Economically Disadvantaged,3980,3824,96%,3284,83%,487,12%,3301,83%,755,19%,1416,36%,2171,55%,49,1%,840,21%
1,Edinburg,245,WILLACY,Not Economically Disadvantaged,35,34,97%,34,97%,*,*,33,94%,14,40%,14,40%,28,80%,*,*,16,46%
1,Edinburg,245,WILLACY,Economically Disadvantaged,266,254,95%,241,91%,19,7%,213,80%,53,20%,79,30%,132,50%,*,*,50,19%
1,Edinburg,253,ZAPATA,Not Economically Disadvantaged,72,68,94%,67,93%,*,*,66,92%,28,39%,21,29%,49,68%,*,*,28,39%
1,Edinburg,253,ZAPATA,Economically Disadvantaged,176,173,98%,168,95%,*,*,147,84%,34,19%,39,22%,73,41%,*,*,33,19%
2,Corpus Christi,4,ARANSAS,Not Economically Disadvantaged,88,86,98%,82,93%,*,*,78,89%,42,48%,20,23%,62,70%,*,*,27,31%
2,Corpus Christi,4,ARANSAS,Economically Disadvantaged,145,137,94%,120,83%,13,9%,101,70%,23,16%,30,21%,53,37%,*,*,10,7%
2,Corpus Christi,13,BEE,Not Economically Disadvantaged,120,117,98%,103,86%,15,13%,108,90%,33,28%,52,43%,85,71%,*,*,38,32%
2,Corpus Christi,13,BEE,Economically Disadvantaged,253,240,95%,170,67%,61,24%,182,72%,11,4%,81,32%,92,36%,*,*,29,11%
2,Corpus Christi,24,BROOKS,Not Economically Disadvantaged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Corpus Christi,24,BROOKS,Economically Disadvantaged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Corpus Christi,66,DUVAL,Not Economically Disadvantaged,55,53,96%,49,89%,*,*,48,87%,13,24%,18,33%,31,56%,*,*,10,18%
2,Corpus Christi,66,DUVAL,Economically Disadvantaged,129,118,91%,103,80%,12,9%,91,71%,15,12%,34,26%,49,38%,*,*,13,10%
2,Corpus Christi,125,JIM WELLS,Not Economically Disadvantaged,225,215,96%,191,85%,22,10%,188,84%,82,36%,65,29%,147,65%,*,*,71,32%
2,Corpus Christi,125,JIM WELLS,Economically Disadvantaged,462,447,97%,331,72%,92,20%,337,73%,65,14%,117,25%,182,39%,6,1%,57,12%
2,Corpus Christi,137,KLEBERG,Not Economically Disadvantaged,147,140,95%,130,88%,9,6%,126,86%,89,61%,22,15%,111,76%,5,3%,59,40%
2,Corpus Christi,137,KLEBERG,Economically Disadvantaged,235,215,91%,165,70%,45,19%,172,73%,45,19%,54,23%,99,42%,*,*,26,11%
2,Corpus Christi,149,LIVE OAK,Not Economically Disadvantaged,55,54,98%,51,93%,*,*,49,89%,22,40%,18,33%,40,73%,*,*,27,49%
2,Corpus Christi,149,LIVE OAK,Economically Disadvantaged,76,75,99%,63,83%,7,9%,54,71%,9,12%,23,30%,32,42%,*,*,12,16%
2,Corpus Christi,162,MCMULLEN,Not Economically Disadvantaged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Corpus Christi,162,MCMULLEN,Economically Disadvantaged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Corpus Christi,178,NUECES,Not Economically Disadvantaged,1861,1769,95%,1651,89%,92,5%,1604,86%,651,35%,602,32%,1253,67%,46,2%,553,30%
2,Corpus Christi,178,NUECES,Economically Disadvantaged,2802,2656,95%,2234,80%,361,13%,2094,75%,343,12%,787,28%,1130,40%,42,2%,287,10%
2,Corpus Christi,205,SAN PATRICIO,Not Economically Disadvantaged,450,437,97%,412,92%,18,4%,411,91%,151,34%,151,34%,302,67%,*,*,135,30%
2,Corpus Christi,205,SAN PATRICIO,Economically Disadvantaged,628,599,95%,529,84%,58,9%,497,79%,89,14%,151,24%,240,38%,8,1%,75,12%
3,Victoria,29,CALHOUN,Not Economically Disadvantaged,137,133,97%,129,94%,*,*,126,92%,38,28%,56,41%,94,69%,*,*,39,28%
