Region Code,TEA Region,gender,ethnicity,economic_status,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,enrolled_out_of_state,enrolled_out_of_state_per,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_per,total_degrees,total_degrees_percent
,,Female,African American,,24908,23253,0.93,19719,0.79,3044,0.12,18619,0.75,6074,0.24,9086,0.36,0,0.00,15160,0.61,1280,0.05,4485,0.18
,,Female,Hispanic,,73203,68916,0.94,57385,0.78,9867,0.13,55254,0.75,11284,0.15,25703,0.35,0,0.00,36987,0.51,2063,0.03,13913,0.19
,,Female,White,,61068,57835,0.95,53192,0.87,3056,0.05,50198,0.82,17795,0.29,22570,0.37,0,0.00,40365,0.66,2463,0.04,21429,0.35
,,Female,Others,,5791,5510,0.95,5216,0.90,156,0.03,4991,0.86,2475,0.43,1593,0.28,0,0.00,4068,0.70,176,0.03,2671,0.46
,,Male,African American,,25776,23670,0.92,18507,0.72,4653,0.18,17564,0.68,4398,0.17,8177,0.32,0,0.00,12575,0.49,1212,0.05,2561,0.10
,,Male,Hispanic,,76345,71458,0.94,55642,0.73,14277,0.19,54261,0.71,9351,0.12,22892,0.30,0,0.00,32243,0.42,1793,0.02,9528,0.12
,,Male,White,,65146,61493,0.94,54794,0.84,5338,0.08,52077,0.80,15309,0.24,21614,0.33,0,0.00,36923,0.57,2215,0.03,16219,0.25
,,Male,Others,,6105,5734,0.94,5346,0.88,305,0.05,5133,0.84,2299,0.38,1769,0.29,0,0.00,4068,0.67,197,0.03,2278,0.37
,,,,Not Economically Disadvantaged,158807,150852,0.95,137388,0.87,10453,0.07,132483,0.83,46694,0.29,57684,0.36,0,0.00,104378,0.66,5817,0.04,50378,0.32
,,,,Economically Disadvantaged,179535,167017,0.93,132413,0.74,30243,0.17,125614,0.70,22291,0.12,55720,0.31,0,0.00,78011,0.43,5582,0.03,22706,0.13
1,Edinburg,,,,26581,25199,0.95,20376,0.77,4300,0.16,20569,0.77,6020,0.23,9022,0.34,0,0.00,15042,0.57,692,0.03,5754,0.22
2,Corpus Christi,,,,7912,7396,0.93,6220,0.79,964,0.12,5792,0.73,1703,0.22,2293,0.29,0,0.00,3996,0.51,260,0.03,1429,0.18
3,Victoria,,,,4109,3884,0.95,3437,0.84,377,0.09,3155,0.77,648,0.16,1549,0.38,0,0.00,2197,0.53,125,0.03,995,0.24
4,Houston,,,,74398,69637,0.94,58665,0.79,9568,0.13,56117,0.75,15154,0.20,25694,0.35,0,0.00,40848,0.55,2963,0.04,16498,0.22
5,Beaumont,,,,6094,5794,0.95,5128,0.84,500,0.08,4668,0.77,1555,0.26,1669,0.27,0,0.00,3224,0.53,197,0.03,1235,0.20
6,Huntsville,,,,11823,11172,0.94,9412,0.80,1427,0.12,9054,0.77,2122,0.18,3951,0.33,0,0.00,6073,0.51,383,0.03,2541,0.21
7,Kilgore,,,,12263,11648,0.95,10265,0.84,1009,0.08,9492,0.77,1719,0.14,4831,0.39,0,0.00,6550,0.53,379,0.03,2688,0.22
8,Mt. Pleasant,,,,4225,3969,0.94,3633,0.86,223,0.05,3332,0.79,565,0.13,1774,0.42,0,0.00,2339,0.55,155,0.04,934,0.22
9,Wichita Falls,,,,2883,2720,0.94,2460,0.85,188,0.07,2272,0.79,615,0.21,824,0.29,0,0.00,1439,0.50,60,0.02,625,0.22
10,Richardson,,,,50779,47543,0.94,40745,0.80,5942,0.12,39103,0.77,9762,0.19,17124,0.34,0,0.00,26886,0.53,1651,0.03,10506,0.21
11,Fort Worth,,,,37232,34983,0.94,30002,0.81,4060,0.11,28595,0.77,7751,0.21,12591,0.34,0,0.00,20342,0.55,1343,0.04,8440,0.23
12,Waco,,,,10541,9776,0.93,8296,0.79,1158,0.11,7873,0.75,1731,0.16,4275,0.41,0,0.00,6006,0.57,443,0.04,2330,0.22
13,Austin,,,,24362,23036,0.95,19892,0.82,2626,0.11,19023,0.78,6381,0.26,6598,0.27,0,0.00,12979,0.53,786,0.03,5727,0.24
14,Abilene,,,,3477,3260,0.94,2853,0.82,275,0.08,2680,0.77,822,0.24,1036,0.30,0,0.00,1858,0.53,79,0.02,895,0.26
15,San Angelo,,,,3679,3454,0.94,3065,0.83,338,0.09,2826,0.77,960,0.26,891,0.24,0,0.00,1851,0.50,81,0.02,788,0.21
16,Amarillo,,,,5830,5494,0.94,4966,0.85,395,0.07,4592,0.79,1076,0.18,2081,0.36,0,0.00,3157,0.54,188,0.03,1278,0.22
17,Lubbock,,,,5639,5355,0.95,4884,0.87,347,0.06,4335,0.77,1140,0.20,1715,0.30,0,0.00,2855,0.51,129,0.02,1150,0.20
18,Midland,,,,5880,5448,0.93,4597,0.78,734,0.12,4065,0.69,889,0.15,1948,0.33,0,0.00,2837,0.48,189,0.03,1021,0.17
19,El Paso,,,,13214,12342,0.93,9769,0.74,2280,0.17,10072,0.76,3032,0.23,4684,0.35,0,0.00,7716,0.58,463,0.04,2605,0.20
20,San Antonio,,,,27421,25759,0.94,21136,0.77,3985,0.15,20482,0.75,5340,0.19,8854,0.32,0,0.00,14194,0.52,833,0.03,5645,0.21
,,,,,338342,317869,0.94,269801,0.80,40696,0.12,258097,0.76,68985,0.20,113404,0.34,0,0.00,182389,0.54,11399,0.03,73084,0.22
,,Female,,,164970,155514,0.94,135512,0.82,16123,0.10,129062,0.78,37628,0.23,58952,0.36,0,0.00,96580,0.59,5982,0.04,42498,0.26
,,Male,,,173372,162355,0.94,134289,0.77,24573,0.14,129035,0.74,31357,0.18,54452,0.31,0,0.00,85809,0.49,5417,0.03,30586,0.18
1,Edinburg,,,Not Economically Disadvantaged,3829,3648,0.95,3282,0.86,304,0.08,3244,0.85,1587,0.41,1233,0.32,0,0.00,2820,0.74,164,0.04,1377,0.36
1,Edinburg,,,Economically Disadvantaged,22752,21551,0.95,17094,0.75,3996,0.18,17325,0.76,4433,0.19,7789,0.34,0,0.00,12222,0.54,528,0.02,4377,0.19
2,Corpus Christi,,,Not Economically Disadvantaged,3277,3078,0.94,2782,0.85,214,0.07,2668,0.81,1133,0.35,1047,0.32,0,0.00,2180,0.67,137,0.04,969,0.30
2,Corpus Christi,,,Economically Disadvantaged,4635,4318,0.93,3438,0.74,750,0.16,3124,0.67,570,0.12,1246,0.27,0,0.00,1816,0.39,123,0.03,460,0.10
3,Victoria,,,Not Economically Disadvantaged,1956,1879,0.96,1778,0.91,75,0.04,1696,0.87,487,0.25,877,0.45,0,0.00,1364,0.70,67,0.03,745,0.38
3,Victoria,,,Economically Disadvantaged,2153,2005,0.93,1659,0.77,302,0.14,1459,0.68,161,0.07,672,0.31,0,0.00,833,0.39,58,0.03,250,0.12
4,Houston,,,Not Economically Disadvantaged,36413,34494,0.95,31241,0.86,2733,0.08,30161,0.83,10504,0.29,13761,0.38,0,0.00,24265,0.67,1486,0.04,11780,0.32
4,Houston,,,Economically Disadvantaged,37985,35143,0.93,27424,0.72,6835,0.18,25956,0.68,4650,0.12,11933,0.31,0,0.00,16583,0.44,1477,0.04,4718,0.12
5,Beaumont,,,Not Economically Disadvantaged,3038,2927,0.96,2685,0.88,170,0.06,2532,0.83,1050,0.35,914,0.30,0,0.00,1964,0.65,106,0.03,931,0.31
5,Beaumont,,,Economically Disadvantaged,3056,2867,0.94,2443,0.80,330,0.11,2136,0.70,505,0.17,755,0.25,0,0.00,1260,0.41,91,0.03,304,0.10
6,Huntsville,,,Not Economically Disadvantaged,6684,6380,0.95,5734,0.86,464,0.07,5577,0.83,1724,0.26,2485,0.37,0,0.00,4209,0.63,220,0.03,2101,0.31
6,Huntsville,,,Economically Disadvantaged,5139,4792,0.93,3678,0.72,963,0.19,3477,0.68,398,0.08,1466,0.29,0,0.00,1864,0.36,163,0.03,440,0.09
7,Kilgore,,,Not Economically Disadvantaged,6050,5800,0.96,5377,0.89,277,0.05,5097,0.84,1274,0.21,2722,0.45,0,0.00,3996,0.66,206,0.03,1973,0.33
7,Kilgore,,,Economically Disadvantaged,6213,5848,0.94,4888,0.79,732,0.12,4395,0.71,445,0.07,2109,0.34,0,0.00,2554,0.41,173,0.03,715,0.12
8,Mt. Pleasant,,,Not Economically Disadvantaged,1965,1884,0.96,1805,0.92,52,0.03,1688,0.86,398,0.20,893,0.45,0,0.00,1291,0.66,60,0.03,640,0.33
8,Mt. Pleasant,,,Economically Disadvantaged,2260,2085,0.92,1828,0.81,171,0.08,1644,0.73,167,0.07,881,0.39,0,0.00,1048,0.46,95,0.04,294,0.13
9,Wichita Falls,,,Not Economically Disadvantaged,1554,1479,0.95,1384,0.89,61,0.04,1307,0.84,484,0.31,453,0.29,0,0.00,937,0.60,35,0.02,465,0.30
9,Wichita Falls,,,Economically Disadvantaged,1329,1241,0.93,1076,0.81,127,0.10,965,0.73,131,0.10,371,0.28,0,0.00,502,0.38,25,0.02,160,0.12
10,Richardson,,,Not Economically Disadvantaged,26132,24828,0.95,22785,0.87,1575,0.06,21965,0.84,7112,0.27,9760,0.37,0,0.00,16872,0.65,949,0.04,7775,0.30
10,Richardson,,,Economically Disadvantaged,24647,22715,0.92,17960,0.73,4367,0.18,17138,0.70,2650,0.11,7364,0.30,0,0.00,10014,0.41,702,0.03,2731,0.11
11,Fort Worth,,,Not Economically Disadvantaged,22707,21603,0.95,19525,0.86,1609,0.07,18890,0.83,6314,0.28,8337,0.37,0,0.00,14651,0.65,833,0.04,6865,0.30
11,Fort Worth,,,Economically Disadvantaged,14525,13380,0.92,10477,0.72,2451,0.17,9705,0.67,1437,0.10,4254,0.29,0,0.00,5691,0.39,510,0.04,1575,0.11
12,Waco,,,Not Economically Disadvantaged,5342,5013,0.94,4512,0.84,366,0.07,4340,0.81,1293,0.24,2341,0.44,0,0.00,3634,0.68,223,0.04,1719,0.32
12,Waco,,,Economically Disadvantaged,5199,4763,0.92,3784,0.73,792,0.15,3533,0.68,438,0.08,1934,0.37,0,0.00,2372,0.46,220,0.04,611,0.12
13,Austin,,,Not Economically Disadvantaged,14267,13649,0.96,12586,0.88,782,0.05,12115,0.85,5228,0.37,4223,0.30,0,0.00,9451,0.66,518,0.04,4886,0.34
13,Austin,,,Economically Disadvantaged,10095,9387,0.93,7306,0.72,1844,0.18,6908,0.68,1153,0.11,2375,0.24,0,0.00,3528,0.35,268,0.03,841,0.08
14,Abilene,,,Not Economically Disadvantaged,1735,1649,0.95,1536,0.89,66,0.04,1484,0.86,616,0.36,545,0.31,0,0.00,1161,0.67,34,0.02,671,0.39
14,Abilene,,,Economically Disadvantaged,1742,1611,0.92,1317,0.76,209,0.12,1196,0.69,206,0.12,491,0.28,0,0.00,697,0.40,45,0.03,224,0.13
15,San Angelo,,,Not Economically Disadvantaged,1554,1477,0.95,1389,0.89,68,0.04,1332,0.86,677,0.44,375,0.24,0,0.00,1052,0.68,37,0.02,558,0.36
