Region Code,TEA Region,County Number,County Name,gender,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_percent,total_degrees,total_degrees_percent
1,Edinburg,31,CAMERON,Female,3469,3288,0.95,2644,0.76,599,0.17,2739,0.79,873,0.25,1189,0.34,2062,0.59,101,0.03,790,0.23
1,Edinburg,31,CAMERON,Male,3521,3320,0.94,2518,0.72,762,0.22,2670,0.76,683,0.19,1145,0.33,1828,0.52,71,0.02,541,0.15
1,Edinburg,108,HIDALGO,Female,6445,6137,0.95,5006,0.78,961,0.15,5109,0.79,1742,0.27,2027,0.31,3769,0.58,157,0.02,1655,0.26
1,Edinburg,108,HIDALGO,Male,6846,6482,0.95,4938,0.72,1390,0.20,5156,0.75,1470,0.21,2034,0.30,3504,0.51,146,0.02,1234,0.18
1,Edinburg,124,JIM HOGG,Female,42,40,0.95,37,0.88,4,0.10,35,0.83,12,0.29,13,0.31,25,0.60, -   ,0.00,10,0.24
1,Edinburg,124,JIM HOGG,Male,44,43,0.98,37,0.84,6,0.14,36,0.82,13,0.30,16,0.36,29,0.66,1,0.02,8,0.18
1,Edinburg,214,STARR,Female,628,594,0.95,499,0.79,75,0.12,491,0.78,139,0.22,251,0.40,390,0.62,13,0.02,201,0.32
1,Edinburg,214,STARR,Male,609,577,0.95,457,0.75,108,0.18,464,0.76,92,0.15,217,0.36,309,0.51,10,0.02,136,0.22
1,Edinburg,240,WEBB,Female,2232,2110,0.95,1934,0.87,137,0.06,1762,0.79,485,0.22,1029,0.46,1514,0.68,84,0.04,631,0.28
1,Edinburg,240,WEBB,Male,2167,2055,0.95,1819,0.84,203,0.09,1630,0.75,387,0.18,917,0.42,1304,0.60,103,0.05,443,0.20
1,Edinburg,245,WILLACY,Female,161,148,0.92,127,0.79,20,0.12,121,0.75,33,0.21,49,0.30,82,0.51,1,0.01,28,0.17
1,Edinburg,245,WILLACY,Male,170,162,0.95,136,0.80,22,0.13,145,0.85,28,0.16,63,0.37,91,0.54,2,0.01,25,0.15
1,Edinburg,253,ZAPATA,Female,116,113,0.97,107,0.92,4,0.03,104,0.90,34,0.29,31,0.27,65,0.56, -   ,0.00,28,0.24
1,Edinburg,253,ZAPATA,Male,131,130,0.99,117,0.89,9,0.07,107,0.82,29,0.22,41,0.31,70,0.53,3,0.02,24,0.18
2,Corpus Christi,4,ARANSAS,Female,138,125,0.91,112,0.81,7,0.05,98,0.71,41,0.30,27,0.20,68,0.49,5,0.04,32,0.23
2,Corpus Christi,4,ARANSAS,Male,135,126,0.93,110,0.81,8,0.06,92,0.68,23,0.17,25,0.19,48,0.36, -   ,0.00,17,0.13
2,Corpus Christi,13,BEE,Female,221,204,0.92,160,0.72,38,0.17,145,0.66,16,0.07,99,0.45,115,0.52,15,0.07,40,0.18
2,Corpus Christi,13,BEE,Male,204,191,0.94,152,0.75,39,0.19,156,0.76,20,0.10,81,0.40,101,0.50,8,0.04,31,0.15
2,Corpus Christi,24,BROOKS,Female, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.
2,Corpus Christi,24,BROOKS,Male, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.
2,Corpus Christi,66,DUVAL,Female,103,100,0.97,94,0.91,2,0.02,81,0.79,24,0.23,38,0.37,62,0.60,4,0.04,22,0.21
2,Corpus Christi,66,DUVAL,Male,123,117,0.95,91,0.74,19,0.15,88,0.72,24,0.20,20,0.16,44,0.36,2,0.02,16,0.13
2,Corpus Christi,125,JIM WELLS,Female,297,278,0.94,226,0.76,38,0.13,216,0.73,79,0.27,81,0.27,160,0.54,10,0.03,78,0.26
2,Corpus Christi,125,JIM WELLS,Male,330,319,0.97,246,0.75,62,0.19,229,0.69,64,0.19,77,0.23,141,0.43,8,0.02,45,0.14
2,Corpus Christi,137,KLEBERG,Female,198,184,0.93,169,0.85,14,0.07,152,0.77,64,0.32,59,0.30,123,0.62,8,0.04,48,0.24
2,Corpus Christi,137,KLEBERG,Male,180,159,0.88,124,0.69,34,0.19,111,0.62,47,0.26,25,0.14,72,0.40,7,0.04,13,0.07
2,Corpus Christi,149,LIVE OAK,Female,72,70,0.97,63,0.88,2,0.03,57,0.79,13,0.18,31,0.43,44,0.61,2,0.03,16,0.22
