Region Code,TEA Region,County Number,County Name,economic_status,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,enrolled_out_of_state,enrolled_out_of_state_percent,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_percent,total_degrees,total_degrees_percent
1,Edinburg,31,CAMERON,Not Economically Disadvantaged,933,898,0.96,746,0.80,130,0.14,747,0.80,308,0.33,336,0.36,0,0,644,0.69,32,0.03,289,0.31
1,Edinburg,31,CAMERON,Economically Disadvantaged,5788,5349,0.92,3792,0.66,1517,0.26,3736,0.65,728,0.13,2130,0.37,0,0,2858,0.49,294,0.05,844,0.15
1,Edinburg,108,HIDALGO,Not Economically Disadvantaged,1887,1779,0.94,1553,0.82,186,0.10,1499,0.79,839,0.45,492,0.26,0,0,1331,0.71,66,0.04,627,0.33
1,Edinburg,108,HIDALGO,Economically Disadvantaged,9784,9103,0.93,7037,0.72,1894,0.19,6294,0.64,1892,0.19,2724,0.28,0,0,4616,0.47,416,0.04,1597,0.16
1,Edinburg,124,JIM HOGG,Not Economically Disadvantaged,14,13,0.93,14,1.00,0,0,12,0.86,6,0.43,5,0.36,0,0,11,0.79,1,0.07,5,0.36
1,Edinburg,124,JIM HOGG,Economically Disadvantaged,65,65,1.00,61,0.94,1,0.02,52,0.80,19,0.29,21,0.32,0,0,40,0.62,1,0.02,10,0.15
1,Edinburg,214,STARR,Not Economically Disadvantaged,84,79,0.94,68,0.81,10,0.12,59,0.70,27,0.32,27,0.32,0,0,54,0.64,3,0.04,31,0.37
1,Edinburg,214,STARR,Economically Disadvantaged,1072,1012,0.94,784,0.73,193,0.18,735,0.69,189,0.18,372,0.35,0,0,561,0.52,37,0.03,227,0.21
1,Edinburg,240,WEBB,Not Economically Disadvantaged,715,675,0.94,614,0.86,52,0.07,601,0.84,242,0.34,309,0.43,0,0,551,0.77,27,0.04,260,0.36
1,Edinburg,240,WEBB,Economically Disadvantaged,3176,2974,0.94,2412,0.76,500,0.16,2253,0.71,446,0.14,1354,0.43,0,0,1800,0.57,134,0.04,621,0.20
1,Edinburg,245,WILLACY,Not Economically Disadvantaged,50,47,0.94,41,0.82,6,0.12,41,0.82,18,0.36,22,0.44,0,0,40,0.80,4,0.08,12,0.24
1,Edinburg,245,WILLACY,Economically Disadvantaged,295,272,0.92,210,0.71,59,0.20,190,0.64,45,0.15,72,0.24,0,0,117,0.40,7,0.02,33,0.11
1,Edinburg,253,ZAPATA,Not Economically Disadvantaged,55,52,0.95,45,0.82,0,0,42,0.76,23,0.42,11,0.20,0,0,34,0.62,0,0,21,0.38
1,Edinburg,253,ZAPATA,Economically Disadvantaged,160,152,0.95,143,0.89,10,0.06,110,0.69,25,0.16,57,0.36,0,0,82,0.51,4,0.03,22,0.14
2,Corpus Christi,4,ARANSAS,Not Economically Disadvantaged,115,110,0.96,103,0.90,4,0.03,94,0.82,25,0.22,45,0.39,0,0,70,0.61,4,0.03,29,0.25
2,Corpus Christi,4,ARANSAS,Economically Disadvantaged,132,121,0.92,102,0.77,16,0.12,76,0.58,16,0.12,23,0.17,0,0,39,0.30,6,0.05,16,0.12
2,Corpus Christi,13,BEE,Not Economically Disadvantaged,161,154,0.96,144,0.89,6,0.04,132,0.82,34,0.21,83,0.52,0,0,117,0.73,10,0.06,67,0.42
2,Corpus Christi,13,BEE,Economically Disadvantaged,246,232,0.94,193,0.79,40,0.16,140,0.57,12,0.05,99,0.40,0,0,111,0.45,22,0.09,28,0.11
2,Corpus Christi,24,BROOKS,Not Economically Disadvantaged,20,19,0.95,17,0.85,2,0.10,14,0.70,5,0.25,9,0.45,0,0,14,0.70,0,0,6,0.30
2,Corpus Christi,24,BROOKS,Economically Disadvantaged,146,142,0.97,108,0.74,26,0.18,98,0.67,26,0.18,31,0.21,0,0,57,0.39,4,0.03,18,0.12
2,Corpus Christi,66,DUVAL,Not Economically Disadvantaged,51,49,0.96,43,0.84,6,0.12,37,0.73,9,0.18,22,0.43,0,0,31,0.61,3,0.06,15,0.29
2,Corpus Christi,66,DUVAL,Economically Disadvantaged,166,158,0.95,139,0.84,16,0.10,113,0.68,17,0.10,53,0.32,0,0,70,0.42,3,0.02,20,0.12
2,Corpus Christi,125,JIM WELLS,Not Economically Disadvantaged,265,256,0.97,236,0.89,18,0.07,200,0.76,96,0.36,87,0.33,0,0,183,0.69,12,0.05,82,0.31
2,Corpus Christi,125,JIM WELLS,Economically Disadvantaged,435,409,0.94,310,0.71,103,0.24,229,0.53,65,0.15,112,0.26,0,0,177,0.41,24,0.06,48,0.11
2,Corpus Christi,137,KLEBERG,Not Economically Disadvantaged,168,159,0.95,130,0.77,25,0.15,133,0.79,78,0.46,48,0.29,0,0,126,0.75,11,0.07,61,0.36
2,Corpus Christi,137,KLEBERG,Economically Disadvantaged,259,225,0.87,156,0.60,70,0.27,130,0.50,61,0.24,46,0.18,0,0,107,0.41,24,0.09,27,0.10
2,Corpus Christi,149,LIVE OAK,Not Economically Disadvantaged,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2,Corpus Christi,149,LIVE OAK,Economically Disadvantaged,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2,Corpus Christi,162,MCMULLEN,Not Economically Disadvantaged,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2,Corpus Christi,162,MCMULLEN,Economically Disadvantaged,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2,Corpus Christi,178,NUECES,Not Economically Disadvantaged,2230,2066,0.93,1835,0.82,217,0.10,1706,0.77,684,0.31,797,0.36,0,0,1481,0.66,130,0.06,597,0.27
2,Corpus Christi,178,NUECES,Economically Disadvantaged,2405,2187,0.91,1697,0.71,483,0.20,1412,0.59,241,0.10,778,0.32,0,0,1019,0.42,128,0.05,217,0.09
2,Corpus Christi,205,SAN PATRICIO,Not Economically Disadvantaged,579,537,0.93,472,0.82,45,0.08,427,0.74,170,0.29,163,0.28,0,0,333,0.58,26,0.04,124,0.21
2,Corpus Christi,205,SAN PATRICIO,Economically Disadvantaged,569,524,0.92,424,0.75,87,0.15,357,0.63,71,0.13,113,0.20,0,0,184,0.32,17,0.03,44,0.08
3,Victoria,29,CALHOUN,Not Economically Disadvantaged,152,146,0.96,137,0.90,7,0.05,124,0.82,36,0.24,61,0.40,0,0,97,0.64,8,0.05,45,0.30
3,Victoria,29,CALHOUN,Economically Disadvantaged,150,141,0.94,128,0.85,12,0.08,103,0.69,8,0.05,49,0.33,0,0,57,0.38,6,0.04,14,0.09
3,Victoria,45,COLORADO,Not Economically Disadvantaged,161,154,0.96,150,0.93,7,0.04,147,0.91,38,0.24,83,0.52,0,0,121,0.75,2,0.01,62,0.39
3,Victoria,45,COLORADO,Economically Disadvantaged,135,123,0.91,102,0.76,17,0.13,85,0.63,4,0.03,40,0.30,0,0,44,0.33,7,0.05,9,0.07
3,Victoria,62,DE WITT,Not Economically Disadvantaged,180,174,0.97,160,0.89,16,0.09,146,0.81,63,0.35,66,0.37,0,0,129,0.72,5,0.03,71,0.39
3,Victoria,62,DE WITT,Economically Disadvantaged,171,161,0.94,127,0.74,32,0.19,97,0.57,11,0.06,35,0.21,0,0,46,0.27,4,0.02,14,0.08
3,Victoria,88,GOLIAD,Not Economically Disadvantaged,67,65,0.97,57,0.85,7,0.10,59,0.88,16,0.24,34,0.51,0,0,50,0.75,3,0.04,20,0.30
3,Victoria,88,GOLIAD,Economically Disadvantaged,49,48,0.98,28,0.57,17,0.35,35,0.71,3,0.06,16,0.33,0,0,19,0.39,3,0.06,1,0.02
3,Victoria,120,JACKSON,Not Economically Disadvantaged,138,133,0.96,129,0.94,1,0.01,117,0.85,37,0.27,64,0.46,0,0,101,0.73,2,0.01,52,0.38
3,Victoria,120,JACKSON,Economically Disadvantaged,93,91,0.98,82,0.88,6,0.06,67,0.72,3,0.03,29,0.31,0,0,32,0.34,1,0.01,8,0.09
3,Victoria,128,KARNES,Not Economically Disadvantaged,89,89,1.00,81,0.91,4,0.04,80,0.90,29,0.33,37,0.42,0,0,66,0.74,2,0.02,30,0.34
3,Victoria,128,KARNES,Economically Disadvantaged,106,103,0.97,93,0.88,5,0.05,84,0.79,7,0.07,29,0.27,0,0,36,0.34,0,0,12,0.11
3,Victoria,143,LAVACA,Not Economically Disadvantaged,114,110,0.97,106,0.93,1,0.01,102,0.90,34,0.30,53,0.47,0,0,87,0.76,4,0.04,55,0.48
3,Victoria,143,LAVACA,Economically Disadvantaged,66,64,0.97,58,0.88,5,0.08,48,0.73,6,0.09,21,0.32,0,0,27,0.41,0,0,12,0.18
3,Victoria,158,MATAGORDA,Not Economically Disadvantaged,300,290,0.97,265,0.88,16,0.05,240,0.80,65,0.22,137,0.46,0,0,202,0.67,12,0.04,106,0.35
3,Victoria,158,MATAGORDA,Economically Disadvantaged,318,298,0.94,224,0.70,62,0.20,200,0.63,21,0.07,99,0.31,0,0,120,0.38,11,0.03,29,0.09
3,Victoria,196,REFUGIO,Not Economically Disadvantaged,66,63,0.96,59,0.89,3,0.05,59,0.89,21,0.32,30,0.46,0,0,51,0.77,2,0.03,22,0.33
3,Victoria,196,REFUGIO,Economically Disadvantaged,60,56,0.93,37,0.62,17,0.28,42,0.70,3,0.05,17,0.28,0,0,20,0.33,0,0,4,0.07
3,Victoria,235,VICTORIA,Not Economically Disadvantaged,579,529,0.91,455,0.79,68,0.12,406,0.70,123,0.21,249,0.43,0,0,372,0.64,55,0.10,157,0.27
3,Victoria,235,VICTORIA,Economically Disadvantaged,602,558,0.93,352,0.59,190,0.32,267,0.44,26,0.04,161,0.27,0,0,187,0.31,47,0.08,41,0.07
3,Victoria,241,WHARTON,Not Economically Disadvantaged,313,302,0.97,288,0.92,12,0.04,265,0.85,58,0.19,175,0.56,0,0,233,0.74,17,0.05,131,0.42
3,Victoria,241,WHARTON,Economically Disadvantaged,370,355,0.96,310,0.84,38,0.10,240,0.65,14,0.04,132,0.36,0,0,146,0.40,15,0.04,47,0.13
4,Houston,20,BRAZORIA,Not Economically Disadvantaged,2580,2483,0.96,2296,0.89,136,0.05,2110,0.82,638,0.25,1182,0.46,0,0,1820,0.71,128,0.05,867,0.34
4,Houston,20,BRAZORIA,Economically Disadvantaged,1433,1359,0.95,1060,0.74,258,0.18,877,0.61,83,0.06,486,0.34,0,0,569,0.40,90,0.06,139,0.10
4,Houston,36,CHAMBERS,Not Economically Disadvantaged,312,302,0.97,272,0.87,22,0.07,246,0.79,72,0.23,147,0.47,0,0,219,0.70,16,0.05,95,0.30
4,Houston,36,CHAMBERS,Economically Disadvantaged,104,96,0.92,80,0.77,12,0.12,58,0.56,2,0.02,32,0.31,0,0,34,0.33,6,0.06,5,0.05
4,Houston,79,FORT BEND,Not Economically Disadvantaged,4908,4638,0.95,4248,0.87,359,0.07,3990,0.81,1857,0.38,1664,0.34,0,0,3521,0.72,310,0.06,1799,0.37
4,Houston,79,FORT BEND,Economically Disadvantaged,1906,1778,0.93,1394,0.73,365,0.19,1136,0.60,305,0.16,522,0.27,0,0,827,0.43,133,0.07,239,0.13
4,Houston,84,GALVESTON,Not Economically Disadvantaged,3954,3724,0.94,3267,0.83,366,0.09,2958,0.75,1139,0.29,1643,0.42,0,0,2782,0.70,346,0.09,1414,0.36
4,Houston,84,GALVESTON,Economically Disadvantaged,1565,1457,0.93,1046,0.67,369,0.24,872,0.56,116,0.07,549,0.35,0,0,665,0.43,133,0.09,160,0.10
4,Houston,101,HARRIS,Not Economically Disadvantaged,24473,23255,0.95,20538,0.84,2261,0.09,19002,0.78,6979,0.29,9128,0.37,0,0,16107,0.66,1559,0.06,7217,0.30
4,Houston,101,HARRIS,Economically Disadvantaged,26851,24787,0.92,18208,0.68,5939,0.22,15129,0.56,3099,0.12,7339,0.27,0,0,10438,0.39,1781,0.07,2756,0.10
4,Houston,146,LIBERTY,Not Economically Disadvantaged,659,612,0.93,531,0.81,76,0.12,482,0.73,116,0.18,242,0.37,0,0,358,0.54,31,0.05,126,0.19
4,Houston,146,LIBERTY,Economically Disadvantaged,483,428,0.89,308,0.64,104,0.22,256,0.53,39,0.08,126,0.26,0,0,165,0.34,32,0.07,40,0.08
4,Houston,237,WALLER,Not Economically Disadvantaged,296,284,0.96,244,0.82,36,0.12,220,0.74,66,0.22,109,0.37,0,0,175,0.59,20,0.07,64,0.22
4,Houston,237,WALLER,Economically Disadvantaged,323,308,0.95,237,0.73,57,0.18,203,0.63,37,0.12,89,0.28,0,0,126,0.39,12,0.04,24,0.07
5,Beaumont,84,GALVESTON,Not Economically Disadvantaged,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
5,Beaumont,84,GALVESTON,Economically Disadvantaged,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
5,Beaumont,100,HARDIN,Not Economically Disadvantaged,559,535,0.96,483,0.86,39,0.07,452,0.81,203,0.36,137,0.25,0,0,340,0.61,22,0.04,155,0.28
5,Beaumont,100,HARDIN,Economically Disadvantaged,282,253,0.90,216,0.77,41,0.15,185,0.66,42,0.15,55,0.20,0,0,97,0.34,10,0.04,30,0.11
5,Beaumont,121,JASPER,Not Economically Disadvantaged,274,265,0.97,235,0.86,14,0.05,220,0.80,72,0.26,87,0.32,0,0,159,0.58,10,0.04,62,0.23
5,Beaumont,121,JASPER,Economically Disadvantaged,235,220,0.94,189,0.80,23,0.10,141,0.60,31,0.13,51,0.22,0,0,82,0.35,17,0.07,24,0.10
5,Beaumont,123,JEFFERSON,Not Economically Disadvantaged,1529,1459,0.95,1285,0.84,130,0.09,1130,0.74,574,0.38,415,0.27,0,0,989,0.65,110,0.07,460,0.30
5,Beaumont,123,JEFFERSON,Economically Disadvantaged,1738,1643,0.95,1317,0.76,251,0.14,1033,0.59,277,0.16,481,0.28,0,0,758,0.44,114,0.07,185,0.11
5,Beaumont,176,NEWTON,Not Economically Disadvantaged,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
5,Beaumont,176,NEWTON,Economically Disadvantaged,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
5,Beaumont,181,ORANGE,Not Economically Disadvantaged,780,749,0.96,673,0.86,48,0.06,598,0.77,183,0.24,302,0.39,0,0,485,0.62,40,0.05,224,0.29
5,Beaumont,181,ORANGE,Economically Disadvantaged,471,431,0.92,332,0.71,69,0.15,270,0.57,32,0.07,122,0.26,0,0,154,0.33,22,0.05,21,0.04
5,Beaumont,229,TYLER,Not Economically Disadvantaged,142,134,0.94,125,0.88,7,0.05,111,0.78,36,0.25,43,0.30,0,0,79,0.56,4,0.03,38,0.27
5,Beaumont,229,TYLER,Economically Disadvantaged,128,115,0.90,107,0.84,7,0.05,86,0.67,13,0.10,25,0.20,0,0,38,0.30,0,0,7,0.05
6,Huntsville,8,AUSTIN,Not Economically Disadvantaged,293,275,0.94,263,0.90,12,0.04,248,0.85,101,0.35,108,0.37,0,0,209,0.71,13,0.04,115,0.39
6,Huntsville,8,AUSTIN,Economically Disadvantaged,139,132,0.95,117,0.84,10,0.07,100,0.72,15,0.11,33,0.24,0,0,48,0.35,3,0.02,11,0.08
6,Huntsville,21,BRAZOS,Not Economically Disadvantaged,867,829,0.96,771,0.89,35,0.04,718,0.83,247,0.29,364,0.42,0,0,611,0.71,30,0.03,300,0.35
6,Huntsville,21,BRAZOS,Economically Disadvantaged,791,718,0.91,563,0.71,148,0.19,426,0.54,57,0.07,201,0.25,0,0,258,0.33,33,0.04,42,0.05
6,Huntsville,26,BURLESON,Not Economically Disadvantaged,124,120,0.97,108,0.87,8,0.06,102,0.82,13,0.11,70,0.57,0,0,83,0.67,5,0.04,43,0.35
6,Huntsville,26,BURLESON,Economically Disadvantaged,118,111,0.94,82,0.70,22,0.19,66,0.56,4,0.03,29,0.25,0,0,33,0.28,2,0.02,3,0.03
6,Huntsville,93,GRIMES,Not Economically Disadvantaged,156,143,0.92,128,0.82,17,0.11,124,0.80,40,0.26,57,0.37,0,0,97,0.62,5,0.03,41,0.26
6,Huntsville,93,GRIMES,Economically Disadvantaged,175,151,0.86,126,0.72,42,0.24,110,0.63,19,0.11,48,0.27,0,0,67,0.38,6,0.03,15,0.09
6,Huntsville,113,HOUSTON,Not Economically Disadvantaged,114,110,0.97,101,0.89,7,0.06,92,0.81,33,0.29,37,0.33,0,0,70,0.61,5,0.04,34,0.30
6,Huntsville,113,HOUSTON,Economically Disadvantaged,140,135,0.96,112,0.80,19,0.14,90,0.64,17,0.12,33,0.24,0,0,50,0.36,5,0.04,12,0.09
6,Huntsville,145,LEON,Not Economically Disadvantaged,140,137,0.98,130,0.93,3,0.02,119,0.85,29,0.21,66,0.47,0,0,95,0.68,4,0.03,38,0.27
6,Huntsville,145,LEON,Economically Disadvantaged,114,110,0.97,95,0.83,6,0.05,68,0.60,7,0.06,32,0.28,0,0,39,0.34,5,0.04,8,0.07
6,Huntsville,154,MADISON,Not Economically Disadvantaged,86,83,0.97,79,0.92,1,0.01,73,0.85,29,0.34,24,0.28,0,0,53,0.62,3,0.03,26,0.30
6,Huntsville,154,MADISON,Economically Disadvantaged,113,106,0.94,100,0.89,4,0.04,81,0.72,13,0.12,21,0.19,0,0,34,0.30,1,0.01,10,0.09
6,Huntsville,166,MILAM,Not Economically Disadvantaged,147,146,0.99,138,0.94,6,0.04,129,0.88,38,0.26,77,0.52,0,0,115,0.78,5,0.03,57,0.39
6,Huntsville,166,MILAM,Economically Disadvantaged,166,156,0.94,125,0.75,32,0.19,110,0.66,12,0.07,46,0.28,0,0,58,0.35,4,0.02,16,0.10
6,Huntsville,170,MONTGOMERY,Not Economically Disadvantaged,3805,3535,0.93,3212,0.84,283,0.07,2967,0.78,988,0.26,1431,0.38,0,0,2419,0.64,216,0.06,1109,0.29
6,Huntsville,170,MONTGOMERY,Economically Disadvantaged,1591,1432,0.90,1042,0.66,345,0.22,898,0.56,116,0.07,406,0.26,0,0,522,0.33,78,0.05,119,0.07
6,Huntsville,187,POLK,Not Economically Disadvantaged,281,271,0.96,249,0.89,10,0.04,204,0.73,52,0.19,89,0.32,0,0,141,0.50,12,0.04,51,0.18
6,Huntsville,187,POLK,Economically Disadvantaged,259,247,0.95,217,0.84,21,0.08,175,0.68,21,0.08,69,0.27,0,0,90,0.35,7,0.03,16,0.06
6,Huntsville,198,ROBERTSON,Not Economically Disadvantaged,96,95,0.99,87,0.91,7,0.07,83,0.87,24,0.25,40,0.42,0,0,64,0.67,1,0.01,31,0.32
6,Huntsville,198,ROBERTSON,Economically Disadvantaged,172,161,0.94,135,0.79,26,0.15,132,0.77,12,0.07,50,0.29,0,0,62,0.36,0,0,16,0.09
6,Huntsville,204,SAN JACINTO,Not Economically Disadvantaged,124,120,0.97,110,0.89,3,0.02,89,0.72,35,0.28,27,0.22,0,0,62,0.50,5,0.04,28,0.23
6,Huntsville,204,SAN JACINTO,Economically Disadvantaged,160,148,0.93,134,0.84,11,0.07,99,0.62,14,0.09,35,0.22,0,0,49,0.31,9,0.06,7,0.04
6,Huntsville,228,TRINITY,Not Economically Disadvantaged,67,65,0.97,62,0.93,3,0.04,54,0.81,14,0.21,26,0.39,0,0,40,0.60,1,0.01,14,0.21
6,Huntsville,228,TRINITY,Economically Disadvantaged,101,98,0.97,78,0.77,12,0.12,69,0.68,11,0.11,30,0.30,0,0,41,0.41,5,0.05,10,0.10
6,Huntsville,236,WALKER,Not Economically Disadvantaged,300,284,0.95,258,0.86,22,0.07,248,0.83,124,0.41,77,0.26,0,0,201,0.67,13,0.04,103,0.34
6,Huntsville,236,WALKER,Economically Disadvantaged,276,262,0.95,204,0.74,53,0.19,185,0.67,43,0.16,55,0.20,0,0,98,0.36,8,0.03,22,0.08
6,Huntsville,239,WASHINGTON,Not Economically Disadvantaged,254,246,0.97,234,0.92,9,0.04,216,0.85,65,0.26,129,0.51,0,0,194,0.76,13,0.05,102,0.40
6,Huntsville,239,WASHINGTON,Economically Disadvantaged,150,138,0.92,100,0.67,37,0.25,84,0.56,12,0.08,39,0.26,0,0,51,0.34,8,0.05,12,0.08
7,Kilgore,1,ANDERSON,Not Economically Disadvantaged,361,350,0.97,304,0.84,33,0.09,288,0.80,63,0.18,156,0.43,0,0,219,0.61,13,0.04,91,0.25
7,Kilgore,1,ANDERSON,Economically Disadvantaged,289,271,0.94,229,0.79,36,0.13,216,0.75,22,0.08,101,0.35,0,0,123,0.43,9,0.03,30,0.10
7,Kilgore,3,ANGELINA,Not Economically Disadvantaged,627,608,0.97,564,0.90,30,0.05,534,0.85,142,0.23,283,0.45,0,0,425,0.68,21,0.03,193,0.31
7,Kilgore,3,ANGELINA,Economically Disadvantaged,629,607,0.97,508,0.81,84,0.13,428,0.68,47,0.07,192,0.31,0,0,239,0.38,23,0.04,54,0.09
7,Kilgore,37,CHEROKEE,Not Economically Disadvantaged,230,222,0.97,196,0.85,19,0.08,178,0.77,31,0.14,118,0.51,0,0,149,0.65,13,0.06,63,0.27
7,Kilgore,37,CHEROKEE,Economically Disadvantaged,371,351,0.95,275,0.74,66,0.18,215,0.58,18,0.05,94,0.25,0,0,112,0.30,17,0.05,31,0.08
7,Kilgore,92,GREGG,Not Economically Disadvantaged,990,948,0.96,896,0.91,35,0.04,810,0.82,217,0.22,481,0.49,0,0,698,0.71,44,0.04,340,0.34
7,Kilgore,92,GREGG,Economically Disadvantaged,832,773,0.93,619,0.74,133,0.16,495,0.60,32,0.04,295,0.36,0,0,327,0.39,51,0.06,69,0.08
7,Kilgore,102,HARRISON,Not Economically Disadvantaged,565,535,0.95,495,0.88,28,0.05,464,0.82,137,0.24,240,0.43,0,0,377,0.67,15,0.03,185,0.33
7,Kilgore,102,HARRISON,Economically Disadvantaged,414,381,0.92,332,0.80,49,0.12,283,0.68,43,0.10,148,0.36,0,0,191,0.46,24,0.06,53,0.13
7,Kilgore,107,HENDERSON,Not Economically Disadvantaged,442,418,0.95,375,0.85,23,0.05,352,0.80,59,0.13,221,0.50,0,0,280,0.63,26,0.06,141,0.32
7,Kilgore,107,HENDERSON,Economically Disadvantaged,386,354,0.92,284,0.74,58,0.15,250,0.65,20,0.05,136,0.35,0,0,156,0.40,22,0.06,47,0.12
7,Kilgore,174,NACOGDOCHES,Not Economically Disadvantaged,372,358,0.96,331,0.89,23,0.06,312,0.84,137,0.37,131,0.35,0,0,268,0.72,20,0.05,135,0.36
7,Kilgore,174,NACOGDOCHES,Economically Disadvantaged,408,383,0.94,286,0.70,78,0.19,261,0.64,51,0.13,100,0.25,0,0,151,0.37,14,0.03,41,0.10
