Region Code,TEA Region,gender,ethnicity,economic_status,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,enrolled_out_of_state,enrolled_out_of_state_percent,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_percent,total_degrees,total_degrees_percent
,,Female,African American,,23121,21778,0.94,18365,0.79,2979,0.13,15515,0.67,5183,0.22,8308,0.36,0,0,13491,0.58,1982,0.09,3733,0.16
,,Female,Hispanic,,65152,60961,0.94,49309,0.76,10139,0.16,42498,0.65,8764,0.14,21936,0.34,0,0,30700,0.47,3322,0.05,10550,0.16
,,Female,White,,65831,62101,0.94,56606,0.86,3858,0.06,51277,0.78,18520,0.28,25293,0.38,0,0,43813,0.67,3699,0.06,22319,0.34
,,Female,Others,,4900,4631,0.95,4309,0.88,202,0.04,4054,0.83,1951,0.4,1379,0.28,0,0,3330,0.68,217,0.04,2105,0.43
,,Male,African American,,23722,21898,0.92,16811,0.71,4791,0.2,14243,0.6,3830,0.16,7165,0.3,0,0,10995,0.46,1717,0.07,2128,0.09
,,Male,Hispanic,,67446,62551,0.93,46605,0.69,14673,0.22,41212,0.61,7177,0.11,19501,0.29,0,0,26678,0.4,2849,0.04,6919,0.1
,,Male,White,,68921,64467,0.94,56887,0.83,6306,0.09,51862,0.75,16154,0.23,23975,0.35,0,0,40129,0.58,3434,0.05,16391,0.24
,,Male,Others,,5223,4905,0.94,4469,0.86,329,0.06,4202,0.81,1902,0.36,1517,0.29,0,0,3419,0.66,253,0.05,1775,0.34
,,,,Not Economically Disadvantaged,165069,156160,0.95,140397,0.85,12784,0.08,129647,0.79,46711,0.28,61964,0.38,0,0,108675,0.66,9019,0.05,49297,0.3
,,,,Economically Disadvantaged,159247,147132,0.92,112964,0.71,30493,0.19,95216,0.6,16770,0.11,47110,0.3,0,0,63880,0.4,8454,0.05,16623,0.1
1,Edinburg,,,,24078,22470,0.93,17520,0.73,4558,0.19,16371,0.68,4807,0.2,7932,0.33,0,0,12739,0.53,1026,0.04,4599,0.19
2,Corpus Christi,,,,8091,7484,0.93,6232,0.77,1177,0.15,5368,0.66,1641,0.2,2563,0.32,0,0,4204,0.52,461,0.06,1434,0.18
3,Victoria,,,,4279,4053,0.95,3428,0.8,543,0.13,3013,0.7,626,0.15,1617,0.38,0,0,2243,0.52,206,0.05,942,0.22
4,Houston,,,,69847,65511,0.94,53729,0.77,10360,0.15,47539,0.68,14548,0.21,23258,0.33,0,0,37806,0.54,4597,0.07,14945,0.21
5,Beaumont,,,,6364,6015,0.95,5130,0.81,661,0.1,4388,0.69,1495,0.24,1785,0.28,0,0,3280,0.52,355,0.06,1232,0.19
6,Huntsville,,,,11319,10564,0.93,9160,0.81,1214,0.11,8159,0.72,2205,0.2,3749,0.33,0,0,5954,0.53,505,0.04,2411,0.21
